N	3gram	Kanaev_Sov_1	EvropaiE
1	с точки зрения	5	16
2	в то же	1	15
3	то же время	1	14
4	и в то	1	8
5	с одной стороны	1	8
6	одной стороны и	1	6
7	в том что	1	6
8	так же как	1	5
9	бы то ни	1	4
10	то ни было	1	4
11	и в этом	1	4
12	той или иной	1	4
13	в этом смысле	1	3
14	можно было бы	1	3
15	в известном смысле	1	3
16	друг с другом	2	3
17	во всяком случае	2	3
18	и прежде всего	1	3
19	заключает в себе	1	3
20	в данном случае	1	2
21	дело идет о	1	2
22	в данной области	1	2
23	не может быть	4	2
24	в свою очередь	2	2
25	не может не	3	1
26	силы в таком	1	1
27	дело в том	1	1
28	не может дать	1	1
29	через некоторое время	2	1
30	физические и химические	1	1
31	и не было	1	1
32	только одна возможность	2	1
33	представление о том	1	1
34	не будет ли	1	1
35	в отличие от	2	1
36	и та же	1	1
37	на этот вопрос	1	1
38	может быть и	2	1
39	на этот раз	1	1
40	и тот же	1	1
41	не могут быть	1	1
42	в том случае	1	1
43	в западной европе	1	1
44	в связи с	1	1
45	одна и та	1	1
46	мы видели что	3	1
47	каждого из них	2	1
48	один и тот	1	1
49	мы не можем	6	1
50	как одной из	1	1
51	это значит что	1	1
52	ли он в	1	1
53	не более как	1	1
54	что произошло в	1	1
55	в этом периоде	1	1
56	в себе в	1	1
57	и в начале	1	1
