N	3gram	Vygotskiy__4	VelikijI
1	к тому что	1	3
2	но и в	2	2
3	том что он	1	2
4	вместо того чтобы	1	2
5	в вопросе о	2	2
6	в том что	31	2
7	я думаю что	1	1
8	но все же	1	1
9	видим что все	1	1
10	есть прежде всего	1	1
11	бы то ни	1	1
12	то и другое	1	1
13	вместе с тем	3	1
14	в конце концов	1	1
15	его личности и	1	1
16	не могут быть	2	1
17	он говорит что	1	1
18	с другой стороны	8	1
19	как бы в	1	1
20	по сравнению с	3	1
21	в истории человечества	1	1
22	после того как	1	1
23	и хотя и	1	1
24	мы видим что	2	1
25	и что в	2	1
26	как и в	1	1
