N	2gram	Berdyaev_V_1	RusskieA
1	и в	16	36
2	не только	2	22
3	том что	2	19
4	что в	3	19
5	в том	3	17
6	но и	5	16
7	так как	9	15
8	и другие	1	13
9	в этом	4	12
10	и т	2	10
11	и на	1	10
12	это не	2	10
13	как и	4	10
14	как мы	1	10
15	вместе с	1	10
16	потому что	4	10
17	т д	2	9
18	а в	2	9
19	в другие	1	8
20	и по	1	8
21	с тем	2	8
22	у нас	1	8
23	один из	2	8
24	мы увидим	1	8
25	может быть	1	8
26	как это	1	8
27	что они	7	7
28	так и	4	7
29	между тем	2	7
30	что и	3	7
31	мы не	2	6
32	в виде	1	6
33	в день	1	6
34	не имеет	3	6
35	уже не	2	6
36	в них	3	6
37	и не	20	6
38	все это	5	6
39	для нас	2	6
40	будто бы	1	6
41	то что	9	6
42	как в	1	5
43	все же	1	5
44	в которых	1	5
45	того как	1	5
46	с ними	1	5
47	как бы	5	5
48	в первый	3	4
49	еще не	8	4
50	во всех	3	4
51	их на	1	4
52	в их	1	4
53	тому что	3	4
54	одна из	2	4
55	в русском	1	4
56	что на	1	4
57	к тому	3	4
58	его с	1	4
59	и что	3	4
60	тем что	2	4
61	а с	2	4
62	того что	5	4
63	но это	3	4
64	только в	2	4
65	к этому	1	4
66	их и	1	3
67	как бог	1	3
68	если в	1	3
69	которые не	2	3
70	в своем	1	3
71	что это	1	3
72	под землей	1	3
73	на этом	1	3
74	то же	1	3
75	но все	1	3
76	для них	2	3
77	в этих	3	3
78	таким же	1	3
79	их в	3	3
80	в разных	1	3
81	ничего не	1	3
82	к жизни	1	3
83	не с	2	3
84	то есть	1	3
85	от них	1	3
86	христа и	1	3
87	по этому	3	3
88	в одном	1	3
89	к ним	1	3
90	о чем	1	3
91	так же	1	3
92	этого слова	1	3
93	к нам	2	2
94	но она	1	2
95	на себя	5	2
96	их к	1	2
97	как не	3	2
98	в ней	4	2
99	он был	1	2
100	это имеет	1	2
101	природы и	1	2
102	но не	2	2
103	христа в	3	2
104	тогда как	1	2
105	не просто	1	2
106	хотя и	5	2
107	его к	2	2
108	но в	3	2
109	в целом	1	2
110	все эти	3	2
111	и до	1	2
112	в нем	4	2
113	чем у	1	2
114	и с	1	2
115	в жизни	3	2
116	этому же	1	2
117	как можно	1	2
118	она не	1	2
119	у него	1	2
120	до того	2	2
121	могут быть	2	2
122	они и	2	2
123	значения и	2	2
124	в образе	4	2
125	что от	2	2
126	составные части	1	2
127	с ним	2	2
128	находится в	1	2
129	после того	1	2
130	в его	4	2
131	не случайно	1	2
132	в разные	1	2
133	их не	1	2
134	его и	2	2
135	в прошлом	2	2
136	но что	1	2
137	он так	1	2
138	не было	3	2
139	не были	1	2
140	себя и	1	2
141	а не	7	2
142	благополучие в	1	2
143	и потому	7	2
144	мы видим	1	2
145	и для	3	2
146	на новый	1	2
147	и начало	1	2
148	в своих	1	2
