N	2gram	Losev_Vesc_1	Vladivir
1	и в	21	30
2	в этом	4	20
3	то что	27	20
4	у него	2	19
5	и не	29	18
6	в том	8	18
7	и с	8	14
8	что он	1	13
9	в конце	2	13
10	не только	36	12
11	том что	8	12
12	что в	9	12
13	как мы	4	11
14	в его	2	11
15	а в	4	11
16	сказать что	17	11
17	а также	1	10
18	не было	1	10
19	в с	2	10
20	и даже	6	10
21	все же	4	9
22	кроме того	4	9
23	было бы	14	9
24	не в	5	9
25	в то	3	9
26	не может	17	9
27	для него	4	9
28	потому что	16	9
29	в своем	6	8
30	но в	5	8
31	что же	8	8
32	не мог	1	8
33	но и	18	8
34	вместе с	1	8
35	ни в	1	7
36	точки зрения	5	7
37	никогда не	2	7
38	не менее	3	7
39	в эти	1	7
40	может быть	16	7
41	а не	19	7
42	как это	2	7
43	между прочим	3	7
44	для нас	2	7
45	и все	5	7
46	также и	6	6
47	хотя и	4	6
48	и к	1	6
49	в себе	14	6
50	об этом	3	6
51	тем не	3	6
52	и его	2	6
53	у нас	7	6
54	то время	1	6
55	только в	14	6
56	всяком случае	2	6
57	а именно	1	6
58	еще и	8	6
59	прежде всего	9	6
60	о чем	1	6
61	к этому	1	6
62	жизни и	2	6
63	во всяком	3	6
64	того же	5	5
65	и то	10	5
66	и я	1	5
67	с этим	3	5
68	то в	4	5
69	все эти	3	5
70	при этом	1	5
71	необходимо сказать	1	5
72	как и	8	5
73	в своей	5	5
74	в котором	3	5
75	по себе	13	5
76	так как	7	5
77	для себя	5	5
78	в дальнейшем	1	5
79	это мы	1	5
80	так и	3	5
81	с ним	8	5
82	другими словами	5	5
83	и что	15	5
84	того что	8	5
85	тот же	3	5
86	так что	5	5
87	но что	2	5
88	в течение	1	5
89	как бы	12	5
90	все это	5	5
91	в результате	3	5
92	из этого	1	5
93	с с	1	4
94	то же	6	4
95	с в	2	4
96	той же	2	4
97	я не	4	4
98	то это	3	4
99	и он	1	4
100	в ней	12	4
101	с его	1	4
102	отношение к	1	4
103	в которой	1	4
104	что это	13	4
105	в этой	3	4
106	и если	2	4
107	в нем	2	4
108	содержит в	4	4
109	его в	2	4
110	это было	1	4
111	и мы	1	4
112	несмотря на	1	4
113	мы знаем	1	4
114	в этих	1	4
115	по крайней	4	4
116	мы должны	2	4
117	не есть	49	4
118	и о	3	4
119	можно сказать	6	4
120	все существующее	2	4
121	с а	4	4
122	о том	6	4
123	конечно не	1	4
124	вовсе не	10	4
125	для меня	2	4
126	крайней мере	4	4
127	со стороны	5	4
128	именно в	1	4
129	в те	1	4
130	так же	1	4
131	в это	1	4
132	с этой	4	4
133	но это	10	4
134	и наконец	1	4
135	на этот	1	4
136	по поводу	1	4
137	можно говорить	2	3
138	и больше	9	3
139	едва ли	1	3
140	и вот	2	3
141	именно к	1	3
142	быть в	1	3
143	во всех	2	3
144	но не	5	3
145	не то	4	3
146	отличие от	1	3
147	его на	1	3
148	и как	8	3
149	более или	1	3
150	так или	4	3
151	из этих	1	3
152	поскольку в	1	3
153	всех этих	1	3
154	таким образом	8	3
155	должен был	1	3
156	только одно	2	3
157	с богом	1	3
158	должно быть	6	3
159	или менее	1	3
160	в отношении	4	3
161	я его	1	3
162	с точки	3	3
163	не столько	1	3
164	в отличие	1	3
165	что я	24	3
166	но он	2	3
167	в россии	2	3
168	а а	1	3
169	к такому	1	3
170	только и	2	3
171	к ней	2	3
172	он и	1	3
173	когда мы	6	3
174	и это	14	3
175	никак не	3	3
176	с вами	1	3
177	что и	3	3
178	вообще в	1	3
179	философии и	1	3
180	мы будем	1	3
181	никак нельзя	1	3
182	уже не	9	3
183	я в	2	3
184	уже в	1	3
185	в виде	1	3
186	а это	4	3
187	на этих	1	3
188	здесь мы	1	3
189	последние годы	2	3
190	даже и	4	3
191	или иначе	4	3
192	дело в	4	3
193	конце концов	2	3
194	в данном	5	3
195	да и	3	3
196	по существу	2	3
197	и для	9	3
198	уже на	1	3
199	еще более	2	3
200	хотя бы	6	3
201	в свою	4	3
202	это в	1	3
203	я и	6	2
204	также что	1	2
205	в рукописи	1	2
206	сам по	3	2
207	и есть	26	2
208	в чисто	1	2
209	из его	2	2
210	что эти	1	2
211	мы уже	3	2
212	в защиту	1	2
213	что если	1	2
214	единство и	1	2
215	есть нечто	6	2
216	время как	1	2
217	и бытия	2	2
218	не вполне	2	2
219	как я	4	2
220	ему в	1	2
221	но то	2	2
222	же нужно	1	2
223	только тогда	3	2
224	в общем	1	2
225	себе и	1	2
226	как к	4	2
227	я должен	4	2
228	это тоже	1	2
229	в самом	9	2
230	еще один	1	2
231	на то	4	2
232	не могла	1	2
233	мысли и	3	2
234	же это	4	2
235	прочим и	2	2
236	том чтобы	1	2
237	и по	1	2
238	на этом	2	2
239	будем говорить	1	2
240	это значит	24	2
241	и может	2	2
242	заключается в	1	2
243	это не	5	2
244	и представить	1	2
245	с тем	5	2
246	мы видели	1	2
247	говорится о	2	2
248	мы не	6	2
249	нисколько не	4	2
250	с нами	1	2
251	ли он	1	2
252	то его	1	2
253	их в	3	2
254	однако в	1	2
255	а вот	3	2
256	то с	3	2
257	раз и	1	2
258	с которой	1	2
259	она не	4	2
260	иной раз	1	2
