N	4gram	Voloshinov_1	Myshleni
1	одного и того же	1	3
2	к одному и тому	1	2
3	одному и тому же	1	2
4	мы имели в виду	2	1
5	но при этом она	1	1
6	не что иное как	2	1
7	в собственном смысле слова	1	1
8	не может быть понято	1	1
9	и является одной из	1	1
10	но вместе с тем	1	1
11	которой не может быть	1	1
12	то же самое время	2	1
13	одно и то же	3	1
14	того что оно является	1	1
15	одной и той же	2	1
16	одни и те же	1	1
17	в то же самое	2	1
18	в тех случаях когда	2	1
19	есть не что иное	2	1
20	в той же мере	1	1
