N	2gram	Voloshinov_1	VLabPisa
1	и в	3	25
2	не только	1	22
3	может быть	1	21
4	и не	1	19
5	не может	4	17
6	в его	1	15
7	для него	1	9
8	но и	1	9
9	то же	1	9
10	ни один	1	8
11	из этих	1	7
12	а не	1	7
13	в то	1	6
14	художественного произведения	1	6
15	же время	1	5
16	один из	2	5
17	тому что	1	5
18	связи с	1	5
19	к тому	1	4
20	этой проблемы	1	3
21	точки зрения	1	3
22	нет и	1	3
23	бы в	1	3
24	может не	1	2
25	достоевского и	2	2
26	не менее	1	2
27	он в	1	2
28	в системе	1	2
29	с другими	1	2
30	если в	2	2
31	художественной структуры	1	2
32	искусство как	1	2
33	персонажей и	1	2
34	в каждом	1	2
35	если бы	1	2
36	в особенности	1	2
37	в ней	1	2
38	его от	1	1
39	можно и	1	1
40	исходя из	1	1
41	ситуации и	1	1
42	вопрос что	1	1
43	себя от	1	1
44	и все	1	1
45	анализа и	1	1
46	почти с	1	1
47	от общей	1	1
48	как художественная	1	1
49	с теми	1	1
50	теми или	1	1
51	можно назвать	1	1
52	художественного целого	1	1
53	или иными	1	1
54	несмотря на	1	1
55	мы видим	1	1
56	произведения но	1	1
57	себе все	1	1
58	условно можно	1	1
