N	2gram	Medvedev_I_1	KulturaY
1	и в	1	24
2	что в	2	17
3	того чтобы	1	17
4	для того	1	16
5	в этом	2	14
6	и не	2	12
7	отношению к	1	9
8	того что	1	9
9	если бы	1	9
10	по отношению	1	8
11	тем что	1	8
12	бы в	1	7
13	в них	1	7
14	с другой	1	7
15	так и	1	7
16	все эти	1	6
17	все это	1	6
18	другой стороны	1	6
19	не случайно	1	6
20	и с	3	5
21	а в	1	5
22	того же	1	4
23	в первую	1	4
24	в целом	1	4
25	должен быть	2	4
26	по существу	1	4
27	нисколько не	1	3
28	очевидно что	1	3
29	а с	1	3
30	а если	1	3
31	первую очередь	1	2
32	от этого	1	2
33	он не	2	2
34	другое дело	1	2
35	факты и	1	2
36	никогда не	1	2
37	то и	1	2
38	и еще	1	2
39	ничего не	2	2
40	это было	1	2
41	доказать что	1	2
42	как о	1	2
43	я не	1	2
44	самого себя	2	1
45	говорить о	1	1
46	же это	1	1
47	тех же	1	1
48	после смерти	1	1
49	и ничего	1	1
50	утверждает что	1	1
51	и со	1	1
52	бы что	2	1
53	и без	1	1
54	не дает	1	1
55	к нам	1	1
56	для него	1	1
57	что для	1	1
58	и сам	1	1
59	них не	1	1
60	у всех	1	1
61	жизни и	1	1
62	как только	1	1
63	следующим образом	1	1
64	только что	1	1
65	понятий и	1	1
66	могло бы	1	1
67	точно и	1	1
68	не так	1	1
69	чтобы доказать	1	1
70	во многом	1	1
71	только для	1	1
72	а также	1	1
73	себя в	1	1
74	от нее	1	1
75	есть только	1	1
76	то она	1	1
77	его ученики	1	1
