N	3gram	Tiupa_Lite_2	RusskieA
1	в том что	5	15
2	состоит в том	4	8
3	в этот день	1	8
4	том что в	1	6
5	вместе с тем	1	6
6	в этом случае	2	5
7	о том что	2	4
8	к тому что	1	4
9	с точки зрения	3	3
10	мы не можем	1	3
11	тем не менее	2	3
12	в е годы	2	2
13	в равной степени	2	2
14	и некоторые другие	1	2
15	в свою очередь	1	2
16	после того как	1	2
17	том что этот	1	2
18	и наконец в	1	1
19	по отношению к	3	1
20	на самом деле	1	1
21	подобно тому как	2	1
22	в себе и	1	1
23	в этом отношении	3	1
24	и т п	2	1
25	можно было бы	1	1
26	у него нет	1	1
27	в своего рода	1	1
28	имеет ничего общего	1	1
29	в отличие от	1	1
30	во всех этих	1	1
31	не только как	1	1
32	во многих отношениях	1	1
33	приводит к тому	1	1
34	случае идет не	1	1
35	в целом ряде	1	1
36	не имеет ничего	1	1
37	ничего общего с	1	1
38	в одном из	1	1
39	быть не может	1	1
40	в данном случае	3	1
41	как мы видели	1	1
