N	2gram	Ircho_Kome_2	Tvorches
1	и в	26	20
2	и т	2	13
3	не только	7	13
4	никогда не	1	11
5	как бы	2	11
6	таким образом	6	10
7	в то	6	10
8	в его	4	10
9	и его	12	9
10	там же	1	9
11	и не	14	9
12	и с	5	8
13	в том	11	8
14	может быть	11	8
15	в этом	10	8
16	прежде всего	4	8
17	но и	10	8
18	то же	3	7
19	это не	2	7
20	представление о	2	7
21	же время	3	7
22	наряду с	6	7
23	потому что	6	7
24	не может	3	7
25	что в	9	7
26	в целом	4	6
27	как и	4	6
28	в своей	3	6
29	что он	5	6
30	так и	12	6
31	в конце	2	6
32	у него	4	6
33	именно в	1	6
34	а не	1	6
35	все это	3	6
36	например в	3	5
37	еще не	6	5
38	и на	7	5
39	но не	3	5
40	все же	4	5
41	в этой	3	5
42	и сам	3	5
43	в мире	2	5
44	о том	6	5
45	и даже	1	5
46	в творчестве	1	5
47	в трагическом	1	5
48	так же	1	5
49	мы не	2	4
50	все эти	1	4
51	отнюдь не	2	4
52	как в	3	4
53	хотя и	4	4
54	когда он	1	4
55	но в	3	4
56	за собой	2	4
57	не в	2	4
58	на его	1	4
59	что она	2	4
60	в принципе	2	4
61	что у	4	4
62	об этом	2	4
63	на стороне	1	4
64	соответствии с	1	4
65	если бы	9	4
66	тем самым	1	4
67	ничего не	1	4
68	в духе	2	4
69	в известной	1	4
70	в чем	1	4
71	в лице	2	4
72	мы видим	1	4
73	а в	3	4
74	в соответствии	1	4
75	если не	2	4
76	и от	4	4
77	том что	9	4
78	но у	1	4
79	одним из	2	3
80	и отчасти	1	3
81	на западе	1	3
82	по мнению	1	3
83	х годов	2	3
84	а с	1	3
85	по отношению	3	3
86	в одной	2	3
87	это был	1	3
88	г а	1	3
89	отношению к	3	3
90	в себе	1	3
91	в нем	6	3
92	он не	2	3
93	евгения онегина	1	3
94	в образе	3	3
95	человека в	3	3
96	а затем	5	3
97	его в	4	3
98	и мы	1	3
99	но уже	1	3
100	в самом	4	3
101	в котором	3	3
102	в их	3	3
