N	2gram	Vinokur_Vv_1	NovoeSre
1	а не	3	17
2	и в	27	16
3	не может	13	16
4	совсем не	3	12
5	и не	13	11
6	и есть	3	10
7	в эпоху	1	9
8	истории и	4	9
9	что в	11	9
10	как не	1	8
11	в том	31	8
12	жизни и	2	8
13	культуры и	1	7
14	в этом	34	7
15	в новой	1	7
16	может быть	24	7
17	как и	5	7
18	это есть	2	7
19	средние века	1	7
20	не в	8	6
21	общественной жизни	1	6
22	никогда не	3	6
23	лишь в	1	6
24	но это	1	6
25	должен быть	4	5
26	в ней	3	5
27	истории в	2	5
28	культуры в	5	5
29	и к	1	5
30	не только	21	5
31	в жизни	1	5
32	все это	6	5
33	в нем	13	5
34	о том	15	4
35	государства и	2	4
36	античного мира	1	4
37	перестает быть	1	4
38	в них	4	4
39	то что	17	4
40	это не	8	4
41	прежде всего	8	4
42	не было	1	4
43	должно быть	2	4
44	есть лишь	2	4
45	по своему	5	4
46	значит что	1	4
47	не менее	8	4
48	и для	4	4
49	не имеет	4	4
50	и все	1	4
51	потому что	14	4
52	с другой	8	3
53	смысле слова	7	3
54	в ее	11	3
55	в средние	1	3
56	должна быть	2	3
57	вопрос о	8	3
58	человека и	1	3
59	еще не	4	3
60	во всех	2	3
61	лицом к	1	3
62	в истории	9	3
63	наряду с	2	3
64	как в	1	3
65	не значит	1	3
66	к ним	1	3
67	подобно тому	1	3
68	но и	5	3
69	это было	1	3
70	не есть	4	3
71	не означает	1	3
72	с тем	6	3
73	к лицу	1	3
74	в своей	4	3
75	тому как	1	3
76	в россии	1	3
77	в прошлом	2	3
78	что такое	10	3
79	не существует	2	3
80	в духе	1	3
81	истории не	2	3
82	к тому	4	3
83	сказать что	5	3
84	которых не	3	2
85	и это	6	2
86	вкус к	1	2
87	же как	3	2
88	связана с	4	2
89	века но	1	2
90	это и	1	2
91	ведь и	1	2
92	можно было	7	2
93	так и	1	2
94	природе и	2	2
95	времени и	4	2
96	к самой	2	2
97	мы не	2	2
98	и с	2	2
99	для этого	3	2
100	жизни как	2	2
101	и должно	1	2
102	вот почему	3	2
103	и что	4	2
104	и на	3	2
105	быть в	4	2
106	времени в	3	2
107	истории а	1	2
108	должно было	1	2
109	на протяжении	2	2
110	но не	7	2
111	в новом	1	2
112	все время	1	2
113	в центре	4	2
114	с этим	2	2
115	нового типа	2	2
116	помнить что	1	2
117	ни к	2	2
118	хотя и	3	2
119	но в	10	2
120	духа в	1	2
121	все эти	3	2
122	с одной	4	2
123	себя в	2	2
124	с их	5	2
125	есть в	1	2
126	в себе	4	2
127	права и	1	2
128	уже не	5	2
129	не могла	1	2
130	движение от	2	2
131	ли есть	1	2
132	не к	2	2
133	том чтобы	6	2
134	нашего времени	2	2
135	у него	1	2
136	что она	3	2
137	и заключается	4	2
138	что все	1	2
139	нет и	1	2
140	и даже	5	2
141	и т.п	1	2
142	этом смысле	11	2
143	и творчества	2	2
144	к образованию	1	2
145	зависит от	3	2
146	духовной жизни	3	2
147	том что	26	2
148	вместе с	6	2
149	так же	3	2
150	мы говорим	2	2
151	мысли и	2	2
152	одной стороны	4	2
153	такого рода	2	2
154	другой стороны	5	2
155	по существу	2	2
156	не могли	2	2
157	в духовной	1	2
158	ни одна	2	2
159	как будто	3	2
160	как это	5	2
161	но для	1	2
162	в то	5	2
163	одна из	2	2
164	мысли в	1	2
165	того чтобы	21	2
166	и от	1	2
167	в русском	1	2
168	хотя бы	5	2
169	познания и	2	2
170	а в	5	2
171	ли это	1	2
172	когда мы	2	2
173	могут быть	4	2
174	можно назвать	1	2
175	от этой	1	1
176	также что	1	1
177	обращена к	1	1
178	неспособность к	1	1
179	для себя	1	1
180	тут нет	1	1
181	только потому	1	1
182	к таким	1	1
183	средних веков	2	1
184	чтобы быть	1	1
185	и до	2	1
186	слова а	1	1
187	был и	1	1
188	на нее	2	1
189	мы уже	1	1
190	не с	2	1
191	и которые	1	1
192	еще в	1	1
193	и трудно	1	1
194	и совсем	1	1
195	с ним	1	1
196	нас и	1	1
197	можно сказать	3	1
198	смысле и	2	1
199	говорить о	3	1
200	нет уже	1	1
201	был уже	1	1
202	то это	3	1
203	только так	2	1
204	под этим	1	1
205	разобраться в	1	1
