N	4gram	Vinokur_Ku_3	VLabPisa
1	в то же время	1	5
2	и в то же	1	3
3	в том отношении что	1	2
4	и не может быть	1	2
5	уже по одному тому	1	2
6	по одному тому что	1	2
7	никогда не может быть	1	1
8	этой точки зрения на	1	1
9	всего следует отметить что	1	1
10	говоря уже о том	1	1
11	и т д но	1	1
12	прежде всего следует отметить	1	1
13	и вместе с тем	1	1
14	с этой точки зрения	1	1
15	и в зависимости от	1	1
16	не в том что	2	1
17	в зависимости от них	1	1
18	уже о том что	1	1
19	то это вовсе не	1	1
20	в том смысле что	1	1
21	в той или иной	2	1
22	что в зависимости от	2	1
23	для того чтобы строить	1	1
24	т п все это	1	1
25	ни в какой мере	2	1
26	и т п все	2	1
27	и т п для	1	1
28	в плоть и кровь	1	1
29	примеров можно было бы	1	1
30	в какой мере не	2	1
31	не говоря уже о	2	1
