N	2gram	Bakhtin_Pr_4	VrazhdaK
1	у тургенева	4	11
2	в бесах	1	10
3	не только	14	9
4	достоевского с	1	9
5	в этом	16	8
6	и в	46	8
7	достоевский в	1	8
8	и что	3	8
9	достоевского в	8	7
10	достоевского и	2	7
11	но и	12	7
12	и все	9	7
13	то что	4	7
14	что в	4	7
15	все же	4	6
16	но в	6	6
17	в нем	17	6
18	как и	12	6
19	в котором	5	6
20	и с	7	6
21	о нем	6	6
22	к достоевскому	2	6
23	и даже	3	6
24	в романе	6	6
25	то же	6	5
26	об этом	2	5
27	в то	5	5
28	бедных людей	1	5
29	же время	5	5
30	между тем	2	5
31	в письме	1	5
32	у него	5	5
33	не было	2	5
34	и не	27	5
35	в ней	1	4
36	что он	6	4
37	целый ряд	2	4
38	что достоевский	1	4
39	при этом	5	4
40	это не	5	4
41	несмотря на	1	4
42	все это	6	4
43	письме к	1	4
44	в виду	4	4
45	тургенев в	1	4
46	во многом	1	4
47	с ним	2	4
48	о том	5	4
49	для нас	2	4
50	у достоевского	16	4
51	уже в	4	4
52	может быть	23	4
53	достоевского не	1	4
54	тургенев не	1	4
55	как бы	19	4
56	в своих	1	4
57	так же	3	4
58	одним из	3	3
59	из подполья	1	3
60	с его	5	3
61	в своем	3	3
62	и как	2	3
63	раз в	2	3
64	на то	3	3
65	его в	1	3
66	он не	4	3
67	далеко не	3	3
68	и уже	1	3
69	том что	4	3
70	но он	3	3
71	и его	6	3
72	связи с	1	3
73	человека в	1	3
74	и о	3	3
75	что у	1	3
76	и во	3	3
77	в его	9	3
78	в том	9	3
79	и у	1	3
80	в конце	3	3
81	тем что	3	3
82	в связи	1	3
83	о себе	5	3
84	я хотел	1	3
85	года достоевский	1	3
86	к этому	1	3
87	отношения к	2	2
88	же как	2	2
89	и то	1	2
90	и он	6	2
91	он сам	2	2
92	но как	1	2
93	в эти	1	2
94	он пишет	1	2
95	человека с	1	2
96	в той	3	2
97	в этой	3	2
98	в себе	7	2
99	время и	2	2
100	их в	3	2
101	таким образом	4	2
102	в одну	1	2
103	в мире	3	2
104	об этой	1	2
105	мне и	2	2
106	достоевского он	1	2
107	этот человек	1	2
108	в них	1	2
109	рядом с	5	2
110	а с	1	2
111	мы знаем	1	2
112	во время	1	2
113	точки зрения	11	2
114	в своей	3	2
115	с точки	9	2
116	место в	1	2
117	он тоже	2	2
118	не менее	2	2
119	том же	4	2
120	в повести	3	2
121	одна из	2	2
122	никогда не	6	2
123	в роман	1	2
124	к себе	6	2
125	его с	1	2
126	на это	1	2
127	и это	3	2
128	же не	1	2
129	так в	2	2
130	в лицо	1	2
131	еще не	7	2
132	что ж	7	2
133	и наказания	3	2
134	с нею	2	2
135	уже не	4	2
136	его и	1	2
137	могли быть	1	2
138	для него	2	2
139	отношение к	3	2
140	к ним	4	2
141	как раз	7	2
142	его личность	1	2
143	и т.п	14	2
144	о влиянии	1	2
145	и стал	1	2
146	начиная с	1	2
147	этот рассказ	1	2
148	не может	19	2
149	вместе с	2	2
150	в него	6	2
151	достоевский был	1	2
152	довольно много	1	2
153	в это	1	2
154	романе бесы	1	2
155	но это	6	2
156	что я	6	2
157	очень хорошо	1	2
158	а в	2	2
159	в свою	1	2
160	это в	1	2
161	ну что	5	1
162	этого романа	2	1
163	себя как	3	1
164	а между	2	1
165	достоевского если	1	1
166	также и	3	1
167	человека и	3	1
168	рассматривать в	1	1
169	того же	3	1
170	к своей	1	1
171	и есть	1	1
172	не хочет	2	1
173	которую они	1	1
174	по преимуществу	1	1
175	в их	4	1
176	из всех	1	1
177	вы не	1	1
178	той же	3	1
179	преступления и	3	1
180	вот она	1	1
181	именно к	1	1
182	он как	2	1
