N	3gram	Losev_Dial_3	UchenyiS
1	в конечном счете	1	4
2	не может быть	6	4
3	с другой стороны	2	3
4	то же время	1	3
5	бы то ни	1	3
6	в то же	1	3
7	то ни было	1	3
8	не могут быть	2	2
9	в их взаимоотношении	1	2
10	в самом деле	5	2
11	но даже и	2	2
12	то же самое	1	2
13	до сих пор	1	2
14	в этом отношении	1	2
15	в том что	3	2
16	по крайней мере	5	2
17	и в частности	1	2
18	тех или иных	1	2
19	все что угодно	1	1
20	и случилось с	1	1
21	или по крайней	1	1
22	так или иначе	2	1
23	было бы равносильно	1	1
24	не в том	1	1
25	то что все	1	1
26	это было бы	2	1
27	более или менее	1	1
28	имеем в виду	1	1
29	и не только	3	1
30	на первый план	4	1
31	и в то	1	1
32	самом деле есть	1	1
33	сам по себе	5	1
34	кого бы то	1	1
35	само по себе	5	1
36	и прежде всего	3	1
37	не о чем	1	1
38	могут быть оправданы	1	1
39	мы имеем в	1	1
40	на то что	3	1
41	но что такое	4	1
42	в ней не	1	1
43	это не только	1	1
44	в данном случае	1	1
45	с одной стороны	3	1
46	но если нет	1	1
47	выдвигает на первый	1	1
