N	3gram	Bakhtin_sl_2	NovoeSre
1	не может быть	15	4
2	в средние века	1	3
3	со всех сторон	1	3
4	во всех сферах	1	3
5	в нем нет	1	2
6	с одной стороны	5	2
7	это не значит	1	2
8	с другой стороны	1	2
9	все эти формы	3	2
10	она не может	1	2
11	человеке и его	3	1
12	а не с	1	1
13	а не в	1	1
14	в том числе	1	1
15	римской империи и	1	1
16	как это было	1	1
17	до сих пор	2	1
18	и не может	1	1
19	в зависимости от	4	1
20	сами по себе	1	1
21	в отличие от	12	1
22	но и в	1	1
23	не менее чем	1	1
24	том числе и	1	1
25	всех сферах жизни	1	1
26	и в истории	2	1
27	может быть только	1	1
28	и не в	1	1
29	например во франции	2	1
30	не только в	2	1
31	и не могут	1	1
32	xiv и xv	1	1
33	не могут быть	2	1
34	в нем не	1	1
35	во всяком случае	2	1
36	и еще не	1	1
37	хотя и в	1	1
38	в судьбах человеческого	1	1
39	о том что	1	1
40	ни в чем	2	1
41	в значительной степени	6	1
42	мы говорим о	1	1
43	в новое время	2	1
44	в большинстве случаев	5	1
45	в том что	4	1
46	как и в	1	1
47	конечно не в	1	1
