N	2gram	Medvedev_F_2	ViktorSh
1	в шкловского	6	5
2	в книге	1	3
3	теория прозы	1	3
4	конце концов	2	2
5	и в	38	2
6	том что	2	2
7	в том	11	2
8	теории прозы	1	2
9	в конце	2	2
10	в шкловский	14	2
11	и только	5	1
12	крайней мере	1	1
13	я интересуюсь	1	1
14	нет есть	1	1
15	трестов а	1	1
16	все дело	3	1
17	изменяется слово	1	1
18	сами формалисты	1	1
19	под влиянием	1	1
20	формализма в	4	1
21	и способами	1	1
22	в другом	1	1
23	хотя бы	6	1
24	и не	20	1
25	все время	6	1
26	и его	21	1
27	потому что	2	1
28	даже не	2	1
29	сводится к	5	1
30	шкловского в	5	1
31	и изменяется	1	1
32	и то	2	1
33	ее ткать	1	1
34	способами ее	1	1
35	в пылу	1	1
36	поэтического творчества	1	1
37	не политикой	1	1
38	не положением	1	1
39	степени уже	1	1
40	если провести	1	1
41	самом деле	8	1
42	заводскую параллель	1	1
43	с физиологией	1	1
44	в шкловским	1	1
45	законам связанным	1	1
46	языка если	2	1
47	к созданию	1	1
48	все это	3	1
49	от других	1	1
50	и положения	1	1
51	внутренние законы	1	1
52	именно в	5	1
53	главным образом	3	1
54	вещь и	1	1
55	по своим	1	1
56	рынка не	1	1
57	интересуюсь не	1	1
58	только номерами	1	1
59	номерами пряжи	1	1
60	в теории	4	1
61	положением мирового	1	1
62	в их	6	1
63	как же	1	1
64	собственно и	1	1
65	теории литературы	1	1
66	дело в	1	1
67	техники и	1	1
68	параллель то	1	1
69	так в	3	1
70	речи и	3	1
71	методологическую позицию	1	1
72	столь же	2	1
73	образом из	1	1
74	время в	1	1
75	словесным законам	1	1
76	ведь это	1	1
77	законов его	1	1
78	говоря о	1	1
79	в значительной	3	1
80	политикой трестов	1	1
81	своим словесным	1	1
82	в самом	16	1
83	для них	3	1
84	я занимаюсь	1	1
85	литературы исследованием	1	1
86	только в	6	1
87	внутренних законов	1	1
88	то же	6	1
89	физиологией речи	1	1
90	социальных отношений	1	1
91	занимаюсь в	1	1
92	слово по	1	1
93	ясно что	1	1
94	так как	4	1
95	слово вещь	1	1
96	далеко не	1	1
97	что слово	1	1
98	не будем	1	1
99	но это	2	1
100	что язык	1	1
101	язык находится	1	1
102	в этом	27	1
103	провести заводскую	1	1
104	пряжи и	1	1
105	находится под	1	1
106	да и	1	1
107	исследованием внутренних	1	1
108	по крайней	1	1
109	а только	2	1
110	для формализма	3	1
111	и заключается	1	1
112	по существу	7	1
113	то я	1	1
114	к этому	4	1
115	значительной степени	3	1
116	влиянием социальных	1	1
117	его языка	1	1
118	гораздо более	1	1
119	связанным с	1	1
