N	3gram	Tiupa_Hudo_2	RusskieA
1	в том что	11	18
2	состоит в том	2	13
3	в этом случае	1	6
4	в данном случае	2	6
5	для того чтобы	3	6
6	и т д	2	5
7	и в других	1	4
8	так же как	2	4
9	о том что	7	4
10	в xix в	1	3
11	не может быть	3	3
12	о том же	1	3
13	подобно тому как	4	3
14	тем не менее	3	2
15	же как и	1	2
16	в этом и	2	2
17	в то время	1	2
18	после того как	1	2
19	с одной стороны	3	2
20	на другой день	2	2
21	пока еще не	1	2
22	этом и состоит	1	1
23	том что в	3	1
24	а между тем	3	1
25	как например в	1	1
26	а на другой	1	1
27	когда-то и в	1	1
28	не было ни	1	1
29	в настоящее время	1	1
30	о том как	2	1
31	и то и	1	1
32	между тем как	1	1
33	в этом отношении	1	1
34	можно было бы	2	1
35	а иногда и	1	1
36	не в духе	2	1
37	следующим образом в	1	1
38	человека а не	1	1
39	в это время	1	1
40	в этой связи	2	1
41	наблюдения и выводы	1	1
42	и в этом	2	1
43	она может дать	1	1
44	то время как	1	1
45	дело в том	1	1
46	с другой стороны	1	1
47	того момента когда	1	1
48	и в том	1	1
49	что и от	1	1
50	с того что	1	1
51	в остальное время	1	1
52	братьев и сестер	1	1
53	можно сказать что	1	1
54	как символ бессмертия	1	1
55	как и в	3	1
56	этом случае с	1	1
57	в дом и	1	1
