N	3gram	Vinokur_St_1	Morfolog
1	и т д	21	47
2	в этом случае	2	9
3	не может быть	5	8
4	по отношению к	3	4
5	с точки зрения	8	4
6	т д но	4	4
7	а также и	2	4
8	с другой стороны	6	4
9	тем не менее	2	4
10	далеко не все	1	3
11	на самом деле	6	3
12	но все же	3	3
13	как и в	2	3
14	в обоих случаях	1	2
15	в настоящее время	1	2
16	в таких случаях	1	2
17	точно так же	1	2
18	мы приходим к	1	2
19	и в других	1	2
20	может быть и	2	2
21	то время как	1	2
22	в иных случаях	2	2
23	с одной стороны	2	2
24	это не значит	3	2
25	т д как	1	2
26	и таким образом	1	2
27	с того что	1	2
28	в то время	2	2
29	не значит что	3	2
30	в отдельных случаях	1	2
31	для того чтобы	10	2
32	в том что	17	2
33	т д в	1	2
34	по собственному усмотрению	1	1
35	то ни стало	1	1
36	а вовсе не	1	1
37	но то что	1	1
38	том что он	1	1
39	о том как	1	1
40	что же касается	3	1
41	во что бы	1	1
42	тому что в	2	1
43	точки зрения его	1	1
44	бы они ни	1	1
45	и все с	1	1
46	до сих пор	7	1
47	сих пор не	1	1
48	является то что	1	1
49	бы то ни	1	1
50	в какой степени	1	1
51	их и не	1	1
52	но это не	1	1
53	можно было бы	8	1
54	очень давно и	1	1
55	его и т	1	1
56	в том случае	1	1
57	точки зрения их	2	1
58	что там где	1	1
59	в применении к	3	1
60	он приводит в	1	1
61	в данном случае	6	1
62	что бы то	1	1
63	на этот вопрос	1	1
64	имеет ничего общего	2	1
65	во втором случае	2	1
66	вполне точно и	1	1
67	то что он	1	1
68	во всяком случае	6	1
69	так же и	1	1
70	не в количестве	1	1
71	а на самом	1	1
72	не имеет ничего	2	1
73	как бы они	1	1
74	во всех этих	1	1
75	то же время	4	1
76	могут быть приведены	1	1
77	того чтобы получить	1	1
78	те или иные	1	1
79	о том что	11	1
80	если бы мы	2	1
81	той или иной	1	1
82	т е не	1	1
83	они ни были	1	1
84	на то что	4	1
85	в то же	4	1
86	из этих двух	2	1
87	к тому что	1	1
88	во многих отношениях	1	1
89	во всех случаях	1	1
90	дело не в	2	1
91	что и в	4	1
92	могло бы быть	1	1
