N	2gram	Tiupa_Lite_2	Tvorches
1	и в	19	21
2	как бы	2	17
3	в то	9	15
4	то же	12	13
5	времени в	1	13
6	в его	4	13
7	то есть	5	12
8	как и	10	12
9	же время	9	12
10	что в	4	12
11	том что	7	11
12	в романе	1	10
13	как в	1	8
14	он не	5	8
15	то что	7	8
16	в году	5	7
17	и на	6	7
18	но в	2	7
19	не только	8	7
20	при этом	6	7
21	тем самым	3	7
22	у него	2	7
23	и не	11	7
24	в том	10	7
25	в свою	1	7
26	в этом	9	6
27	в творчестве	1	6
28	человека в	4	6
29	не менее	6	6
30	и его	3	6
31	он сам	1	6
32	о том	2	6
33	и все	1	6
34	что он	3	6
35	для него	4	6
36	а в	3	6
37	жизни в	4	6
38	отнюдь не	4	5
39	все же	2	5
40	в этой	3	5
41	таким образом	1	5
42	вовсе не	2	5
43	в своих	2	5
44	в русской	4	5
45	потому что	2	5
46	по нашему	1	5
47	может быть	17	5
48	нашему мнению	1	5
49	а не	20	5
50	но это	3	5
51	хотя бы	2	5
52	из всех	1	4
53	конечном счете	5	4
54	в своем	1	4
55	и как	3	4
56	в целом	2	4
57	это не	1	4
58	в своей	1	4
59	мысли и	2	4
60	своего рода	13	4
61	не случайно	4	4
62	по сути	1	4
63	в мире	9	4
64	в конечном	5	4
65	русской литературе	2	4
66	одной из	2	4
67	в финале	1	4
68	прежде всего	4	4
69	не может	9	4
70	и от	1	4
71	в основном	1	4
72	один из	4	4
73	с большой	1	4
74	процесса в	1	4
75	одним из	3	4
76	я и	4	3
77	ту же	2	3
78	и т	2	3
79	на самом	1	3
80	это и	1	3
81	той же	2	3
82	я не	5	3
83	что я	2	3
84	со всеми	1	3
85	в самом	1	3
86	представляет собой	2	3
87	в нем	3	3
88	в россии	2	3
89	на земле	1	3
90	и по	1	3
91	в каждом	2	3
92	и с	3	3
93	и других	4	3
94	на протяжении	1	3
95	соответствии с	2	3
96	далеко не	1	3
97	в их	3	3
98	место в	1	3
99	даже в	4	3
100	не по	2	3
101	никогда не	3	3
102	вот почему	1	3
103	стремится к	1	3
104	приходит к	1	3
105	с ее	2	3
106	с ним	2	3
107	в ту	1	3
108	того что	5	3
109	который в	1	3
110	уже не	2	3
111	уже в	2	3
112	говорит о	1	3
113	не так	2	3
114	так как	3	3
115	в соответствии	1	3
116	и даже	8	3
117	с другой	8	3
118	но и	10	3
119	что человек	1	3
120	к человеку	1	3
121	но не	5	3
122	он говорит	1	3
123	это как	2	3
124	жизни и	4	3
125	ее в	1	3
126	так же	1	3
127	себя как	2	2
128	в любви	1	2
129	того же	4	2
130	самом деле	1	2
131	на деле	1	2
132	в первом	1	2
133	по преимуществу	2	2
134	есть не	1	2
135	на первом	2	2
136	и он	3	2
137	героя и	1	2
138	в ней	4	2
139	в отличие	1	2
140	во имя	2	2
141	в чем	1	2
142	если в	2	2
143	отличие от	1	2
144	как к	3	2
145	когда он	1	2
146	и наконец	2	2
147	то в	2	2
148	к достижению	1	2
149	в себе	6	2
150	тем не	2	2
151	в принципе	5	2
152	здесь мы	1	2
153	а затем	2	2
154	в вечности	1	2
155	на лестнице	1	2
156	а по	1	2
157	в данном	3	2
158	ведет к	1	2
159	такой же	3	2
160	в этих	1	2
161	современного человека	1	2
162	не столько	3	2
163	не в	4	2
164	в пространстве	1	2
165	но он	1	2
166	по крайней	2	2
167	т п	2	2
168	однако в	6	2
169	на свете	2	2
170	одна из	5	2
171	и притом	1	2
172	в основе	2	2
173	от жизни	1	2
174	свободы и	1	2
175	но только	2	2
176	свидетельствует о	2	2
177	личности в	3	2
178	своего я	1	2
179	могут быть	2	2
180	является одним	1	2
181	к тому	1	2
182	в жизни	2	2
183	более не	1	2
184	в виду	2	2
185	не могу	2	2
186	данном случае	3	2
187	мысль о	1	2
188	в себя	3	2
189	во главе	1	2
190	приводит к	1	2
191	на том	1	2
192	и когда	1	2
193	так и	7	2
194	за то	2	2
195	еще в	4	2
196	во второй	1	2
197	быть может	3	2
198	можно сказать	1	2
199	и будет	1	2
200	одного из	1	2
201	переходит в	1	2
202	что и	2	2
203	во всей	1	2
204	крайней мере	2	2
205	в литературе	1	2
206	жизнь на	1	2
207	тот же	2	2
208	в традиции	1	2
209	в качестве	5	2
210	человека с	1	2
211	так что	4	2
212	от других	1	2
213	из них	2	2
214	был бы	2	2
215	мы находим	1	2
216	только на	1	2
217	именно в	1	2
218	что не	2	2
219	в образах	2	2
220	до конца	2	2
221	мира в	2	2
222	все более	1	2
223	в частности	4	2
224	вместе с	5	2
225	русской литературы	1	2
226	в него	2	2
227	пространства и	1	2
228	к жизни	2	2
229	эти слова	1	2
230	еще более	1	2
231	вокруг себя	1	2
232	время не	1	2
233	не мог	1	2
234	для этой	1	2
235	ее и	1	2
236	личности и	1	2
237	в стихах	8	2
238	не знает	2	2
239	что ты	2	2
240	себе не	2	2
241	время он	1	2
242	к этому	1	2
243	гораздо более	1	2
244	литературы а	1	1
245	в сфере	4	1
