1	с другой стороны	4	7
2	до сих пор	12	5
3	тем не менее	4	5
4	в этом случае	4	5
5	в том что	16	5
6	как мы видели	1	5
7	мы видим что	1	4
8	выше мы видели	1	3
9	в связи с	3	3
10	в данном случае	3	3
11	мы видели что	1	3
12	еще не вполне	1	2
13	и то что	3	2
14	с одной стороны	2	2
15	не только не	1	2
16	в то время	1	2
17	то время как	1	2
18	по отношению к	10	2
19	таким образом и	1	2
20	к тому же	4	2
21	точно так же	1	2
22	но все же	2	2
23	состоит в том	1	2
24	таким образом мы	1	2
25	о том что	4	2
26	мы уже знаем	1	2
27	как и в	2	2
28	во всяком случае	2	2
29	но вместе с	1	1
30	к которой он	1	1
31	мы должны выяснить	1	1
32	в том числе	1	1
33	одной и той	1	1
34	во всем мире	1	1
35	мы уже говорили	1	1
36	с самого начала	1	1
37	этом случае мы	1	1
38	о том чтобы	2	1
39	на все эти	1	1
40	отличаются друг от	3	1
41	независимо от того	1	1
42	а так как	1	1
43	то обстоятельство что	1	1
44	уже знаем что	1	1
45	может быть и	4	1
46	друг от друга	6	1
47	и той же	1	1
48	в тех случаях	1	1
49	тогда как при	1	1
50	хотя и не	1	1
51	что в данном	1	1
52	заключается в том	3	1
53	друг с другом	9	1
54	не есть ли	1	1
55	из того что	1	1
56	каждый имеет свою	1	1
57	с точки зрения	8	1
58	мы знаем что	7	1
59	вместе с тем	2	1
60	все эти вопросы	1	1
61	следить за тем	1	1
62	оградить себя от	1	1
63	мы видели выше	1	1
64	по этому вопросу	1	1
65	смысле этого слова	1	1
66	не может быть	4	1
67	однако мы знаем	1	1
68	образом мы видим	1	1
69	однако это не	1	1
70	и все что	2	1
71	вместе с ней	1	1
72	на своем пути	1	1
73	потому что как	1	1
74	так же как	3	1
75	на самом деле	7	1
76	направление в котором	1	1
77	в свою очередь	2	1
78	сих пор не	4	1
79	и в том	2	1
80	часто можно встретить	1	1
81	иначе обстоит дело	1	1
82	и у нас	1	1
83	и так или	1	1
84	не находят себе	1	1
85	на то что	7	1
86	за тем чтобы	1	1
87	ничего общего с	2	1
88	надо сказать что	1	1
89	была у него	1	1
90	тех случаях когда	1	1
91	таким образом этот	1	1
92	это может быть	1	1
93	только то что	2	1
94	он все же	2	1
95	которые не находят	1	1
96	так или иначе	3	1
97	все же не	3	1
98	время от времени	2	1
