N	3gram	Nazirov_Tv_1	VeschiIm
1	и т д	1	20
2	это значит что	1	17
3	бы то ни	1	9
4	то ни было	1	9
5	что иное как	1	8
6	не что иное	1	8
7	по крайней мере	2	6
8	в том что	6	6
9	в свою очередь	1	5
10	тем не менее	2	5
11	не только в	2	4
12	то же время	12	4
13	в то же	13	4
14	и в то	2	3
15	то и другое	1	3
16	вместе с тем	1	3
17	только то что	1	3
18	в отрыве от	1	3
19	не только я	1	2
20	не может не	1	2
21	можно сказать что	2	2
22	дело в том	3	2
23	в данном случае	2	2
24	заключается в том	1	2
25	к тому что	1	2
26	и того же	1	1
27	это уже не	2	1
28	прежде всего на	1	1
29	потому что я	1	1
30	до сих пор	1	1
31	сами по себе	1	1
32	что он не	1	1
33	не то что	1	1
34	что как бы	1	1
35	а не то	1	1
36	все же это	1	1
37	и тем не	1	1
38	по смыслу а	1	1
39	хотя бы и	1	1
40	в самом последнем	1	1
41	но в то	4	1
42	таким образом и	1	1
43	с одной стороны	1	1
44	в конце концов	1	1
45	каких бы то	1	1
46	себя с ним	1	1
47	и как бы	1	1
48	в xix веке	1	1
49	это не значит	1	1
50	с другой стороны	1	1
51	и все же	3	1
52	о том что	5	1
53	ту же самую	1	1
54	не предмет а	1	1
55	одного и того	1	1
56	не может и	1	1
57	что оно не	1	1
58	не значит что	1	1
59	в отношении к	1	1
60	а если мы	1	1
61	он говорит об	1	1
