N	2gram	Medvedev_F_2	VrazhdaK
1	не только	9	9
2	в этом	27	8
3	и в	38	8
4	достоевский и	1	8
5	но и	13	7
6	и все	3	7
7	то что	6	7
8	что в	7	7
9	все же	8	6
10	но в	4	6
11	в нем	13	6
12	как и	9	6
13	в котором	2	6
14	и с	9	6
15	о нем	1	6
16	и даже	4	6
17	то же	6	5
18	в то	5	5
19	же время	5	5
20	между тем	2	5
21	не было	6	5
22	в россии	1	5
23	и не	20	5
24	в ней	6	4
25	что он	5	4
26	в истории	6	4
27	целый ряд	1	4
28	при этом	9	4
29	это не	2	4
30	несмотря на	1	4
31	все это	3	4
32	в виду	2	4
33	во многом	1	4
34	с ним	2	4
35	о том	1	4
36	для нас	1	4
37	уже в	2	4
38	может быть	23	4
39	как бы	4	4
40	в своих	1	4
41	так же	1	4
42	одним из	1	3
43	который был	1	3
44	он был	2	3
45	в чем	2	3
46	с его	11	3
47	в своем	1	3
48	и как	3	3
49	в этот	1	3
50	на то	1	3
51	его в	3	3
52	он не	6	3
53	далеко не	1	3
54	том что	2	3
55	но он	1	3
56	и его	21	3
57	связи с	13	3
58	и о	2	3
59	и во	1	3
60	в его	10	3
61	в том	11	3
62	в конце	2	3
63	тем что	8	3
64	в связи	10	3
65	т е	26	3
66	к этому	4	3
67	же как	3	2
68	и то	2	2
69	на место	1	2
70	столь же	2	2
71	но как	2	2
72	в эти	1	2
73	он пишет	2	2
74	и достоевский	1	2
75	отнюдь не	8	2
76	в той	2	2
77	в этой	6	2
78	что к	1	2
79	в себе	1	2
80	время и	3	2
81	их в	2	2
82	таким образом	20	2
83	в них	1	2
84	рядом с	1	2
85	мы знаем	3	2
86	на первый	2	2
87	в эту	1	2
88	точки зрения	8	2
89	в своей	7	2
90	и ее	6	2
91	с точки	7	2
92	место в	3	2
93	не менее	1	2
94	никогда не	2	2
95	п в	1	2
96	его с	3	2
97	и это	2	2
98	же не	1	2
99	в в	2	2
100	так в	3	2
101	с нею	2	2
102	уже не	7	2
103	при помощи	2	2
104	из них	4	2
105	для него	7	2
106	отношение к	2	2
107	к ним	1	2
108	как раз	6	2
109	как же	1	2
110	о чем	1	2
111	не может	14	2
112	вместе с	6	2
113	и а	1	2
114	но это	2	2
115	же в	1	2
116	а в	6	2
117	в свою	1	2
118	которых не	1	1
119	как известно	1	1
120	от этой	1	1
121	с утверждением	1	1
122	вряд ли	2	1
123	можно говорить	2	1
124	и борьбы	1	1
125	того же	1	1
126	о возможном	1	1
127	он весьма	1	1
128	к своей	1	1
129	это и	5	1
130	идет о	2	1
131	и есть	1	1
132	что слово	1	1
133	а от	1	1
134	по преимуществу	5	1
135	едва ли	2	1
136	в их	6	1
137	полагает что	1	1
138	той же	1	1
139	что уже	1	1
140	пока только	1	1
141	начинается с	1	1
142	равно как	2	1
143	совпадает с	2	1
144	говорить о	5	1
145	скорее напротив	1	1
146	с исторической	1	1
147	это время	2	1
148	на них	1	1
149	первый план	2	1
150	содержания в	1	1
151	влияния на	1	1
152	одним словом	4	1
153	совсем не	2	1
154	но не	2	1
155	а тем	1	1
156	в сторону	4	1
157	если в	3	1
158	что они	4	1
159	к сожалению	2	1
160	независимо от	4	1
161	как в	4	1
162	с этим	5	1
163	для создания	2	1
164	дает нам	1	1
165	для всех	1	1
166	как к	3	1
167	впервые на	1	1
168	и наконец	4	1
169	так при	1	1
170	и отчасти	3	1
171	и глубокой	1	1
172	то в	2	1
173	в самом	16	1
174	что это	3	1
175	в целом	3	1
176	что же	5	1
177	выражение в	1	1
178	но ведь	3	1
179	как литературные	1	1
180	как он	1	1
181	не могла	1	1
182	развиваться в	1	1
183	да и	1	1
184	которой не	1	1
185	высшей степени	4	1
186	в первой	1	1
187	всех этих	3	1
188	же это	2	1
189	в плане	2	1
190	из него	2	1
191	и этот	1	1
192	всего то	1	1
193	не будет	2	1
194	их и	1	1
195	а их	1	1
196	самим собой	1	1
197	говорить не	2	1
198	это было	3	1
199	было бы	6	1
200	из первых	1	1
201	типичным представителем	1	1
202	как общее	1	1
203	в высшей	4	1
204	эта попытка	1	1
205	он и	3	1
206	в развитии	2	1
207	вячеслав иванов	1	1
208	такой же	3	1
209	в этих	2	1
210	ориентировался на	1	1
211	и их	3	1
212	что о	2	1
213	всяком случае	5	1
214	каким был	1	1
215	представление о	2	1
216	его отношение	1	1
217	не будем	1	1
218	тем не	1	1
219	по крайней	1	1
220	не могли	2	1
221	для россии	1	1
222	возвращается к	1	1
223	раз и	4	1
224	но они	1	1
225	тем самым	2	1
226	всего была	1	1
227	что эта	2	1
228	не имеет	2	1
229	правда в	2	1
230	в процессе	9	1
231	как о	4	1
232	из их	1	1
233	нельзя не	1	1
234	все свои	1	1
235	не лучше	1	1
236	не учитывать	2	1
237	ничего не	4	1
238	это то	1	1
239	и лишь	2	1
240	в другую	1	1
