N	2gram	Nazirov_Tr_1	Komedia
1	и в	18	22
2	и не	7	21
3	т е	1	16
4	том что	4	13
5	таким образом	1	12
6	в том	2	12
7	ни в	2	10
8	потому что	2	10
9	в самом	2	9
10	вместе с	1	9
11	в этом	9	8
12	его в	2	8
13	в глазах	2	8
14	в своем	3	8
15	к ней	1	8
16	о том	2	8
17	в его	3	8
18	что и	2	8
19	что он	6	8
20	то же	5	7
21	при этом	3	7
22	об этом	4	7
23	в конце	3	7
24	о чем	3	7
25	только что	1	7
26	самом деле	1	6
27	еще не	4	6
28	так что	2	6
29	iii в	3	6
30	в то	5	6
31	и его	6	6
32	к тому	2	6
33	того чтобы	1	6
34	и что	4	6
35	может быть	7	6
36	ненависти к	2	5
37	отношение к	2	5
38	более чем	1	5
39	но в	6	5
40	не только	8	5
41	а по	1	5
42	он не	2	5
43	в своей	1	5
44	не менее	1	5
45	же время	6	5
46	связи с	1	5
47	хозяина и	1	5
48	к себе	1	5
49	из дома	1	5
50	и сам	3	5
51	с ним	3	5
52	к нему	3	5
53	что в	4	5
54	тем что	2	5
55	прежде всего	4	5
56	как это	3	5
57	все это	4	5
58	и т	1	4
59	на себя	1	4
60	в ней	1	4
61	он был	2	4
62	тут же	2	4
63	отнюдь не	3	4
64	все же	5	4
65	то что	4	4
66	в себе	4	4
67	что она	2	4
68	но все	2	4
69	и с	7	4
70	с тем	2	4
71	несмотря на	5	4
72	не в	2	4
73	самого начала	1	4
74	у него	6	4
75	и здесь	2	4
76	с самого	1	4
77	друг друга	2	4
78	так и	5	4
79	между собой	1	4
80	с помощью	1	4
81	т п	1	4
82	но и	4	4
83	до конца	2	4
84	ничем не	2	4
85	а не	1	4
86	в связи	1	4
87	не является	1	4
88	бы в	1	4
89	хотя бы	1	4
90	так же	4	4
91	который в	2	3
92	на них	1	3
93	столь же	2	3
94	с его	2	3
95	в ее	2	3
96	в которой	1	3
97	представляет собой	1	3
98	в этой	4	3
99	как он	1	3
100	не могла	1	3
101	в нем	4	3
102	от нее	1	3
103	дома и	2	3
104	в них	1	3
105	как и	5	3
106	и еще	1	3
107	но если	1	3
108	в iii	1	3
109	отцом и	2	3
110	тем не	1	3
111	к ним	1	3
112	не имеет	2	3
113	никогда не	2	3
114	ничего не	2	3
115	судя по	1	3
116	в глаза	2	3
117	любовь к	1	3
118	в двух	1	3
119	с одной	1	3
120	что не	1	3
121	не так	2	3
122	всяком случае	1	3
123	и даже	4	3
124	даже не	1	3
125	перед ним	1	3
126	на этот	1	3
127	один из	3	3
128	в частности	2	3
129	на новую	1	3
130	не может	5	3
131	как бы	7	3
132	с этой	1	3
133	в целом	4	3
134	из себя	1	3
135	дело с	1	3
136	во всяком	1	3
137	человека и	1	2
138	даже если	2	2
139	в и	1	2
140	х годов	1	2
141	представление о	1	2
142	и он	3	2
143	но при	2	2
144	и на	7	2
145	во всех	1	2
146	его а	1	2
147	с отцом	1	2
148	отличие от	2	2
149	за пределы	1	2
150	и я	2	2
151	как в	3	2
152	в известной	2	2
153	между отцом	1	2
154	в результате	1	2
155	и хотя	1	2
156	бы не	1	2
157	только один	1	2
158	если он	1	2
159	и если	1	2
160	а затем	1	2
161	в мире	3	2
162	а как	2	2
163	это не	5	2
164	отца и	2	2
165	и ненависть	1	2
166	в развитии	1	2
167	не мог	2	2
168	я ведь	2	2
169	этой связи	1	2
170	в котором	1	2
171	в одном	2	2
172	того кто	1	2
173	что эта	1	2
174	тому что	1	2
175	она не	1	2
176	что с	3	2
177	вплоть до	1	2
178	что ему	1	2
179	за то	1	2
180	и готов	1	2
181	в области	1	2
182	одним из	1	2
183	известной степени	1	2
184	его дочь	2	2
185	он бы	1	2
186	на улицу	1	2
187	и это	2	2
188	как мы	1	2
189	и о	1	2
190	в виду	1	2
191	ухода из	1	2
192	роль в	1	2
193	в образе	6	2
194	можно было	1	2
195	наряду с	1	2
196	в эпоху	1	2
197	а также	1	2
198	в другом	1	2
199	на вопрос	1	2
200	между тем	1	2
201	нуждается в	1	2
202	все время	1	2
203	не как	1	2
204	могло быть	1	2
205	по мнению	2	2
206	и ее	2	2
207	на брак	1	2
208	уже в	3	2
209	в отношениях	1	2
210	чувствует себя	1	2
211	до начала	1	2
212	не было	1	2
213	а на	1	2
214	под влиянием	2	2
215	он и	2	2
216	и особенно	1	2
217	до этого	1	2
218	не могут	2	2
219	сравнению с	1	2
220	для понимания	1	2
221	этом случае	1	2
222	о его	2	2
223	является ли	1	2
224	и все	4	2
225	конце концов	1	2
226	обстоит дело	1	2
227	совершенно не	1	2
228	что ты	1	2
229	к этой	1	2
230	по сравнению	1	2
231	это в	1	2
232	в таком	2	2
233	эта новая	1	1
234	я и	1	1
235	любовь в	1	1
236	ее отцом	1	1
237	не думает	1	1
238	например в	1	1
239	он считает	1	1
240	чтобы не	1	1
241	с жизнью	1	1
242	а из	1	1
243	же по	1	1
244	в первом	2	1
245	и до	2	1
246	на пороге	1	1
247	вопрос о	2	1
248	свое происхождение	1	1
249	всегда быть	1	1
250	я не	4	1
251	не сводится	1	1
252	ему в	1	1
253	вполне серьезно	1	1
254	и сыном	1	1
255	из ее	1	1
256	в сцене	1	1
257	было до	1	1
258	он сам	7	1
259	все эти	3	1
260	не был	2	1
261	человека перед	2	1
262	в чем	1	1
263	но не	1	1
264	но как	1	1
265	вспомнить что	1	1
266	должны были	1	1
267	в комментариях	1	1
268	друга и	1	1
269	замечал что	1	1
270	к сожалению	1	1
271	в истории	1	1
272	одном из	2	1
273	где и	1	1
274	это был	2	1
275	перед нами	2	1
276	третий раз	1	1
277	на земле	1	1
278	и как	3	1
279	и наконец	1	1
280	к числу	1	1
281	и дочери	1	1
282	роль играет	1	1
283	отказывается от	2	1
284	все усилия	1	1
285	начнем с	1	1
286	право на	1	1
287	открывает ему	1	1
288	самое главное	1	1
289	человек не	1	1
290	которой не	1	1
291	к одному	1	1
