N	2gram	Tiupa_Anal_3	OGranits
1	и в	18	13
2	и его	13	12
3	прежде всего	5	9
4	может быть	9	8
5	не может	2	8
6	и не	12	8
7	и т.п	5	7
8	в его	7	7
9	и их	1	7
10	точки зрения	3	7
11	эстетический объект	1	7
12	только в	2	6
13	как бы	10	6
14	не только	22	6
15	то что	2	6
16	мы должны	1	6
17	таким образом	4	6
18	и т.д	2	5
19	все же	4	5
20	с точки	2	5
21	хотя бы	1	5
22	эстетического объекта	2	5
23	мы не	3	4
24	произведения как	2	4
25	тех пор	2	4
26	еще и	3	4
27	на фоне	1	4
28	но в	2	4
29	до тех	1	4
30	вопроса о	2	4
31	мы можем	2	4
32	то же	3	4
33	лишь в	5	4
34	в своей	1	4
35	было бы	3	4
36	все это	3	4
37	не является	5	4
38	в каждом	3	4
39	связана с	1	3
40	в ее	3	3
41	самом деле	2	3
42	в пределах	4	3
43	так и	14	3
44	при анализе	1	3
45	говорить о	3	3
46	в их	6	3
47	по отношению	7	3
48	за пределы	1	3
49	с этим	3	3
50	в себе	2	3
51	не как	2	3
52	в одном	4	3
53	здесь мы	1	3
54	но и	13	3
55	как и	14	3
56	со всей	1	3
57	не в	6	3
58	да и	2	3
59	и для	2	3
60	никогда не	5	3
61	и все	2	3
62	превращается в	1	3
63	отношению к	7	3
64	не столько	3	3
65	что в	9	3
66	в искусстве	2	3
67	для себя	1	2
68	произведения но	1	2
69	и др	1	2
70	данном случае	3	2
71	зависимости от	1	2
72	в произведении	3	2
73	и может	1	2
74	роль в	3	2
75	на две	1	2
76	мы уже	1	2
77	те же	2	2
78	есть не	2	2
79	мог бы	1	2
80	если бы	1	2
81	что иное	1	2
82	иное как	1	2
83	не что	1	2
84	и должно	1	2
85	в ней	2	2
86	ее в	1	2
87	а также	2	2
88	мы понимаем	1	2
89	между тем	5	2
90	в общем	2	2
91	нуждается в	2	2
92	во всей	1	2
93	что они	3	2
94	вслед за	1	2
95	наконец в	1	2
96	может иметь	1	2
97	как в	3	2
98	в данном	4	2
99	в этом	14	2
100	в полном	1	2
101	в том	9	2
102	тот же	1	2
103	с ними	1	2
104	или иного	1	2
105	от этого	1	2
106	и отчасти	1	2
107	в целом	3	2
108	все эти	2	2
109	с одной	2	2
110	учение о	1	2
111	уже в	3	2
112	в нем	2	2
113	при этом	11	2
114	для него	6	2
115	в другом	1	2
116	вовсе не	1	2
117	в зависимости	1	2
118	тем что	2	2
119	в них	2	2
120	связанных с	1	2
121	этой проблемы	1	2
122	с другой	7	2
123	всей своей	1	2
124	в самом	5	2
125	входит в	2	2
126	того или	1	2
127	она является	1	2
128	одной стороны	2	2
129	он только	1	2
130	а не	9	2
131	другой стороны	5	2
132	там где	2	2
133	не мог	2	2
134	несмотря на	2	2
135	в связи	1	2
136	том что	12	2
137	с помощью	1	2
138	в г	1	2
139	от своего	1	2
140	и ее	2	2
141	своего рода	8	2
142	в течение	1	2
143	в тех	2	2
144	с этой	1	2
145	художественное произведение	1	2
146	не менее	4	2
147	в книге	1	2
148	функцию в	1	2
149	от всех	1	2
150	бы в	1	2
151	и является	1	2
152	во всем	3	2
153	а в	10	2
154	героя и	4	2
155	и к	4	2
156	могут быть	2	2
157	в своих	1	2
158	к тому	6	2
159	человека и	1	1
160	того же	5	1
161	своем составе	1	1
162	поэтому столь	1	1
163	как известно	1	1
164	это и	2	1
165	и есть	1	1
166	нам кажется	2	1
167	в организации	1	1
168	здесь и	3	1
169	в себя	2	1
170	сознания с	1	1
171	и до	1	1
172	или иная	1	1
173	с языком	1	1
174	не имеют	1	1
175	едва ли	3	1
176	не дано	1	1
177	особенно в	1	1
178	в борьбе	2	1
179	отсюда и	1	1
180	миром с	1	1
181	осуществляется в	2	1
182	мы имеем	5	1
183	на первом	1	1
184	и о	1	1
185	вопрос о	1	1
186	и всякого	1	1
187	другое дело	1	1
188	для этого	1	1
189	по себе	4	1
190	же автора	1	1
191	как то	1	1
192	его за	2	1
193	на себя	2	1
194	с ее	3	1
195	сводится к	2	1
196	ему в	1	1
197	в мире	5	1
198	и он	2	1
199	революции в	1	1
200	внимание на	4	1
201	следует иметь	1	1
202	отдельном случае	1	1
203	еще не	6	1
204	к счастью	1	1
205	из литературы	1	1
206	в широком	1	1
207	нам представляется	2	1
208	столь же	4	1
209	время в	1	1
210	звуков в	1	1
211	тем как	1	1
212	в конечном	2	1
213	то мы	1	1
214	на самом	1	1
215	но не	7	1
216	а у	1	1
217	может и	1	1
218	отношение к	1	1
219	художественного впечатления	1	1
220	отметить что	1	1
221	и место	1	1
222	на то	1	1
223	один и	1	1
224	каждом отдельном	1	1
225	в истории	1	1
226	его эстетической	1	1
227	в описании	1	1
228	иных жизненных	1	1
229	внимание к	1	1
230	статье о	1	1
231	в своем	4	1
232	воззрений на	1	1
233	по своей	2	1
234	что касается	3	1
235	один из	2	1
236	они хотят	1	1
237	тех случаях	1	1
238	и как	4	1
239	одной из	1	1
240	этот вопрос	1	1
241	что он	4	1
242	произведения есть	1	1
243	общения то	1	1
244	из ранних	1	1
245	или иную	1	1
246	который в	3	1
247	в значительной	2	1
248	этим словом	1	1
249	состоит не	2	1
250	звучит один	1	1
251	со всеми	2	1
252	так в	3	1
253	в этой	6	1
254	промежуток времени	1	1
255	для всех	2	1
256	с их	3	1
257	в дальнейшем	2	1
258	и тот	1	1
259	не имеющие	1	1
260	с одним	1	1
261	литературы в	1	1
262	не можем	1	1
263	и у	1	1
264	себя и	1	1
265	три стороны	1	1
266	вследствие этого	1	1
267	что она	2	1
268	в статье	1	1
269	или даже	1	1
270	на эту	2	1
271	единая и	1	1
272	его и	1	1
273	конечном счете	2	1
274	ту или	1	1
275	одно из	1	1
276	состоит в	4	1
277	переходит от	1	1
278	художественного высказывания	2	1
279	в конце	5	1
280	картины мира	4	1
281	каждый из	1	1
282	подобно тому	3	1
283	и никогда	1	1
284	отличие от	2	1
285	его можно	1	1
286	этим же	1	1
287	не должно	3	1
288	для того	1	1
289	этим самым	1	1
290	к г	1	1
291	на всю	1	1
292	борьбы и	1	1
293	в особенности	3	1
294	к другому	1	1
295	как несомненно	1	1
296	бы быть	1	1
297	в лирике	2	1
298	и здесь	2	1
299	его в	3	1
300	как к	2	1
301	от одного	1	1
302	если говорить	1	1
303	ко второму	3	1
304	и иных	1	1
305	всякое высказывание	2	1
306	к которому	1	1
307	в предисловии	1	1
308	мог иметь	1	1
309	заключается в	1	1
310	между отдельными	1	1
311	мира это	1	1
312	еще одно	1	1
313	что мы	2	1
314	только к	2	1
315	только одно	1	1
316	произведения не	1	1
317	из нее	1	1
318	о которых	2	1
319	не было	3	1
320	далеко не	4	1
321	из наиболее	1	1
322	автору и	2	1
323	не всегда	3	1
324	которой он	1	1
325	он и	3	1
326	объекта в	1	1
327	отнюдь не	4	1
328	должно быть	1	1
329	выбора все	1	1
330	автора и	1	1
331	и тогда	1	1
332	мало что	1	1
333	из биографии	1	1
334	с первых	1	1
335	сводятся к	1	1
336	вступает в	3	1
337	связь с	2	1
338	но если	1	1
339	отчасти в	1	1
340	себе в	1	1
341	в строке	3	1
342	нигде и	1	1
343	как все	1	1
344	к истории	1	1
345	наконец даже	1	1
346	как это	3	1
347	однако этот	1	1
348	себе а	1	1
349	в отличие	2	1
350	мысли и	1	1
351	бы мы	1	1
352	в столь	1	1
353	к этому	3	1
354	а подлинный	1	1
355	такого рода	5	1
356	должно было	1	1
357	тому как	2	1
358	и вот	2	1
359	для данного	1	1
360	времени не	1	1
361	высказывания и	1	1
362	тем не	2	1
363	отношения не	1	1
364	этой внутренней	1	1
365	этого слова	2	1
366	произведений как	1	1
367	в контексте	2	1
368	вплоть до	2	1
369	но это	1	1
370	в начале	6	1
371	обратимся к	1	1
372	в то	3	1
373	как о	1	1
374	одна из	2	1
375	же есть	1	1
376	случаях когда	1	1
377	того чтобы	1	1
378	объекта и	1	1
379	уже на	1	1
380	само по	1	1
381	отношений и	1	1
382	формы и	1	1
383	и становится	1	1
384	и обрести	1	1
385	в самой	1	1
386	же время	3	1
