N	2gram	Vinokur_Vv_1	EvropaiC
1	таким образом	19	32
2	в том	31	31
3	и в	27	24
4	том что	26	20
5	все эти	3	19
6	не может	13	18
7	то что	17	17
8	может быть	24	15
9	народа в	1	15
10	все же	8	15
11	к культуре	2	14
12	точки зрения	7	13
13	самом деле	6	12
14	в своем	3	12
15	до сих	5	12
16	в этом	34	12
17	сих пор	5	12
18	с этим	2	11
19	между тем	8	11
20	все это	6	11
21	во всех	2	10
22	по отношению	4	10
23	культуры и	1	10
24	так и	1	10
25	из себя	1	10
26	мы знаем	1	10
27	как бы	5	10
28	отношению к	4	10
29	культуры в	5	10
30	все что	1	10
31	того же	3	9
32	на то	1	9
33	при этом	3	9
34	как и	5	9
35	в результате	3	9
36	что в	11	9
37	а и	1	8
38	в самом	12	8
39	с точки	2	8
40	не в	8	8
41	идет речь	2	8
42	ясно что	9	8
43	если бы	2	8
44	так же	3	8
45	и все	1	8
46	а между	1	7
47	на самом	1	7
48	из этих	5	7
49	в силу	3	7
50	европейской культуры	1	7
51	о которых	2	7
52	не менее	8	7
53	национальной культуры	4	7
54	по существу	2	7
55	того чтобы	21	7
56	к тому	4	7
57	для этого	3	7
58	о том	15	7
59	и что	4	7
60	что он	4	7
61	для того	21	7
62	но и	5	7
63	и не	13	7
64	о котором	8	7
65	должна быть	2	6
66	еще не	4	6
67	и на	3	6
68	в общем	12	6
69	тогда как	2	6
70	в этой	3	6
71	несмотря на	2	6
72	и при	2	6
73	данного народа	2	6
74	с ним	1	6
75	что и	3	6
76	при чем	1	6
77	народов и	2	6
78	того что	12	6
79	только в	13	6
80	так что	5	6
81	так как	13	6
82	мы можем	2	6
83	с другой	8	6
84	вместе с	6	6
85	в европе	1	6
86	отличается от	1	6
87	у них	1	6
88	как на	11	6
89	как к	1	5
90	и к	1	5
91	но в	10	5
92	в которой	1	5
93	что это	3	5
94	в целом	5	5
95	в себе	4	5
96	тому же	1	5
97	не только	21	5
98	но все	3	5
99	что все	1	5
100	и с	2	5
101	лишь в	1	5
102	его в	6	5
103	котором идет	2	5
104	и без	2	5
105	так называемого	1	5
106	и истории	2	5
107	что с	3	5
108	в то	5	5
109	как будто	3	5
110	что при	1	5
111	по сравнению	3	5
112	в его	10	5
113	потому что	14	5
114	у него	1	5
115	именно в	8	5
116	другой стороны	5	5
117	по своему	5	5
118	сравнению с	3	5
119	быть и	2	5
120	и для	4	5
121	и от	1	5
122	к этому	3	5
123	одним из	5	4
124	в такой	1	4
125	и то	5	4
126	то же	8	4
127	мы уже	1	4
128	та же	1	4
129	из того	2	4
130	между собой	1	4
131	что его	1	4
132	отношение к	3	4
133	хотя и	3	4
134	чем больше	2	4
135	факт что	1	4
136	из них	3	4
137	должно быть	2	4
138	иначе говоря	1	4
139	в их	11	4
140	тем не	8	4
141	том же	2	4
142	других народов	1	4
143	этой области	3	4
144	из которых	2	4
145	связи с	3	4
146	и сейчас	2	4
147	в дальнейшем	2	4
148	с течением	6	4
149	никогда не	3	4
150	и т.д	4	4
151	на вопрос	6	4
152	все прочие	1	4
153	сильнее чем	2	4
154	и у	1	4
155	не есть	4	4
156	в виде	4	4
157	а потому	3	4
158	в конце	3	4
159	без того	1	4
160	в области	4	4
161	течением времени	6	4
162	в в	3	4
163	которых мы	1	4
164	конце концов	2	4
165	его собственной	1	4
166	тот факт	1	4
167	как сказано	2	4
168	не могут	5	4
169	в течение	5	4
170	в европейской	1	4
171	это есть	2	4
172	этом случае	6	4
173	то ясно	1	4
174	мы должны	1	4
175	хотя бы	5	4
176	состоит из	1	4
177	совершенно не	1	4
178	же как	3	3
179	двух разнородных	1	3
180	вопрос о	8	3
181	не вполне	4	3
182	то очевидно	1	3
183	самих себя	1	3
184	в данном	11	3
185	очевидно что	1	3
186	которые не	1	3
187	в истории	9	3
188	культуре в	1	3
189	что по	1	3
190	так или	4	3
191	в тех	2	3
192	в нем	13	3
193	они должны	1	3
194	на этой	3	3
195	заключается в	4	3
196	это не	8	3
197	на почве	5	3
198	в жизни	1	3
199	с тем	6	3
200	чем в	3	3
201	и того	2	3
202	одного и	2	3
203	в этих	3	3
204	что если	2	3
205	представление о	1	3
206	образом в	1	3
207	в разных	5	3
208	во всем	2	3
209	а лишь	1	3
210	уже и	7	3
211	от того	3	3
212	у нас	2	3
213	должны быть	1	3
214	что оно	2	3
215	и это	6	3
216	то ни	1	3
217	данном случае	5	3
218	коренным образом	1	3
219	жизнь и	1	3
220	и вообще	3	3
221	с одной	4	3
222	настоящее время	1	3
223	различия между	1	3
224	тот же	1	3
225	очень много	1	3
226	в начале	3	3
227	при помощи	2	3
228	и других	3	3
229	может служить	3	3
230	каждый из	2	3
231	отличие от	3	3
232	или иначе	4	3
233	прежде всего	8	3
234	а наоборот	1	3
235	в связи	2	3
236	целом ряде	2	3
237	в с	1	3
238	в настоящее	1	3
239	не то	1	3
240	бы в	1	3
241	тем более	2	3
242	только что	4	3
243	а в	5	3
244	что мы	2	3
245	культуры как	6	3
246	можно назвать	1	3
247	тех же	1	2
248	группы народов	4	2
249	в котором	4	2
250	культура не	1	2
251	и до	2	2
252	что эти	1	2
253	по его	2	2
254	также и	16	2
255	развития человечества	1	2
