N	3gram	Nazirov_Tv_2	Freidism
1	по отношению к	3	8
2	во всяком случае	2	7
3	не может быть	3	7
4	в самом деле	2	6
5	и прежде всего	1	5
6	мы знаем что	1	4
7	то же время	7	4
8	в то же	7	4
9	в таком случае	2	3
10	на этот вопрос	2	3
11	в свою очередь	1	3
12	с самого начала	1	3
13	в конечном счете	1	3
14	в чем не	1	2
15	то или иное	1	2
16	до сих пор	3	2
17	и не может	2	2
18	в отличие от	2	2
19	что он сам	1	2
20	но в то	1	2
21	это прежде всего	2	2
22	так и в	2	2
23	не могут быть	1	2
24	а с другой	1	2
25	ни в чем	1	2
26	фрейд в своей	1	2
27	это и есть	1	2
28	не в силах	2	2
29	в высшей степени	1	2
30	том что в	1	1
31	большую роль в	1	1
32	нет и не	1	1
33	мы видим в	1	1
34	но прежде всего	2	1
35	только потому что	1	1
36	об эдиповом комплексе	1	1
37	и нет ничего	1	1
38	таком случае это	1	1
39	в нем и	1	1
40	рядом с ним	1	1
41	в этой борьбе	1	1
42	могут быть поняты	2	1
43	является одним из	1	1
44	только то что	1	1
45	в этот период	1	1
46	он дает им	1	1
47	со всех сторон	1	1
48	по крайней мере	2	1
49	он приходит к	1	1
50	софокла царь эдип	1	1
51	об этом сам	1	1
52	ее связь с	1	1
53	но при этом	1	1
54	как будто бы	1	1
55	ответ на этот	1	1
56	в целом ряде	1	1
57	в глубине души	1	1
58	а может быть	1	1
59	приходит в голову	1	1
60	что он был	1	1
61	мы не можем	1	1
62	в то время	1	1
63	не может служить	1	1
64	о том что	2	1
65	ничего общего с	1	1
66	не видим его	1	1
67	той или иной	1	1
68	для сведения счетов	1	1
69	или во всяком	1	1
70	относится и к	1	1
71	и т д	11	1
72	в том что	2	1
73	он еще не	2	1
