N	2gram	Tiupa_Teor_1	EvropaiE
1	и в	18	37
2	в отношении	3	32
3	в пределах	5	25
4	точки зрения	9	23
5	что в	9	21
6	не только	16	18
7	с точки	3	17
8	в то	6	16
9	то же	7	15
10	отношении к	2	15
11	в своем	4	14
12	но в	9	14
13	же время	5	14
14	в качестве	24	14
15	но и	9	14
16	и не	13	14
17	в этом	8	12
18	в их	2	11
19	в области	4	11
20	в том	16	11
21	так и	10	10
22	отнюдь не	3	9
23	в себе	9	9
24	только в	6	9
25	прежде всего	2	9
26	не может	4	9
27	так же	2	9
28	в ее	5	8
29	было бы	1	8
30	в своей	6	8
31	к тому	2	8
32	между тем	5	8
33	с одной	2	8
34	одной стороны	2	8
35	также и	1	7
36	а также	6	7
37	того что	4	7
38	так как	1	7
39	с другой	7	7
40	как и	4	7
41	по своему	2	7
42	может быть	17	6
43	и на	1	6
44	во всех	1	6
45	на то	1	6
46	то есть	12	6
47	том что	9	6
48	того чтобы	1	6
49	вслед за	2	6
50	вовсе не	3	6
51	для того	1	6
52	и даже	2	6
53	как бы	5	6
54	то что	3	6
55	же как	1	5
56	столь же	2	5
57	но не	9	5
58	не в	7	5
59	и по	2	5
60	тем самым	4	5
61	как мы	1	5
62	одной из	2	5
63	со стороны	2	5
64	в частности	16	5
65	и потому	2	5
66	в той	2	5
67	то в	2	4
68	вопрос о	1	4
69	в полной	1	4
70	независимо от	1	4
71	в самом	4	4
72	во многих	1	4
73	то ни	1	4
74	того или	3	4
75	как совокупность	1	4
76	даже в	3	4
77	и притом	2	4
78	иными словами	1	4
79	в перспективе	1	4
80	той или	1	4
81	бы то	1	4
82	по себе	1	4
83	можно сказать	3	4
84	тем более	1	4
85	именно в	3	4
86	ни было	1	4
87	или иной	4	4
88	не на	2	4
89	мира в	1	4
90	как это	8	4
91	сказать что	3	4
92	или иного	3	4
93	в каком	1	4
94	идет о	1	3
95	на себя	2	3
96	того же	3	3
97	как в	5	3
98	и к	3	3
99	или иную	1	3
100	всего лишь	6	3
101	представляет собой	9	3
102	в известном	1	3
103	но на	1	3
104	не будет	2	3
105	большинстве случаев	1	3
106	этом смысле	2	3
107	и тем	3	3
108	в них	2	3
109	с тем	1	3
110	и некоторые	2	3
111	во второй	7	3
112	дело в	2	3
113	никогда не	4	3
114	потому что	3	3
115	заключает в	1	3
116	бы ни	1	3
117	тем в	1	3
118	можно было	1	3
119	по признаку	1	3
120	о том	1	3
121	место в	5	3
122	что и	2	3
123	и только	1	3
124	существования в	2	3
125	известном смысле	1	3
126	из них	1	3
127	ту или	1	3
128	в известной	1	3
129	в прошлом	1	3
130	к ним	1	3
131	тем что	1	3
132	в свою	3	3
133	говорит о	1	3
134	в данном	8	3
135	в культуре	2	3
136	не является	4	3
137	известной степени	3	3
138	и для	2	3
139	и от	1	3
140	в результате	1	3
141	мира и	1	3
142	не более	1	3
143	жизни в	2	3
144	ее в	2	3
145	рынок и	1	2
146	и наиболее	1	2
147	и то	2	2
148	по преимуществу	4	2
149	есть не	1	2
150	именно к	1	2
151	из того	1	2
152	которое в	1	2
153	на них	1	2
154	между собой	3	2
155	а тем	1	2
156	но как	1	2
157	в сторону	1	2
158	друг от	1	2
159	более чем	1	2
160	хотя и	3	2
161	целый ряд	1	2
162	и как	2	2
163	можно в	1	2
164	что это	1	2
165	большей части	1	2
166	в этой	3	2
167	в случае	1	2
168	по средней	1	2
169	но именно	1	2
170	он не	3	2
171	на одну	1	2
172	отношений между	1	2
173	в силу	1	2
174	таким образом	3	2
175	в мире	19	2
176	заключается в	2	2
177	с другими	5	2
178	далеко не	2	2
179	в своих	1	2
180	духовной жизни	1	2
181	иначе говоря	4	2
182	и того	3	2
183	в этих	3	2
184	или точнее	1	2
185	и более	1	2
186	к такой	2	2
187	она не	1	2
188	ними и	1	2
189	на язык	1	2
190	по своей	3	2
191	как будто	2	2
192	именно потому	1	2
193	в порядке	3	2
194	не могут	2	2
195	могут быть	4	2
196	только одно	1	2
197	имеет место	2	2
198	но по	1	2
199	от друга	1	2
200	свою очередь	2	2
201	данном случае	5	2
202	на основе	2	2
203	мог бы	3	2
204	наше внимание	1	2
205	если бы	3	2
206	культура есть	1	2
207	и поэтому	1	2
208	и что	3	2
209	в значительной	1	2
210	к нему	1	2
211	во втором	3	2
212	в его	6	2
213	во всей	1	2
214	также в	1	2
215	и существенно	1	2
216	но с	1	2
217	в какой	2	2
218	и теперь	1	2
219	есть в	2	2
220	в большинстве	2	2
221	если в	2	2
222	в одном	2	2
223	на уровне	2	2
224	а именно	2	2
225	только к	1	2
226	а не	9	2
227	не означает	1	2
228	долгое время	1	2
229	которое существует	1	2
230	что все	1	2
231	вместе с	2	2
232	в европейской	1	2
233	для понимания	2	2
