N	4gram	Vinokur_Vv_1	Myshleni
1	но вместе с тем	1	4
2	заключается в том что	2	4
3	собственном смысле этого слова	1	3
4	приходит к выводу что	1	3
5	в собственном смысле этого	1	3
6	ответ на этот вопрос	1	2
7	одно и то же	1	2
8	одной и той же	2	2
9	именно в этом пункте	1	1
10	точно так же как	1	1
11	с одной стороны и	3	1
12	дело в том что	2	1
13	так как если бы	1	1
14	примера можно было бы	1	1
15	не может служить предметом	1	1
16	с другой стороны как	1	1
17	в чем же заключается	1	1
18	его можно было бы	1	1
19	качестве примера можно было	1	1
20	говорить о том что	1	1
21	в собственном смысле слова	1	1
22	можно было бы назвать	1	1
23	заключается в том чтобы	1	1
24	в одном и том	1	1
25	с этой точки зрения	1	1
26	в то же время	5	1
27	ему не остается ничего	1	1
28	сомнений в том что	1	1
29	для того чтобы сделать	1	1
30	и до наших дней	1	1
31	для того чтобы быть	1	1
32	в том виде в	1	1
33	том виде в каком	1	1
34	как мы уже знаем	1	1
35	одном и том же	1	1
36	в качестве примера можно	1	1
37	в том что в	1	1
