N	2gram	Vygotskiy__6	ViktorSh
1	конце концов	1	2
2	и в	28	2
3	том что	19	2
4	в том	28	2
5	в конце	2	2
6	и только	3	1
7	тем более	1	1
8	которые они	1	1
9	под влиянием	1	1
10	и том	2	1
11	в другом	2	1
12	и не	11	1
13	все время	3	1
14	и его	3	1
15	потому что	22	1
16	я не	4	1
17	и то	4	1
18	самом деле	2	1
19	и т.д	3	1
20	все это	2	1
21	именно в	4	1
22	главным образом	1	1
23	этом и	1	1
24	чего не	3	1
25	в их	3	1
26	как же	1	1
27	собственно и	1	1
28	их как	1	1
29	дело в	1	1
30	с большой	1	1
31	в частности	4	1
32	речи и	5	1
33	одно и	1	1
34	в которых	2	1
35	деле как	1	1
36	в значительной	2	1
37	в самом	8	1
38	зависят от	1	1
39	только в	18	1
40	то же	7	1
41	ясно что	4	1
42	так как	10	1
43	далеко не	1	1
44	и составляет	3	1
45	чем к	1	1
46	но это	2	1
47	в этом	27	1
48	одном и	3	1
49	от общего	2	1
50	а только	2	1
51	на одном	2	1
52	и заключается	1	1
53	по существу	2	1
54	к этому	1	1
55	образом связаны	1	1
56	том же	5	1
