N	2gram	Berdyaev_M_1	Analitik
1	не только	29	22
2	и в	28	18
3	как и	5	14
4	так и	1	14
5	в этом	20	14
6	и его	9	13
7	но и	25	13
8	том что	3	12
9	и не	11	12
10	в частности	1	12
11	то есть	3	10
12	а в	4	10
13	как бы	2	10
14	что в	10	9
15	может быть	30	9
16	а не	25	9
17	в том	6	9
18	со своей	1	8
19	с его	3	8
20	и даже	1	8
21	по отношению	2	7
22	в русской	1	7
23	в его	9	7
24	но не	8	7
25	отношению к	2	7
26	еще не	1	6
27	в этой	6	6
28	он не	24	6
29	в их	4	6
30	не в	16	6
31	к тому	3	6
32	для него	11	6
33	о том	2	6
34	в начале	2	6
35	мы имеем	1	5
36	в самом	11	5
37	лишь в	6	5
38	в мире	10	5
39	что и	4	5
40	между тем	1	5
41	уже не	4	5
42	в конце	7	5
43	никогда не	14	5
44	в свою	2	5
45	прежде всего	10	5
46	я в	1	5
47	принадлежит к	1	4
48	и на	6	4
49	что он	10	4
50	в своем	10	4
51	и как	2	4
52	и к	2	4
53	приводит к	2	4
54	в одном	1	4
55	не менее	1	4
56	в пределах	1	4
57	шекспира и	1	4
58	и сам	1	4
59	себя в	3	4
60	не есть	9	4
61	о чем	2	4
62	все же	2	4
63	с новыми	2	3
64	я и	1	3
65	его не	3	3
66	мы не	1	3
67	уже в	4	3
68	если в	1	3
69	ответ на	1	3
70	что они	1	3
71	как говорит	1	3
72	как в	2	3
73	с этим	3	3
74	с их	2	3
75	роль в	1	3
76	ключ к	1	3
77	в каждом	1	3
78	его в	3	3
79	точки зрения	4	3
80	и без	1	3
81	не столько	1	3
82	все это	6	3
83	в то	2	3
84	ничего не	3	3
85	личности в	2	3
86	в ее	3	3
87	не должно	1	3
88	так в	1	3
89	жизнь и	1	3
90	восходит к	1	3
91	путь к	1	3
92	было бы	10	3
93	во всем	1	3
94	что не	1	3
95	не было	18	3
96	он и	2	3
97	вступает в	1	3
98	его как	2	3
99	к жизни	1	3
100	впервые в	1	3
101	к этому	2	3
102	отношения к	4	2
103	самом деле	1	2
104	есть не	4	2
105	и он	12	2
106	в ней	15	2
107	не от	1	2
108	во всех	1	2
109	отличие от	1	2
110	это и	4	2
111	более чем	1	2
112	как к	1	2
113	когда он	3	2
114	но в	7	2
115	в противоположность	1	2
116	бы и	3	2
117	все эти	2	2
118	в себе	7	2
119	что она	1	2
120	в нем	13	2
121	не как	4	2
122	и вот	3	2
123	о его	1	2
124	и по	4	2
125	и ту	1	2
126	значительной степени	1	2
127	этом он	2	2
128	входит в	2	2
129	это не	5	2
130	с самим	2	2
131	в жизни	3	2
132	в них	4	2
133	с тем	9	2
134	не мог	3	2
135	в отличие	1	2
136	от его	2	2
137	вплоть до	1	2
138	на два	1	2
139	по своей	2	2
140	в момент	3	2
141	могут быть	2	2
142	подход к	1	2
143	есть поистине	1	2
144	поэтому в	1	2
145	об этом	1	2
146	о своей	2	2
147	в глаза	1	2
148	любви к	7	2
149	в значительной	1	2
150	один из	4	2
151	добрый и	2	2
152	только в	6	2
153	и ее	1	2
154	с нею	1	2
155	всяком случае	1	2
156	самого ивана	1	2
157	произведения и	1	2
158	тем что	4	2
159	русской поэзии	1	2
160	говорит о	1	2
161	что мы	1	2
162	не может	28	2
163	о себе	3	2
164	о своих	2	2
165	вместе с	6	2
166	и потому	10	2
167	по своему	2	2
168	в той	2	2
169	когда мы	2	2
170	да и	1	2
171	на пути	4	2
172	в глубине	8	2
173	и для	2	2
174	и от	2	2
175	мира и	5	2
176	и все	10	2
177	не должен	1	2
178	хотя в	1	2
179	личности и	1	2
180	но всегда	1	2
181	то что	5	2
182	сказать что	2	2
183	в иной	3	2
184	в искусстве	1	2
185	во всяком	1	2
186	обращено к	1	1
187	также что	1	1
188	у гоголя	1	1
189	человека и	14	1
190	сердце его	1	1
191	связана с	2	1
192	он равно	1	1
193	свобода не	4	1
194	на самом	1	1
195	в христианском	4	1
196	и есть	14	1
197	человек который	1	1
198	из самых	8	1
199	к другому	1	1
200	между свободой	1	1
201	и до	1	1
202	жизни ее	1	1
203	кто бы	1	1
204	с таким	1	1
205	в зависимости	1	1
206	есть на	1	1
207	мы уже	1	1
208	ни у	1	1
209	вопрос о	2	1
210	начинается с	1	1
211	слово о	1	1
212	что иное	1	1
213	оно есть	1	1
214	я не	1	1
215	бы ни	1	1
216	был еще	4	1
217	к преступлению	4	1
218	зависимости от	1	1
219	не способен	1	1
220	о судьбе	1	1
221	и был	1	1
222	стороны его	1	1
223	радикально меняется	1	1
224	как ему	1	1
225	он был	14	1
226	он сам	6	1
227	иное как	1	1
228	себя а	1	1
229	на периферии	1	1
230	тем как	1	1
231	то мы	1	1
232	и л	1	1
233	к богу	3	1
234	не все	2	1
235	не путем	1	1
236	человеческих отношений	1	1
237	отношение к	4	1
238	новым словом	1	1
239	должны были	1	1
240	то от	1	1
241	за пределы	4	1
242	в истории	2	1
243	что во	1	1
244	опыта к	1	1
245	его внутреннюю	1	1
246	говорит что	1	1
247	мир и	1	1
248	сам бог	1	1
249	и свою	1	1
250	от этого	2	1
251	к чему	2	1
252	та же	1	1
253	он идет	1	1
254	и идет	1	1
255	и у	2	1
256	идет не	1	1
257	бы не	2	1
258	на могиле	1	1
259	в иную	1	1
260	свободы но	5	1
261	есть явление	1	1
262	во многих	1	1
263	порядку и	2	1
264	духовной культуры	1	1
265	в записках	1	1
266	к миру	2	1
267	видел в	1	1
268	которой не	1	1
269	судьбы но	1	1
270	с именем	1	1
271	и еще	3	1
272	чем у	4	1
273	в силу	1	1
274	этой темы	1	1
275	ни был	1	1
276	человека в	13	1
277	поистине можно	1	1
278	верно по	1	1
279	бы быть	1	1
280	широк человек	1	1
281	это было	1	1
282	заключается в	1	1
283	не умеет	1	1
284	который и	2	1
285	от одного	1	1
286	центральное место	1	1
287	есть и	3	1
288	только одно	3	1
289	самом центре	2	1
290	рядом с	1	1
291	в самую	5	1
292	мировой литературы	1	1
293	которой он	1	1
294	культуры он	1	1
295	должно быть	3	1
296	потому и	1	1
297	с еще	1	1
298	всех этих	1	1
299	или к	4	1
300	от своего	1	1
301	в своей	15	1
302	отречение от	1	1
303	свободы я	1	1
304	разного рода	2	1
305	а от	1	1
306	место в	2	1
307	три искушения	1	1
308	себе а	1	1
309	мысли и	2	1
310	войти в	1	1
311	свобода и	6	1
312	открывается в	2	1
313	это верно	1	1
314	с ним	2	1
315	два полюса	1	1
316	от нас	1	1
317	занимает центральное	1	1
318	весь смысл	1	1
319	у кого	1	1
320	является на	1	1
321	в основе	2	1
322	миру но	1	1
323	у него	17	1
324	руку а	1	1
325	свободы и	10	1
326	ставит его	1	1
327	того чтобы	2	1
328	не могло	1	1
329	себе самом	1	1
330	миром с	1	1
331	казалось бы	1	1
332	с одним	1	1
333	многих отношениях	1	1
334	русский человек	2	1
335	у шекспира	1	1
336	а лишь	1	1
337	индивидуальности к	1	1
338	потому что	16	1
339	как будто	2	1
340	ему в	1	1
341	у нас	5	1
342	не могут	5	1
343	бы он	1	1
344	все еще	1	1
345	творчества не	1	1
346	и открывает	1	1
347	и о	1	1
348	его была	1	1
349	культуры и	1	1
350	культуры для	1	1
351	встреча с	1	1
352	это путь	1	1
353	природе своей	1	1
354	особенно в	3	1
355	по природе	1	1
356	живет в	2	1
357	мог бы	4	1
358	и каждый	1	1
359	ко всему	1	1
360	учение о	3	1
361	является в	1	1
362	имя которых	1	1
363	если бы	2	1
364	мы читаем	1	1
365	именно потому	1	1
366	в самой	7	1
367	при котором	1	1
368	одного из	1	1
369	все его	3	1
370	истории в	2	1
371	от них	1	1
372	во всей	1	1
373	и только	1	1
374	тем более	1	1
375	от свободы	2	1
376	в описании	1	1
377	того что	7	1
378	о двух	1	1
379	одной из	1	1
380	свой путь	1	1
381	цели и	1	1
382	человека с	2	1
383	так что	1	1
384	человеческой личности	4	1
385	завершение в	1	1
386	литературы в	1	1
387	пути но	1	1
388	ним не	1	1
389	против собственной	1	1
390	явившийся в	1	1
391	его и	1	1
392	одно из	3	1
393	себе в	1	1
394	и их	3	1
395	ведь это	2	1
396	вовсе не	1	1
397	искусство никогда	1	1
398	и утверждение	1	1
399	к ним	1	1
400	рода это	1	1
401	ему казалось	1	1
402	и никогда	1	1
403	в новый	1	1
