N	2gram	Voloshinov_2	StatiiOP
1	и в	19	25
2	в этом	15	24
3	в том	7	20
4	что он	4	19
5	может быть	28	19
6	тем что	2	19
7	что в	2	19
8	что это	2	16
9	том что	10	15
10	в этой	3	14
11	и пр	25	13
12	не только	13	12
13	в его	5	12
14	то что	4	12
15	в этих	3	11
16	так что	1	11
17	таким образом	14	10
18	прежде всего	7	10
19	и не	19	10
20	у него	2	9
21	но и	10	9
22	все это	1	8
23	о том	3	8
24	в языке	7	8
25	это было	2	8
26	с этим	3	7
27	это не	4	7
28	было бы	4	7
29	в то	8	7
30	не может	18	7
31	точки зрения	17	7
32	что такое	1	7
33	место в	2	6
34	и на	5	6
35	как в	1	6
36	из этих	1	6
37	не в	10	6
38	в русской	1	6
39	между тем	6	6
40	только в	8	6
41	как бы	19	6
42	а в	3	6
43	как на	2	6
44	то же	16	5
45	ответ на	2	5
46	независимо от	2	5
47	но в	7	5
48	на то	4	5
49	он не	3	5
50	на почве	9	5
51	ни в	6	5
52	в котором	3	5
53	потому что	1	5
54	и это	3	5
55	так и	10	5
56	он говорил	1	5
57	в них	1	5
58	с другой	3	5
59	связано с	3	5
60	а не	9	5
61	того что	4	5
62	другой стороны	1	5
63	например в	1	4
64	что эти	1	4
65	в которой	1	4
66	точка зрения	1	4
67	относится к	3	4
68	в центре	1	4
69	все же	5	4
70	не было	3	4
71	то в	1	4
72	в целом	1	4
73	в каждом	1	4
74	лишь в	14	4
75	на протяжении	2	4
76	и тем	4	4
77	в жизни	2	4
78	с тем	1	4
79	как и	9	4
80	а как	4	4
81	у нас	3	4
82	по крайней	2	4
83	в устах	3	4
84	с точки	13	4
85	ничего не	4	4
86	этом отношении	1	4
87	в каком	3	4
88	связана с	2	4
89	в ней	3	4
90	и с	2	4
91	если бы	11	4
92	можно сказать	1	4
93	к нему	5	4
94	мы видим	1	4
95	в качестве	3	4
96	и др	1	4
97	в начале	2	4
98	всяком случае	2	4
99	крайней мере	2	4
100	в особенности	2	4
101	в речи	2	4
102	связь с	4	4
103	xix века	2	4
104	он говорит	1	4
105	в течение	1	4
106	что здесь	1	4
107	в смысле	6	4
108	и для	7	4
109	но это	1	4
110	сказать что	4	4
111	в своей	3	4
112	из этого	1	4
113	можно назвать	1	4
114	во всяком	3	4
115	говорить о	1	3
116	подчеркнуть что	1	3
117	он был	2	3
118	с его	8	3
119	кроме того	1	3
120	и наконец	1	3
121	все эти	3	3
122	социальными силами	1	3
123	и если	1	3
124	всех этих	1	3
125	в другом	3	3
126	нет в	1	3
127	о которых	1	3
128	несмотря на	1	3
129	нет никакого	1	3
130	в их	5	3
131	но он	1	3
132	и более	7	3
133	тому что	4	3
134	во время	1	3
135	же время	8	3
136	это слово	1	3
137	связи с	13	3
138	и здесь	5	3
139	что все	1	3
140	со стороны	1	3
141	и что	1	3
142	и его	16	3
143	тесно связана	1	3
144	уже не	1	3
145	уже в	2	3
146	не так	2	3
147	для него	9	3
148	так как	3	3
149	в некоторых	1	3
150	в системе	2	3
151	как раз	4	3
152	не является	8	3
153	к которому	1	3
154	одной стороны	3	3
155	до конца	2	3
156	его как	1	3
157	в связи	7	3
158	этого рода	1	3
159	тем более	5	3
160	находит свое	1	3
161	все они	1	3
162	к этому	5	3
163	в виде	2	3
164	в какой	3	3
165	того времени	1	3
166	речь идет	1	2
167	xvii века	1	2
168	самом деле	9	2
169	выражения как	2	2
170	и за	1	2
171	той же	3	2
172	в сущности	14	2
173	того же	5	2
174	которое он	1	2
175	во всех	6	2
176	то он	1	2
177	но как	2	2
178	только тогда	1	2
179	если в	1	2
180	к слову	1	2
181	с которыми	1	2
182	вступают в	1	2
183	что они	2	2
184	что именно	1	2
185	более и	2	2
186	его к	2	2
187	в самом	6	2
188	формы в	1	2
189	сюда относятся	1	2
190	в следующих	1	2
191	так сказать	14	2
192	в статье	1	2
193	о которой	1	2
194	не как	3	2
195	но все	1	2
196	то есть	2	2
197	заключается в	1	2
198	ее в	1	2
199	а с	2	2
200	он и	2	2
201	мы не	2	2
202	и тогда	2	2
203	нас не	2	2
204	не столько	1	2
205	точку зрения	2	2
206	тем не	1	2
207	этапом в	1	2
208	не была	1	2
209	в отношении	4	2
210	не менее	1	2
211	но они	2	2
212	что эта	1	2
213	самого начала	5	2
214	как о	2	2
215	тогда когда	1	2
216	одна из	7	2
217	не имеет	3	2
218	этот тип	2	2
219	никогда не	7	2
220	и всегда	1	2
221	слова как	2	2
222	этих двух	1	2
223	в русском	4	2
224	языка это	1	2
225	от того	1	2
226	могут быть	3	2
227	и такие	1	2
228	к тому	6	2
229	но также	1	2
230	для его	3	2
231	темы и	2	2
232	для того	6	2
233	должен быть	2	2
234	как мы	15	2
235	не совсем	1	2
236	на основе	3	2
237	каждый раз	3	2
238	с самого	5	2
239	на нее	1	2
240	или в	2	2
241	здесь нет	1	2
242	до нас	1	2
