N	3gram	Losev_Vlad_1	KFilosof
1	не может быть	3	11
2	в чем не	1	4
3	ни в чем	1	4
4	в котором он	1	3
5	в этом смысле	4	3
6	но и здесь	1	3
7	и в этом	1	3
8	на первом плане	1	2
9	бы то ни	1	2
10	тот же с	1	2
11	здесь мы имеем	1	2
12	то ни было	1	2
13	уже не может	1	2
14	один и тот	2	2
15	и ни в	1	2
16	ни в каком	1	2
17	то же время	4	2
18	раз и навсегда	1	2
19	вовсе не есть	1	2
20	в целом и	1	2
21	в то же	4	2
22	тем не менее	2	2
23	во всем его	1	2
24	в том что	7	2
25	и тот же	2	2
26	и только в	1	2
27	на то что	4	1
28	а следовательно и	1	1
29	нет и не	1	1
30	того что в	1	1
31	потому что в	1	1
32	в настоящее время	1	1
33	в том же	1	1
34	а не к	1	1
35	но все это	1	1
36	с ним в	1	1
37	но это не	1	1
38	то что этот	1	1
39	вместе с тем	1	1
40	и то что	4	1
41	и в то	2	1
42	можно сказать только	1	1
43	не потому что	1	1
44	но в то	1	1
45	в этот момент	1	1
46	смысле этого слова	1	1
47	не содержит в	1	1
48	притом не только	1	1
49	дело в том	4	1
50	во всяком случае	2	1
51	заключать в себе	1	1
52	для того чтобы	2	1
53	и в своих	1	1
54	не в одном	1	1
55	в свою очередь	1	1
56	и тем самым	1	1
57	к которой он	1	1
58	но отнюдь не	1	1
59	в истории философии	2	1
60	не в этом	1	1
61	во второй половине	1	1
62	к тому что	1	1
63	дело не в	1	1
64	что и в	2	1
65	уже не только	1	1
