N	3gram	Bakhtin_fo_2	FransuaR
1	еды и питья	15	9
2	то же время	4	9
3	в то же	4	9
4	в романе рабле	5	7
5	для того чтобы	7	6
6	в том что	3	6
7	в этом отношении	2	5
8	но в то	1	5
9	в связи с	7	5
10	а также и	1	4
11	в эпизоде с	3	4
12	на самом деле	1	4
13	в том числе	3	4
14	как мы видели	1	4
15	до сих пор	2	3
16	в четвертой книге	1	3
17	и во всех	2	3
18	хлеб и вино	1	3
19	кн iii гл	4	3
20	еда и питье	1	3
21	связи с этим	2	3
22	и прежде всего	3	3
23	форм и образов	1	3
24	в другом месте	2	2
25	то же самое	2	2
26	и связанные с	1	2
27	как и во	1	2
28	в средние века	3	2
29	сих пор еще	1	2
30	с точки зрения	8	2
31	они вовсе не	1	2
32	в отличие от	1	2
33	жизни и смерти	1	2
34	том числе и	2	2
35	кн i гл	15	2
36	о том как	3	2
37	в данном случае	1	2
38	в то время	1	2
39	шута и дурака	6	2
40	можно говорить о	1	2
41	мы уже говорили	3	2
42	не может быть	1	2
43	все эти образы	1	2
44	то есть в	1	2
45	можно сказать что	1	2
46	существенную роль в	1	2
47	как бы в	1	2
48	в большинстве случаев	3	2
49	между словом и	1	2
50	друг с другом	4	2
51	также и в	1	2
52	во всех приведенных	1	1
53	носит у рабле	1	1
54	переплетаются друг с	1	1
55	в так называемой	1	1
56	и того же	1	1
57	в средневековой литературе	1	1
58	когда во время	1	1
59	этом выражении за	1	1
60	и телесной жизни	1	1
61	обжорства и пьянства	2	1
62	в той или	1	1
63	такой же характер	1	1
64	но и средневековой	1	1
65	даже там где	1	1
66	самой природе его	1	1
67	в двух местах	1	1
68	народной площади и	1	1
69	в неразрывном единстве	1	1
70	в монастырском винограднике	1	1
71	может прославлять себя	1	1
72	более глубокий и	1	1
73	дается как бы	1	1
74	и целый ряд	1	1
75	в скрытой форме	1	1
76	иной характер носит	1	1
77	смерть и еда	1	1
78	и для других	1	1
79	это самое подходящее	1	1
80	этих образов в	1	1
81	как и все	1	1
82	тела и телесной	1	1
83	и в то	3	1
84	и новой жизни	1	1
85	всех филологов и	1	1
86	что он не	1	1
87	особенно важное значение	1	1
88	во время обеда	1	1
89	и дурака от	1	1
90	и та же	2	1
91	по своему содержанию	1	1
92	между тем как	1	1
93	то что в	1	1
94	высоких материях и	1	1
95	от его стихов	1	1
96	это вовсе не	1	1
97	что от его	1	1
98	принадлежит к самой	1	1
99	него не обходится	1	1
100	без него не	1	1
101	он ни был	1	1
102	в значительной мере	1	1
103	вместе с тем	1	1
104	только для того	1	1
105	может быть и	2	1
106	уже говорили что	1	1
107	важное значение имеет	1	1
108	о таких высоких	1	1
109	здесь и влияние	1	1
110	еще вернемся к	1	1
111	в этом выражении	1	1
112	в себе в	1	1
113	в эпизоде воспитания	1	1
114	мы еще вернемся	3	1
115	брата жана и	1	1
116	что во время	1	1
117	того чтобы не	1	1
118	в себя и	1	1
119	быть и речи	1	1
120	века и в	1	1
121	этих форм в	1	1
122	во всех этих	3	1
123	мы здесь не	1	1
124	кн iv гл	13	1
125	или иной форме	1	1
126	к самой природе	1	1
127	звон шутовских бубенчиков	2	1
128	и для рабле	1	1
129	и история о	1	1
130	во рту пантагрюэля	4	1
131	имеет у него	2	1
132	в основе их	1	1
133	между вещами и	3	1
134	жаркого на вертеле	1	1
135	эпизоде воспитания гаргантюа	1	1
136	в особенности в	1	1
137	во время еды	1	1
138	мы уже сказали	3	1
139	вернемся к рабле	1	1
140	как и в	1	1
141	в свою очередь	1	1
142	и никому не	1	1
143	но он не	1	1
144	эпизоде с великаном	1	1
145	одна и та	2	1
146	о том что	1	1
147	той или иной	1	1
148	средние века и	2	1
149	одного и того	1	1
150	бы он ни	1	1
151	друг от друга	2	1
152	в аду и	1	1
153	в другом случае	1	1
154	как мы уже	4	1
155	таких высоких материях	1	1
156	со страшным криком	1	1
157	конечно не в	1	1
158	только во время	1	1
159	рабле в его	1	1
160	у рабле в	2	1
161	i гл xxiii	1	1
162	что в основе	1	1
163	по всему роману	1	1
164	так как он	1	1
165	что и в	1	1
166	одна из самых	1	1
167	во все стороны	2	1
