N	3gram	Trubetskoy_1	Morfolog
1	мы видим что	1	9
2	в связи с	3	8
3	не может быть	1	8
4	по отношению к	1	4
5	с точки зрения	6	4
6	с другой стороны	1	4
7	тем не менее	3	4
8	в первом случае	1	3
9	но все же	4	3
10	следует заметить что	1	2
11	состоит в том	1	2
12	более или менее	5	2
13	начинается с того	1	2
14	в настоящее время	1	2
15	с этого момента	1	2
16	точно так же	3	2
17	может быть и	2	2
18	с одной стороны	7	2
19	друг на друга	2	2
20	и таким образом	3	2
21	к чему не	1	2
22	в то время	1	2
23	тем и другим	1	2
24	ни к чему	1	2
25	для того чтобы	5	2
26	в том что	3	2
27	влияют друг на	1	1
28	могут рассматриваться как	1	1
29	сам он не	1	1
30	имеется и в	1	1
31	о том как	1	1
32	как бы в	1	1
33	до сих пор	5	1
34	сих пор не	1	1
35	во всей своей	1	1
36	в таком случае	1	1
37	бы то ни	2	1
38	от неба до	1	1
39	с этим и	1	1
40	он как бы	1	1
41	лишь постольку поскольку	1	1
42	в том или	1	1
43	к нему в	1	1
44	в данном случае	1	1
45	и заставляет его	1	1
46	в других для	1	1
47	иметь в виду	1	1
48	то что он	2	1
49	все более и	1	1
50	во всяком случае	6	1
51	из них не	1	1
52	прибавить к этому	1	1
53	друг к другу	1	1
54	то же время	2	1
55	из которых каждый	1	1
56	похожи друг на	1	1
57	мы имеем в	1	1
58	о том что	4	1
59	с самого начала	2	1
60	той или иной	2	1
61	можно сказать что	2	1
62	на то что	2	1
63	так как эти	1	1
64	в то же	2	1
65	более и более	1	1
66	друг с другом	5	1
67	если прибавить к	1	1
68	неба до земли	1	1
69	уже очень давно	1	1
70	что и в	1	1
71	могло бы быть	1	1
