N	2gram	Losev_Vesc_1	SlovoVZh
1	не может	17	16
2	может быть	16	14
3	точки зрения	5	14
4	как бы	12	13
5	и его	2	13
6	таким образом	8	12
7	и в	21	12
8	и не	29	10
9	если бы	5	9
10	так как	7	9
11	прежде всего	9	8
12	сказать что	17	7
13	для нас	2	7
14	в ней	12	6
15	в том	8	6
16	только в	14	6
17	при этом	1	6
18	в нем	2	6
19	слова и	5	6
20	все время	1	6
21	должна быть	4	5
22	то же	6	5
23	в виду	2	5
24	можно сказать	6	5
25	отнюдь не	5	5
26	но в	5	5
27	в жизни	3	5
28	а не	19	5
29	как и	8	5
30	что мы	14	5
31	и следовательно	7	5
32	том что	8	5
33	никогда не	2	5
34	хотя бы	6	5
35	то что	27	5
36	на самом	1	4
37	зависимости от	1	4
38	к нему	1	4
39	в этом	4	4
40	все же	4	4
41	в самом	9	4
42	уже не	9	4
43	не только	36	4
44	ни было	4	4
45	отношение к	1	4
46	свое выражение	3	4
47	от того	3	4
48	так и	3	4
49	с другой	6	4
50	что не	5	4
51	не в	5	4
52	его в	2	4
53	дело в	4	4
54	и к	1	4
55	жизни и	2	4
56	самом деле	4	3
57	формы и	1	3
58	в котором	3	3
59	в пределах	1	3
60	ведь и	5	3
61	ясно что	8	3
62	еще не	8	3
63	мы не	6	3
64	о том	6	3
65	бы то	4	3
66	но и	18	3
67	точка зрения	1	3
68	нуждается в	1	3
69	того что	8	3
70	быть и	1	3
71	когда он	1	3
72	и наконец	1	3
73	и ее	18	3
74	все эти	3	3
75	только на	3	3
76	конечно не	1	3
77	в себе	14	3
78	слово в	2	3
79	да и	3	3
80	для него	4	3
81	не к	1	3
82	и по	1	3
83	то ни	4	3
84	и с	8	3
85	до сих	1	3
86	ни в	1	3
87	и пр	6	3
88	и уже	1	3
89	в своей	5	3
90	так же	1	3
91	тем не	3	3
92	этой точки	1	3
93	как к	4	3
94	и более	1	3
95	из этого	1	3
96	по себе	13	3
97	сих пор	1	3
98	не менее	3	3
99	все это	5	3
100	но для	2	3
101	и для	9	3
102	бы мы	1	3
103	с ним	8	3
104	или не	2	3
105	как не	1	2
106	и то	10	2
107	как это	2	2
108	в себя	13	2
109	и самое	2	2
110	и совершенно	1	2
111	едва ли	1	2
112	вещи и	20	2
113	по природе	1	2
114	мы имеем	7	2
115	мы в	1	2
116	нас и	1	2
117	и здесь	4	2
118	искусства и	1	2
119	с его	1	2
120	но мы	1	2
121	и что	15	2
122	между собой	1	2
123	в чем	6	2
124	данном случае	2	2
125	в данном	5	2
126	в его	2	2
127	что и	3	2
128	этого общения	1	2
129	относится к	5	2
130	независимо от	5	2
131	с чисто	1	2
132	в своем	6	2
133	кроме того	4	2
134	и потому	5	2
135	и так	1	2
136	несколько подробнее	1	2
137	с одной	3	2
138	выражение в	3	2
139	уже в	1	2
140	тому же	1	2
141	перестает быть	3	2
142	не так	1	2
143	допустим что	1	2
144	извне как	1	2
145	в зависимости	1	2
146	мы можем	4	2
147	но что	2	2
148	из него	1	2
149	общения и	2	2
150	форма в	1	2
151	одно и	5	2
152	выражение и	1	2
153	в особенности	1	2
154	конечно в	1	2
155	с другими	8	2
