N	3gram	Potebnia_M_2	Istorich
1	и т д	3	24
2	мы знаем что	1	7
3	до сих пор	4	5
4	с другой стороны	2	4
5	не может быть	2	4
6	но все же	1	4
7	в этом случае	1	3
8	в некоторых случаях	2	3
9	по сравнению с	1	3
10	в одном случае	1	3
11	мы видели что	1	3
12	на то что	3	3
13	о том что	1	2
14	в таких случаях	1	2
15	посредником между двумя	1	2
16	что в некоторых	1	2
17	смысле этого слова	3	2
18	то что он	1	2
19	между человеком и	1	2
20	так и в	2	2
21	после того как	2	2
22	в связи с	1	2
23	тем не менее	5	2
24	человеком и животным	1	2
25	и может быть	2	1
26	и связанные с	1	1
27	не только по	2	1
28	мере того как	4	1
29	но так как	1	1
30	подобно тому как	4	1
31	в нем самом	1	1
32	но и по	1	1
33	по мере того	4	1
34	и не может	1	1
35	которое выражается в	1	1
36	друг на друга	1	1
37	который при этом	1	1
38	тому как в	1	1
39	что так же	1	1
40	его как бы	1	1
41	мы до сих	1	1
42	которые не могут	2	1
43	может быть только	1	1
44	и в других	1	1
45	чем перейти к	1	1
46	тогда как в	2	1
47	о том как	1	1
48	то время как	3	1
49	не потому что	1	1
50	этом случае мы	1	1
51	и то же	2	1
52	только в одном	1	1
53	в том как	1	1
54	не могут быть	3	1
55	во всех этих	1	1
56	не в том	2	1
57	одно и то	2	1
58	только после того	1	1
59	из них не	1	1
60	можно найти в	1	1
61	что у него	1	1
62	потому что мы	1	1
63	но в чем	1	1
64	что мы видим	1	1
65	вместе с тем	1	1
66	в чем состоит	2	1
67	не есть нечто	1	1
68	мы не можем	3	1
69	очевидно что если	1	1
70	в то время	4	1
71	то что происходит	1	1
72	ничего общего с	1	1
73	и тем самым	1	1
74	этого слова а	1	1
75	в большинстве случаев	1	1
76	отсюда понятно почему	1	1
77	то что они	1	1
78	как и в	1	1
79	что и в	1	1
80	только тогда когда	2	1
81	представляют для нас	1	1
