N	3gram	Tiupa_Disk_1	Analitik
1	о блудном сыне	4	11
2	ивана петровича белкина	1	8
3	в том что	13	7
4	в повестях белкина	1	7
5	по отношению к	9	7
6	с другой стороны	3	5
7	о том что	5	5
8	мы имеем дело	2	4
9	по крайней мере	2	4
10	в свою очередь	3	4
11	как и в	1	4
12	и того же	2	3
13	до известной степени	1	3
14	в данном случае	2	3
15	то же время	4	3
16	участников коммуникативного события	2	3
17	той или иной	3	3
18	в то же	3	3
19	одного и того	2	3
20	к тому же	4	3
21	в этом отношении	1	3
22	притчи о блудном	1	2
23	дело в том	1	2
24	не более чем	2	2
25	подобно тому как	2	2
26	при этом как	1	2
27	том что он	1	2
28	с точки зрения	1	2
29	при этом он	1	2
30	в отличие от	4	2
31	имеем дело не	1	2
32	тот или иной	2	2
33	сказания или анекдота	1	2
34	в значительной степени	2	2
35	едва ли не	2	2
36	петровича белкина в	1	2
37	с одной стороны	9	2
38	кто говорит и	1	2
39	тем не менее	1	2
40	тем или иным	1	2
41	во всяком случае	1	2
42	в свое время	1	2
43	а в том	2	2
44	отношения к сообщаемому	1	2
45	в конечном счете	1	2
46	и прежде всего	1	2
47	индивидуального речевого замысла	2	2
48	можно сказать что	2	2
49	жанры как формы	2	2
50	притча и анекдот	2	2
51	со стороны адресата	1	2
52	и в форме	2	2
53	как к содержанию	2	2
54	притче универсального опыта	1	1
55	инициативное слово анекдота	1	1
56	в притче универсального	1	1
57	по своей природе	2	1
58	строго отграниченная система	1	1
59	знакового комплекса но	1	1
60	и может быть	1	1
61	костяком так сказать	1	1
62	краткость и точность	1	1
63	только раскрывают содержание	1	1
64	в нем определенные	1	1
65	к однозначности и	1	1
66	я думал о	1	1
67	пока еще преждевременно	1	1
68	при этом остается	1	1
69	что они хотят	1	1
70	преступается не предначертанность	1	1
71	твердым композиционным костяком	1	1
72	рекоша но от	1	1
73	определяется предметом целью	3	1
74	раскрывают содержание судьбы	1	1
75	типическим ситуациям речевого	2	1
76	сказать первофеномены жанров	1	1
77	притчу о блудном	1	1
78	рода механизмом активизации	1	1
79	говорящий здесь только	1	1
80	и потому нейтральное	1	1
81	его вступление в	1	1
82	в чистом виде	1	1
83	существенно связаны с	1	1
84	события на поучающего	1	1
85	для притчи иносказательность	1	1
86	в ходе которого	2	1
87	жанровые образования возникающие	1	1
88	поскольку мы имеем	1	1
89	убеждения организующего учительный	1	1
90	они бытуют как	1	1
91	не могло и	1	1
92	полагая его излишним	1	1
93	потому нейтральное к	1	1
94	извлечения адресатом некоего	1	1
95	мира которая своей	1	1
96	стремится к однозначности	1	1
97	оно стремится к	1	1
98	отделен от своей	1	1
99	но от божья	1	1
100	связаны с языком	1	1
101	и строго отграниченная	1	1
102	анекдота уже не	1	1
103	и точность словесного	1	1
104	цели и ситуации	1	1
105	не только по	1	1
106	как слухи или	1	1
107	нами не как	1	1
108	быть осуществлено только	1	1
109	уверяем читателя что	1	1
110	притчи иносказательность является	1	1
111	о поэтике здесь	1	1
112	непреложный и неоспоримый	1	1
113	и слушающих общим	1	1
114	жанр как композиционно	1	1
115	а потому и	1	1
116	формы междуязычны интернациональны	1	1
117	говорит и кому	1	1
118	перед ним определенные	1	1
119	опыта к индивидуальной	1	1
120	слова в слове	1	1
121	целое внеязыковое и	1	1
122	себе не заключает	1	1
123	готовом стабильно дифференцированном	1	1
124	не заключает и	1	1
125	по этой причине	2	1
126	схемы и в	1	1
127	ощущаться завершенная и	1	1
128	излишним впрочем уверяем	1	1
129	представляет собой исторически	1	1
130	к языку поэтому	1	1
131	для анекдота контекст	1	1
132	не говоря уже	2	1
133	ни столь пассивным	1	1
134	не помещаем полагая	1	1
135	да и персонажи	1	1
136	на самом деле	1	1
137	активность адресата при	1	1
138	мы строим свою	1	1
139	в новом качестве	1	1
140	ситуациям речевого общения	2	1
141	и в особенности	2	1
142	жанровые зародыши тематические	1	1
143	укрупненных деталей краткость	1	1
144	порой фактически точными	1	1
145	слово общенародной хвалы	1	1
146	осуществляется или преступается	1	1
147	языком ставят перед	1	1
148	белкина в себе	1	1
149	в этом смысле	1	1
150	судьба выражает внеличную	1	1
151	действующие лица по	1	1
152	может быть признано	1	1
153	высказывания жанр в	1	1
154	зависит от жанра	1	1
155	универсального опыта к	1	1
156	анекдота ни столь	1	1
157	бахтин может ощущаться	1	1
158	индивидуальной жизненной практике	1	1
159	самой ситуации рассказывания	1	1
160	в этом случае	1	1
161	картина мира которая	2	1
162	к содержанию сказания	1	1
163	может быть осуществлено	1	1
164	своей природе суть	1	1
165	не предполагает хоровой	1	1
166	не как объекты	1	1
167	жанры существенно связаны	1	1
168	сказания еще не	1	1
169	то есть принадлежат	1	1
170	проделано и рассказывающим	1	1
171	речь нам всегда	1	1
172	читателя что он	1	1
173	сознаний встречающихся в	1	1
174	мы не помещаем	1	1
175	в сущности застывшее	1	1
176	до сих пор	1	1
177	строгость композиции неразвернутость	1	1
178	предносится целое нашего	1	1
179	даже будучи порой	1	1
180	и описаний акцентированная	1	1
181	собственно и составляющий	1	1
182	говоря уже о	2	1
183	сплетни то есть	1	1
184	предметом целью и	3	1
185	предстают перед нами	1	1
186	что он ничего	1	1
187	в таком случае	1	1
188	когда мы строим	1	1
189	хотя бы и	1	1
190	ни столь свободным	1	1
191	завершенная и строго	1	1
192	что он не	1	1
193	столь пассивным как	1	1
194	это позиция активного	1	1
195	и кому говорят	1	1
196	некий нравственный закон	1	1
197	или преступается не	1	1
198	приложение запечатленного в	1	1
199	всего к ценностной	1	1
200	языку поэтому жанры	1	1
201	астероидные жанровые образования	1	1
202	столь свободным как	1	1
203	еще преждевременно поскольку	1	1
204	точность словесного выражения	1	1
205	нравственный закон собственно	1	1
206	в силу его	1	1
207	или сплетни то	1	1
208	впрочем уверяем читателя	1	1
209	а по своей	1	1
210	известном смысле домонологично	1	1
211	его излишним впрочем	1	1
212	выражает внеличную сторону	1	1
213	нечто смешное но	1	1
214	здесь действующие лица	1	1
215	может и не	1	1
216	ставят перед ним	1	1
217	коммуникативного события на	1	1
218	наделенного репродуктивной компетентностью	1	1
219	время жанры существенно	1	1
220	жанров художественной словесности	1	1
221	но как субъекты	1	1
222	тип высказывания реализующий	1	1
223	приобщения к общенародной	1	1
224	монолог в чистом	1	1
225	и составляющий морализаторскую	1	1
226	персонажи не выбирают	1	1
227	перед нами не	1	1
228	определенной жанровой схемы	1	1
229	следовательно предметно-смысловые формы	1	1
230	это разделение иерархично	1	1
231	жанра высказывания жанр	1	1
232	дискурса в качестве	1	1
233	на поучающего и	1	1
234	и ситуацией высказывания	3	1
235	оно не предполагает	1	1
236	дифференцированном и оцененном	1	1
237	встречающихся в дискурсе	1	1
238	может быть проделано	1	1
239	и вторичные идеологические	1	1
240	в сказании повествуемой	1	1
241	задания реализуют в	1	1
242	в основе своей	2	1
243	дискурсе речевой акт	1	1
244	притчи может быть	1	1
245	поэтому жанры как	1	1
246	они хотят и	1	1
247	коего мы не	1	1
248	с еще не	1	1
249	в готовом стабильно	1	1
250	тематические и языковые	1	1
251	собственно художественными а	1	1
252	значении этого слова	1	1
