N	3gram	Tiupa_Anal_2	OGranits
1	с точки зрения	2	5
2	не может быть	1	4
3	по отношению к	4	3
4	одно и то	1	3
5	и т.п и	1	3
6	что иное как	1	2
7	автора героя и	1	2
8	в самом деле	1	2
9	в данном случае	5	2
10	не только его	1	2
11	с одной стороны	4	2
12	и то же	1	2
13	с другой стороны	2	2
14	того или иного	3	2
15	есть не что	1	2
16	не что иное	1	2
17	в том что	6	2
18	тот же самый	1	1
19	литературного произведения как	1	1
20	организации художественного произведения	2	1
21	этой точки зрения	1	1
22	более или менее	1	1
23	подобно тому как	3	1
24	те же самые	1	1
25	то же самое	1	1
26	в отличие от	2	1
27	отношению к предмету	1	1
28	между тем как	1	1
29	каждом отдельном случае	1	1
30	только то что	1	1
31	в этом отношении	3	1
32	можно было бы	2	1
33	в системе языка	1	1
34	с этой точки	1	1
35	и тем что	1	1
36	вместе с ними	1	1
37	те же слова	1	1
38	если говорить о	2	1
39	и тот же	1	1
40	состоит в том	4	1
41	тем не менее	3	1
42	но и его	1	1
43	в связи с	1	1
44	прежде всего в	1	1
45	если конечно мы	1	1
46	до такой степени	1	1
47	в тех случаях	1	1
48	то же время	2	1
49	в борьбе с	2	1
50	так же точно	1	1
51	не только на	1	1
52	в конечном счете	2	1
53	на то что	2	1
54	никоим образом не	1	1
55	на всем протяжении	1	1
56	тех случаях когда	1	1
57	в то же	2	1
58	в каждом отдельном	1	1
59	к тому что	1	1
60	не знает категории	1	1
61	тех или иных	2	1
62	как и в	3	1
63	могут быть произнесены	1	1
64	которого только и	1	1
