N	3gram	Nazirov_Tr_1	Myslijsy
1	в том что	2	7
2	во всяком случае	1	7
3	тем не менее	1	5
4	а между тем	1	4
5	сам по себе	1	4
6	смысле этого слова	1	3
7	и т п	1	3
8	может быть не	1	3
9	не могут быть	1	3
10	с самого начала	1	2
11	так и в	3	2
12	не только по	1	2
13	не может быть	1	2
14	после того как	1	2
15	то же время	5	2
16	в то же	5	2
17	о том что	2	1
18	в одном из	1	1
19	несколько раз и	1	1
20	если так можно	1	1
21	по сравнению с	1	1
22	в таком виде	1	1
23	и в этом	1	1
24	как и в	1	1
25	так можно выразиться	1	1
26	на мысль что	1	1
27	никто не скажет	1	1
28	и не может	1	1
29	распадается на две	1	1
30	бы и в	1	1
31	мысль о том	1	1
32	на две неравные	1	1
33	в отличие от	2	1
34	в этом случае	1	1
35	и в самом	2	1
36	в применении к	1	1
37	как это часто	1	1
38	на вопрос о	1	1
39	в связи с	1	1
40	скажет что он	1	1
41	но все же	2	1
42	и как бы	2	1
43	не имеет для	1	1
44	все же не	1	1
45	не только о	1	1
46	то что он	1	1
47	это как бы	1	1
48	том что он	1	1
