N	3gram	Losev_Dial_4	VerxiiNi
1	с точки зрения	9	6
2	по крайней мере	7	5
3	для того чтобы	5	5
4	о том что	1	4
5	и вместе с	1	4
6	но все же	1	4
7	так или иначе	1	3
8	точно так же	2	3
9	в конце концов	1	3
10	в связи с	1	3
11	тем не менее	2	3
12	в том что	9	3
13	с этой точки	2	2
14	то или иное	3	2
15	некоторые из них	1	2
16	по сравнению с	2	2
17	то же время	6	2
18	ничего общего с	2	2
19	этой точки зрения	2	2
20	той или иной	1	2
21	можно сказать что	1	2
22	на то что	3	2
23	в то же	6	2
24	и в этом	3	2
25	его можно только	1	2
26	здесь идет речь	1	1
27	и в сущности	1	1
28	его уже не	1	1
29	не может не	1	1
30	и есть то	1	1
31	что в этом	1	1
32	в силу этого	1	1
33	сказать что в	1	1
34	иметь в виду	2	1
35	говорить лишь о	1	1
36	можно говорить лишь	1	1
37	о том как	2	1
38	очень много но	1	1
39	одного из своих	1	1
40	и в то	2	1
41	все те же	1	1
42	но для этого	1	1
43	а вместе с	1	1
44	с тем что	1	1
45	совершенно ясно что	1	1
46	некоторый реальный и	1	1
47	не похоже на	1	1
48	и иной раз	1	1
49	только в силу	1	1
50	в области отдельных	1	1
51	в данном случае	1	1
52	но в то	2	1
53	так как самое	1	1
54	рождение и смерть	1	1
55	крайней мере до	1	1
56	в отличие от	1	1
57	силу этого и	1	1
58	или по крайней	3	1
59	не в том	4	1
60	с тем или	1	1
61	который можно назвать	1	1
62	а не как	1	1
63	не имеет никакого	2	1
64	том что они	1	1
65	с другой стороны	1	1
66	как бы в	1	1
67	речь идет о	1	1
68	из этих трех	1	1
69	не может быть	6	1
70	из которых каждый	1	1
71	может и не	1	1
72	но тем не	1	1
73	в свою очередь	2	1
74	это и есть	4	1
75	и у них	1	1
76	не только не	1	1
77	что это есть	3	1
78	он как бы	1	1
79	не более как	1	1
80	же что и	3	1
81	после того как	1	1
82	в сфере религиозной	1	1
83	мы видим что	2	1
84	может быть в	1	1
85	в себе не	1	1
86	надо иметь в	1	1
87	только тогда когда	4	1
