N	3gram	Bakhtin_Fr_2	Sovremen
1	с точки зрения	5	5
2	не может быть	4	4
3	мы видели что	1	3
4	друг с другом	1	2
5	во всяком случае	2	2
6	не подлежит сомнению	1	2
7	в настоящее время	1	2
8	одной стороны и	1	1
9	не могут быть	1	1
10	должны еще раз	1	1
11	не дает нам	2	1
12	таким образом он	1	1
13	ровно ничего не	1	1
14	все более и	1	1
15	не может дать	1	1
16	дело в том	1	1
17	по отношению к	1	1
18	одна и та	1	1
19	на самом деле	1	1
20	в новое время	1	1
21	и той же	1	1
22	только на его	1	1
23	в свое время	3	1
24	в этом случае	1	1
25	один и тот	1	1
26	до наших дней	2	1
27	до сих пор	4	1
28	и во всех	3	1
29	то же время	6	1
30	и в то	2	1
31	со всеми ее	1	1
32	и та же	1	1
33	прежде всего необходимо	1	1
34	более и более	1	1
35	и не может	1	1
36	легла в основу	1	1
37	все же в	3	1
38	и в начале	2	1
39	и прежде всего	1	1
40	но все же	2	1
41	мы знаем что	1	1
42	мы должны еще	2	1
43	в то же	6	1
44	это как бы	1	1
45	одной и той	1	1
46	как мы видим	1	1
47	не подлежит никакому	1	1
48	в себе в	1	1
49	в том что	1	1
50	и во всей	1	1
51	никакому сомнению что	1	1
52	все эти три	1	1
53	не является исключением	1	1
54	еще раз подчеркнуть	1	1
55	подлежит никакому сомнению	1	1
56	с одной стороны	3	1
57	именно в том	1	1
58	и тот же	1	1
