N	2gram	Berdyaev_M_1	Problema
1	то есть	3	46
2	в его	9	43
3	и не	11	42
4	и в	28	38
5	не может	28	27
6	может быть	30	26
7	как бы	2	22
8	по отношению	2	21
9	отношению к	2	19
10	и с	3	17
11	и его	9	16
12	в этом	20	15
13	в нем	13	15
14	и т	1	14
15	только в	6	13
16	т п	1	13
17	прежде всего	10	13
18	но не	8	12
19	за пределы	4	12
20	в искусстве	1	12
21	во всех	1	11
22	в области	1	11
23	и для	2	11
24	отношение к	4	10
25	в их	4	10
26	художественном творчестве	1	10
27	к нему	7	10
28	не только	29	9
29	не имеет	3	9
30	его в	3	9
31	но и	25	9
32	и как	2	8
33	входит в	2	8
34	было бы	10	8
35	точки зрения	4	8
36	место в	2	8
37	в том	6	8
38	и др	1	8
39	то что	5	8
40	еще не	1	7
41	в самом	11	7
42	вообще не	2	7
43	в плане	1	7
44	как и	5	7
45	не в	16	7
46	между тем	1	7
47	в своей	15	7
48	что в	10	7
49	отношения к	4	6
50	самом деле	1	6
51	и наконец	1	6
52	в пределах	1	6
53	не к	4	6
54	не есть	9	6
55	и этим	1	6
56	ничего не	3	6
57	все же	2	6
58	а в	4	6
59	себя как	1	5
60	высшей степени	2	5
61	тем как	1	5
62	отличие от	1	5
63	в своем	10	5
64	все эти	2	5
65	это не	5	5
66	в них	4	5
67	рядом с	1	5
68	в высшей	2	5
69	в содержание	1	5
70	в отличие	1	5
71	творчества и	1	5
72	так и	1	5
73	для познания	1	5
74	в основе	2	5
75	и о	1	5
76	никогда не	14	5
77	с ним	2	5
78	конечно не	3	5
79	не на	1	5
80	а не	25	5
81	могут быть	2	5
82	должно быть	3	5
83	на самом	1	4
84	должна быть	6	4
85	в виду	2	4
86	в ней	15	4
87	относится к	2	4
88	как в	2	4
89	но в	7	4
90	в себе	7	4
91	понять его	2	4
92	с миром	1	4
93	не менее	1	4
94	в то	2	4
95	в ее	3	4
96	можно было	1	4
97	о том	2	4
98	от всех	1	4
99	и только	1	4
100	к которому	1	4
101	что не	1	4
102	и потому	10	4
103	в более	2	4
104	хотя бы	3	4
105	сказать что	2	4
106	также и	2	3
107	менее всего	7	3
108	иногда и	1	3
109	нет и	5	3
110	и к	2	3
111	к миру	2	3
112	он не	24	3
113	в мире	10	3
114	а как	2	3
115	том что	3	3
116	есть его	1	3
117	лишь момент	2	3
118	как его	1	3
119	все то	1	3
120	и это	12	3
121	и от	2	3
122	начало и	1	3
123	приводит к	2	3
124	если бы	2	3
125	творчества в	1	3
126	природы и	1	3
127	иных случаях	1	3
128	одной из	1	3
129	мы увидим	3	3
130	и даже	1	3
131	оно не	1	3
132	себя и	3	3
133	есть лишь	9	3
134	его как	2	3
135	в иных	3	3
136	и на	6	3
137	да и	1	3
138	но это	1	3
139	все это	6	3
140	природу и	2	3
141	не больше	1	3
142	за его	1	3
143	культуры и	1	3
144	она может	2	3
145	от него	4	3
146	и все	10	3
147	не знает	4	3
148	все что	2	3
149	они не	1	3
150	смысле слова	4	2
151	и есть	14	2
152	в котором	8	2
153	проникает в	2	2
154	его не	3	2
155	есть не	4	2
156	можно и	1	2
157	мы имеем	1	2
158	ничего нет	1	2
159	не во	1	2
160	но она	1	2
161	не вполне	1	2
162	я не	1	2
163	и он	12	2
164	не остается	2	2
165	с его	3	2
166	художник и	1	2
167	не все	2	2
168	ивана карамазова	7	2
169	в истории	2	2
170	как к	1	2
171	к чему	2	2
172	и у	2	2
173	бы не	2	2
174	и те	2	2
175	а к	1	2
176	он должен	3	2
177	на этом	3	2
178	и взаимоотношения	1	2
179	человека в	13	2
180	в каждом	1	2
181	лишь в	6	2
182	искусства в	1	2
183	не совпадает	1	2
184	все и	1	2
185	нему и	1	2
186	не путем	1	2
187	и более	1	2
188	войти в	1	2
189	и вся	1	2
190	а иногда	1	2
191	она не	4	2
192	и именно	1	2
193	того чтобы	2	2
194	чем не	1	2
195	в самой	7	2
196	во всем	1	2
197	а лишь	1	2
198	так называемый	2	2
199	содержания как	1	2
200	у нас	5	2
201	к себе	1	2
202	не могут	5	2
203	есть только	2	2
204	отличается от	2	2
205	для того	2	2
206	должен быть	2	2
207	отношения и	2	2
208	можно сделать	1	2
209	особенно в	3	2
210	с самим	2	2
211	поэтому в	1	2
212	и что	2	2
213	в значительной	1	2
214	от них	1	2
215	и во	2	2
216	этот момент	1	2
217	человека как	2	2
218	в него	3	2
219	мир в	3	2
220	и мир	2	2
221	того что	7	2
222	что он	10	2
223	и ее	1	2
224	себя в	3	2
225	к форме	1	2
226	завершение в	1	2
227	в нашей	1	2
228	в начале	2	2
229	ни с	4	2
230	цели и	1	2
231	что и	4	2
232	вовсе не	1	2
233	произведения и	1	2
234	тем что	4	2
235	лишь для	1	2
236	событие в	1	2
237	чем в	2	2
238	связаны с	1	2
239	характерно для	1	2
240	души и	1	2
241	не было	18	2
242	в россии	2	2
243	единой человеческой	1	2
244	с предметом	1	2
245	человек в	9	2
246	в частности	1	2
247	подхода к	1	2
248	и смысла	1	2
249	для понимания	1	2
250	находит свое	1	2
251	как явление	1	2
252	ни к	1	2
253	в этих	4	2
254	в новый	1	2
255	от ее	1	2
256	в свою	2	2
257	к его	1	2
258	в своих	1	2
259	и эта	1	2
260	к этому	2	2
261	хуже всего	1	1
262	направленная на	1	1
263	как формальное	1	1
264	и всякому	1	1
265	человека и	14	1
266	чувствовать себя	1	1
267	выражения в	1	1
268	тех же	1	1
269	это и	4	1
270	к другому	1	1
271	нем нет	1	1
272	ницше и	1	1
273	из всех	1	1
274	бы уже	1	1
275	из подполья	10	1
276	и ничего	1	1
277	связан с	1	1
278	мир не	2	1
279	вопрос о	2	1
280	во внутреннем	1	1
281	почти все	1	1
282	который был	2	1
283	время как	2	1
284	что иное	1	1
285	жизни как	1	1
286	бы ни	1	1
287	божьего мира	2	1
288	основании что	2	1
289	стороны его	1	1
290	становится в	1	1
291	есть для	1	1
292	иное как	1	1
293	по своему	2	1
294	том основании	2	1
295	отказ от	1	1
296	то он	1	1
297	себе и	2	1
298	в свои	1	1
299	пределы и	2	1
300	которые не	1	1
301	показать в	1	1
302	своем творчестве	2	1
303	более и	1	1
304	ней в	1	1
305	есть что-то	2	1
306	целый ряд	1	1
307	к культуре	1	1
308	в противоположность	1	1
309	предметом с	1	1
310	бы и	3	1
311	и я	5	1
312	то время	2	1
313	и многообразный	1	1
314	в этой	6	1
315	человек то	1	1
316	но он	9	1
317	только один	2	1
318	чувств и	1	1
319	в философии	1	1
320	но ведь	1	1
321	нет кроме	1	1
322	имеет для	1	1
323	как он	2	1
324	если он	5	1
325	а вовсе	1	1
326	она все	1	1
327	сомнений и	1	1
328	в первых	1	1
329	которой не	1	1
330	всех этих	1	1
331	нее и	1	1
332	в понимании	1	1
333	не связан	1	1
334	есть та	1	1
335	этого вопроса	1	1
336	не как	4	1
337	и вот	3	1
338	бытия это	1	1
339	его от	1	1
340	видит и	1	1
341	от нее	5	1
342	подход к	1	1
343	человек а	1	1
344	они должны	1	1
345	значение в	1	1
346	мы уже	1	1
347	бы быть	1	1
348	это было	1	1
349	которым все	2	1
350	от одного	1	1
351	не сходится	1	1
352	и мы	2	1
353	моменты в	1	1
354	в свой	2	1
355	истории и	2	1
356	для них	3	1
357	нет в	4	1
358	ли может	2	1
359	с тем	9	1
360	выйти за	1	1
361	потому и	1	1
362	нисколько не	1	1
363	был бы	10	1
364	которую он	2	1
365	можно найти	1	1
366	по сравнению	2	1
367	что вся	1	1
368	изживает себя	1	1
369	к одному	1	1
370	установить что	1	1
371	том смысле	2	1
372	слово он	1	1
373	себе а	1	1
374	в которых	4	1
375	мысли и	2	1
376	лишь средством	1	1
377	и эти	1	1
378	найти себе	1	1
379	не должно	1	1
380	что есть	5	1
381	вплоть до	1	1
382	не раз	1	1
383	культурной жизни	1	1
384	человека но	4	1
385	мышления и	1	1
386	что их	1	1
387	в самых	1	1
388	идет в	1	1
389	ставит его	1	1
390	науку о	1	1
391	все свои	1	1
392	и без	1	1
393	находятся в	1	1
394	во всей	1	1
395	к концу	4	1
396	влияний и	1	1
397	мире и	1	1
398	сознанием и	1	1
399	его он	1	1
400	ничто не	1	1
401	не нужен	1	1
402	исторического процесса	1	1
403	есть совершенно	1	1
404	личности в	2	1
405	в момент	3	1
406	мы все	1	1
407	значительной степени	1	1
408	свободы ибо	1	1
409	созерцания и	1	1
410	его с	2	1
411	родство с	1	1
412	протяжении всего	1	1
413	даже и	2	1
414	творчества не	1	1
415	него как	2	1
416	приходит к	1	1
417	из всего	1	1
418	город и	1	1
419	на нем	1	1
420	связи со	1	1
421	если в	1	1
422	каждый раз	1	1
423	стремиться к	1	1
424	на том	3	1
425	было в	1	1
426	границы но	1	1
427	мог бы	4	1
428	есть свободная	1	1
429	в одном	1	1
430	не были	1	1
431	начинается в	3	1
432	красота есть	1	1
433	свободной и	1	1
434	мире в	1	1
435	в содержании	1	1
436	с человеком	1	1
437	средством для	1	1
438	может в	1	1
439	понять как	1	1
440	ли она	2	1
441	для нас	3	1
442	и своей	1	1
443	своему значению	2	1
444	на протяжении	2	1
445	нем не	2	1
446	и нашу	1	1
447	говорить об	1	1
448	человека из	2	1
449	есть художественное	1	1
450	вообще и	1	1
451	последних пределов	2	1
452	должна прийти	1	1
453	возможно лишь	1	1
454	быть и	1	1
455	на которой	1	1
456	историки литературы	1	1
457	к которой	1	1
458	этот вопрос	1	1
459	и быть	1	1
460	бы из	1	1
461	из сторон	1	1
462	и действительно	1	1
463	не имеющих	1	1
464	своего свободного	1	1
465	к психологии	1	1
466	между этими	1	1
467	человека с	2	1
468	это ни	1	1
469	которому он	1	1
470	уже не	4	1
471	есть уже	4	1
472	не принимает	1	1
473	это характерно	1	1
474	его во	1	1
475	в праве	1	1
476	в душе	1	1
477	потому в	1	1
478	его и	1	1
479	чего бы	1	1
480	свою свободу	2	1
481	для него	11	1
482	творчестве достоевского	4	1
483	ценность в	1	1
484	или научное	1	1
485	ее не	1	1
486	к ним	1	1
487	только с	1	1
488	явлений в	1	1
489	мир на	1	1
490	момент в	2	1
491	образ человека	7	1
492	в последнюю	1	1
493	для художника	1	1
494	выходит за	1	1
495	точек зрения	1	1
496	он живет	2	1
497	есть момент	1	1
498	до сих	2	1
499	ли он	1	1
500	нас в	1	1
501	притом не	1	1
502	человека а	3	1
503	уходит в	1	1
504	моего собственного	1	1
505	мы еще	2	1
506	человек может	2	1
507	движения в	2	1
508	или о	1	1
509	обратиться к	1	1
510	связано с	2	1
511	свободе и	4	1
512	нужно сказать	1	1
513	а на	1	1
514	на этот	2	1
515	а изнутри	1	1
516	до конца	14	1
517	власти и	1	1
518	культуры как	1	1
519	человеческой жизни	2	1
520	как ни	1	1
521	все время	1	1
522	эти пределы	1	1
523	о чем	2	1
524	в боге	3	1
525	этом основании	1	1
526	что мы	1	1
527	но оно	1	1
528	вместе с	6	1
529	так же	1	1
530	из мира	1	1
531	мы говорим	1	1
532	но этот	1	1
533	если так	1	1
534	в столь	1	1
535	сравнению с	1	1
536	она есть	1	1
537	в той	2	1
538	формы все	1	1
539	образ и	2	1
540	и менее	1	1
541	быть не	2	1
542	одного к	1	1
543	мира так	1	1
544	есть и	3	1
545	есть то	1	1
546	сих пор	2	1
547	которое может	1	1
548	в смысле	1	1
549	о мире	2	1
550	сам же	1	1
551	и часто	1	1
552	и хаос	2	1
553	не существует	2	1
554	к тому	3	1
555	конечно он	1	1
556	мира и	5	1
557	на большую	1	1
558	перестать быть	1	1
559	бы в	2	1
560	еще более	1	1
561	теряет свою	1	1
562	я в	1	1
563	хотя в	1	1
564	разных сторон	1	1
565	но всегда	1	1
566	как человек	1	1
567	отношении к	2	1
568	с формальной	1	1
569	процессы в	1	1
570	личность и	2	1
571	жизни в	2	1
572	в творчестве	10	1
573	но если	3	1
574	отношением к	1	1
575	в материальной	1	1
576	понимается как	1	1
577	в иной	3	1
578	жизни а	1	1
579	не что	1	1
580	выходят за	1	1
581	в которой	6	1
582	быть признана	1	1
583	жизни и	2	1
584	к этой	2	1
585	с первого	1	1
586	ее пути	1	1
587	смысле что	1	1
588	которая не	1	1
589	и трагедии	1	1
590	слова это	1	1
