N	3gram	Trubetskoy_1	RusskieA
1	в том что	3	15
2	состоит в том	1	8
3	вместе с тем	8	6
4	в связи с	3	4
5	о том что	4	4
6	в настоящее время	1	3
7	с точки зрения	6	3
8	тем не менее	3	3
9	что в этом	1	2
10	с этого момента	1	2
11	и связанные с	2	2
12	может быть и	2	2
13	и потому что	2	2
14	друг к другу	1	2
15	и некоторые другие	1	2
16	но тем не	1	2
17	в свою очередь	1	2
18	но все же	4	2
19	с тем и	2	2
20	после того как	1	2
21	а следовательно и	1	1
22	есть один из	1	1
23	сказать что в	1	1
24	к которому восходят	1	1
25	одном и том	1	1
26	уже не имеет	1	1
27	иметь в виду	1	1
28	и того же	1	1
29	и в китае	1	1
30	по отношению к	1	1
31	точно так же	3	1
32	всяком случае не	3	1
33	греков и римлян	1	1
34	не совсем так	1	1
35	в таком случае	1	1
36	но и потому	1	1
37	мы должны признать	2	1
38	в этом отношении	2	1
39	при этом не	1	1
40	одном из своих	1	1
41	что и те	2	1
42	но и как	1	1
43	некоторые из них	2	1
44	и во время	1	1
45	что в течение	1	1
46	его жизнь в	1	1
47	не потому что	1	1
48	могут рассматриваться как	1	1
49	как видно из	1	1
50	и том же	1	1
51	в отличие от	1	1
52	и в этом	2	1
53	не только для	2	1
54	не только как	1	1
55	но вместе с	2	1
56	и на то	1	1
57	во всяком случае	6	1
58	так же как	3	1
59	сливаются в одно	1	1
60	в одном и	1	1
61	в то время	1	1
62	ничего общего с	2	1
63	в одном из	1	1
64	с тем что	1	1
65	в чем именно	1	1
66	несмотря на все	1	1
67	можно сказать что	2	1
68	не более как	1	1
69	на то что	2	1
70	в этой роли	1	1
71	одного и того	1	1
72	связанные с ним	1	1
73	мы видим что	1	1
74	на первое место	1	1
75	так как по	1	1
76	друг с другом	5	1
77	что и в	1	1
78	только тогда когда	1	1
79	в данном случае	1	1
