N	2gram	Medvedev_S_1	NovoeSre
1	и в	3	16
2	не может	1	16
3	и не	1	11
4	и есть	1	10
5	что в	2	9
6	в том	5	8
7	в этом	5	7
8	может быть	2	7
9	как и	1	7
10	не в	3	6
11	никогда не	1	6
12	не только	3	5
13	все это	7	5
14	о том	1	4
15	и мы	2	4
16	наше время	1	4
17	в них	1	4
18	то что	2	4
19	это не	1	4
20	прежде всего	1	4
21	не было	1	4
22	и потому	1	4
23	с другой	1	3
24	должна быть	2	3
25	еще не	2	3
26	за пределы	2	3
27	конечно не	1	3
28	перейти к	1	3
29	в мире	1	3
30	но и	2	3
31	в своей	1	3
32	в наше	1	3
33	более не	1	2
34	это и	2	2
35	так и	1	2
36	мы не	1	2
37	для этого	1	2
38	но она	1	2
39	и должно	1	2
40	и что	2	2
41	должно было	1	2
42	но не	1	2
43	в свои	1	2
44	все эти	1	2
45	с одной	1	2
46	у него	1	2
47	что она	1	2
48	и заключается	2	2
49	что все	1	2
50	зависит от	1	2
51	том что	2	2
52	свои права	1	2
53	место в	1	2
54	одной стороны	1	2
55	по существу	2	2
56	том и	1	2
57	как будто	2	2
58	должна стать	1	2
59	в смысле	2	2
60	в то	1	2
61	мысли в	1	2
62	хотя бы	1	2
63	а в	1	2
64	заключается что	2	2
65	когда мы	1	2
66	ни одно	1	1
67	нельзя мыслить	1	1
68	по природе	2	1
69	с ним	1	1
70	не способен	1	1
71	в чем	1	1
72	в его	3	1
73	и только	3	1
74	которая должна	1	1
75	к которому	2	1
76	что он	1	1
77	только в	2	1
78	существу своему	1	1
79	него и	1	1
80	должна с	1	1
81	идей и	2	1
82	всяком случае	1	1
83	в конце	2	1
84	но ведь	3	1
85	тем что	1	1
86	это значит	1	1
87	не должна	1	1
88	выходит за	1	1
89	было бы	2	1
90	они не	1	1
91	в этой	1	1
92	далеко еще	1	1
93	в этих	1	1
94	в котором	1	1
95	только для	1	1
96	но сам	1	1
97	в силу	1	1
98	мы должны	1	1
99	и более	1	1
100	быть не	1	1
101	по себе	1	1
102	она должна	1	1
103	в сущности	1	1
104	внутреннего единства	1	1
105	бы он	1	1
106	или нет	1	1
107	и его	1	1
108	или не	1	1
109	мы переходим	1	1
110	вступает в	1	1
111	в области	1	1
112	во всяком	1	1
