N	3gram	Bakhtin_sl_1	Istorich
1	и т д	5	18
2	до сих пор	2	6
3	в том что	1	5
4	в этом случае	2	5
5	мы имеем в	1	5
6	мы видим что	1	5
7	не только в	2	4
8	со всех сторон	1	4
9	с одной стороны	4	3
10	можно было бы	2	3
11	о том что	1	2
12	с самого начала	1	2
13	с другой стороны	4	2
14	в других случаях	2	2
15	не может быть	1	2
16	и ничего не	1	2
17	но и в	1	2
18	во всех этих	1	2
19	так или иначе	1	1
20	на своем пути	1	1
21	одной и той	1	1
22	и так сказать	1	1
23	не только не	1	1
24	до конца и	3	1
25	в другом случае	2	1
26	каждый из этих	1	1
27	и др все	1	1
28	и прежде всего	1	1
29	и то же	2	1
30	же и в	1	1
31	он действительно был	1	1
32	но это не	1	1
33	в отличие от	1	1
34	и не могут	1	1
35	и той же	1	1
36	понимание того что	1	1
37	для них и	1	1
38	и кроме того	2	1
39	до наших дней	1	1
40	на задний план	1	1
41	друг с другом	2	1
42	в зависимости от	3	1
43	а в сущности	1	1
44	не только на	2	1
45	и в другом	2	1
46	его к своей	1	1
47	тем не менее	1	1
48	так что они	1	1
49	только в одном	1	1
