N	2gram	Berdyaev_V_1	BTomashe
1	у нас	1	3
2	и не	20	2
3	в ней	4	2
4	можно было	2	2
5	все это	5	2
6	говорить о	4	1
7	во всяком	2	1
8	с другой	1	1
9	о свободе	2	1
10	вопрос о	1	1
11	в своей	3	1
12	по крайней	1	1
13	по мотивам	1	1
14	и ее	1	1
15	и в	16	1
16	будто бы	1	1
17	так и	4	1
18	крайней мере	1	1
19	что все	4	1
20	и нет	1	1
21	не было	3	1
22	и во	2	1
23	должна быть	3	1
24	и потому	7	1
25	что опять-таки	1	1
26	все же	1	1
27	его не	2	1
28	прежде всего	2	1
29	что в	3	1
30	всего в	2	1
31	еще не	8	1
32	не только	2	1
33	и на	1	1
34	другой стороны	1	1
35	ведет по	2	1
36	нельзя не	1	1
37	а не	7	1
