N	2gram	Losev_Dial_3	IolandNe
1	и с	6	3
2	должен быть	1	2
3	и не	27	2
4	в этом	8	2
5	оба они	1	2
6	он не	5	2
7	что в	7	2
8	самого себя	1	2
9	ничего не	17	2
10	же это	1	1
11	себя в	2	1
12	все это	6	1
13	нисколько не	1	1
14	а для	2	1
15	и в	24	1
16	только что	4	1
17	и о	3	1
18	у всех	1	1
19	я не	6	1
20	то и	3	1
21	бы в	2	1
22	как только	1	1
23	стало быть	9	1
24	с другой	4	1
25	и та	1	1
26	это было	3	1
27	а в	2	1
28	вплоть до	1	1
29	так то	1	1
30	того что	12	1
31	о жизни	1	1
32	хорошо знать	1	1
33	и без	3	1
34	нечто и	2	1
35	как о	4	1
36	на котором	2	1
37	другой стороны	2	1
38	утверждает что	3	1
39	странное и	2	1
40	не так	1	1
41	для него	4	1
42	в основе	3	1
43	что для	5	1
44	говорить о	4	1
45	понятий и	1	1
46	и сам	1	1
47	есть только	12	1
48	а если	3	1
49	так и	5	1
50	бы его	2	1
51	он с	1	1
52	от этого	1	1
53	во многом	1	1
54	никогда не	7	1
55	к отцу	2	1
56	о ней	2	1
57	не смерть	1	1
58	жизни и	5	1
59	и очень	1	1
60	бы все	1	1
61	факты и	2	1
62	и ничего	4	1
63	тем что	3	1
64	и многое	2	1
65	увидел бы	1	1
66	в них	5	1
67	все эти	3	1
68	но когда	1	1
69	по существу	2	1
70	и имеется	1	1
71	ибо и	3	1
72	от нее	1	1
73	со всеми	2	1
74	если бы	6	1
75	для того	3	1
