N	2gram	Bakhtin_Fr_6	Poddanst
1	не только	10	17
2	и в	41	14
3	и не	3	12
4	в области	2	11
5	в этом	12	10
6	в отношении	1	10
7	но в	8	9
8	то же	5	9
9	в том	2	9
10	в пределах	1	8
11	только в	3	7
12	в то	6	7
13	же время	5	7
14	в ней	4	6
15	xix века	1	6
16	было бы	3	6
17	но и	13	6
18	в смысле	1	6
19	в которых	1	5
20	с другой	4	5
21	может быть	2	5
22	не в	4	5
23	и о	1	5
24	тех кто	1	4
25	а также	5	4
26	в своем	5	4
27	и к	1	4
28	как бы	7	4
29	и если	1	4
30	том что	7	4
31	не может	4	4
32	и потому	2	4
33	в котором	4	4
34	большей степени	1	4
35	по себе	1	4
36	что в	7	4
37	а в	4	4
38	то что	10	4
39	мы не	2	3
40	между тем	2	3
41	это не	1	3
42	вслед за	1	3
43	хотя и	2	3
44	и как	4	3
45	тот же	4	3
46	с ними	1	3
47	с одной	4	3
48	в себе	5	3
49	в нем	16	3
50	для того	1	3
51	заключается в	2	3
52	прежде всего	10	3
53	одной стороны	4	3
54	с тем	1	3
55	что мы	2	3
56	с точки	2	3
57	но не	2	3
58	наряду с	1	3
59	могут быть	1	3
60	потому что	3	3
61	точки зрения	2	3
62	и это	1	2
63	например в	6	2
64	в сфере	1	2
65	значительной мере	1	2
66	в ее	5	2
67	начала и	1	2
68	по характеру	1	2
69	есть нечто	2	2
70	и сухая	1	2
71	никак не	3	2
72	в xix	1	2
73	время в	1	2
74	в значительной	2	2
75	во всех	17	2
76	в которую	1	2
77	говорить о	2	2
78	из важнейших	1	2
79	с этим	3	2
80	того что	3	2
81	стороны и	2	2
82	как мир	1	2
83	и весьма	2	2
84	думать что	1	2
85	есть в	3	2
86	в начале	3	2
87	г и	1	2
88	и других	1	2
89	в его	7	2
90	из них	5	2
91	и вот	1	2
92	как раз	2	2
93	в последние	1	2
94	и с	16	2
95	именно в	4	2
96	мира с	1	2
97	и тем	1	2
98	в жизни	1	2
99	xix веке	1	2
100	в них	7	2
101	не было	1	2
102	а не	2	2
103	в эту	2	2
104	не столько	1	2
105	знать что	2	2
