N	3gram	Voloshinov_2	DiskursI
1	в отличие от	3	12
2	в том что	6	6
3	то же время	8	5
4	как и в	1	5
5	по отношению к	8	4
6	в этом отношении	1	4
7	в то же	8	4
8	с одной стороны	3	4
9	так и в	1	3
10	не может быть	10	3
11	о том что	3	3
12	той или иной	4	3
13	и того же	4	2
14	одной стороны и	2	2
15	как и всякое	1	2
16	в соответствии с	1	2
17	в этом случае	1	2
18	с точки зрения	13	2
19	и не может	3	2
20	в первую очередь	1	2
21	одно и то	3	2
22	в сочетании с	1	2
23	не сводится к	1	2
24	и то же	3	2
25	дело в том	1	2
26	и прежде всего	2	2
27	не было в	1	2
28	одного и того	4	2
29	в русской литературе	1	2
30	в другом месте	1	1
31	в той или	3	1
32	прежде всего на	1	1
33	может быть сведена	1	1
34	от утверждения что	1	1
35	к другому в	1	1
36	в самом деле	5	1
37	нашли свое наиболее	2	1
38	того или иного	2	1
39	не имеют никакого	1	1
40	друг от друга	1	1
41	с другой стороны	1	1
42	имеют никакого отношения	1	1
43	что приводит к	1	1
44	до известной степени	1	1
45	бы то ни	4	1
46	а с другой	1	1
47	одна из них	1	1
48	в этом качестве	1	1
49	отнюдь не является	2	1
50	в значительной степени	2	1
51	между ним и	1	1
52	не совпадает с	1	1
53	то ни было	4	1
54	мы все же	1	1
55	внутренним и внешним	1	1
56	говоря уже о	1	1
57	в равной степени	1	1
58	не могут быть	1	1
59	быть сведена к	1	1
60	она отнюдь не	1	1
61	во всяком случае	2	1
62	к выводу о	1	1
63	чужой речи и	2	1
64	то есть оно	1	1
65	могло бы стать	1	1
66	с той или	1	1
67	между внутренним и	1	1
68	с самого начала	5	1
69	но в этом	1	1
70	в конечном счете	1	1
71	не менее в	1	1
72	тем что он	1	1
73	можно сказать что	1	1
74	в большинстве случаев	5	1
75	в том числе	1	1
76	тем не менее	1	1
77	и в большинстве	1	1
78	но также и	1	1
79	лицом к лицу	1	1
80	здесь как и	1	1
81	по крайней мере	2	1
82	в себе не	1	1
83	том числе и	1	1
84	не говоря уже	1	1
