N	2gram	Berdyaev_O_1	FransuaR
1	и в	19	41
2	в нем	10	16
3	и с	2	16
4	и его	4	13
5	но и	13	13
6	в этом	12	12
7	все эти	4	11
8	все это	6	11
9	в самом	5	10
10	не только	11	10
11	так как	2	10
12	прежде всего	9	10
13	то что	5	10
14	и на	2	9
15	о том	3	9
16	и все	10	9
17	в сущности	1	8
18	но в	2	8
19	в этой	5	8
20	никогда не	9	8
21	и до	1	7
22	в них	1	7
23	как и	6	7
24	том что	2	7
25	в его	7	7
26	вовсе не	1	7
27	у него	22	7
28	как бы	3	7
29	что в	4	7
30	также и	1	6
31	например в	1	6
32	в эпоху	1	6
33	один из	1	6
34	сказать что	2	6
35	что он	3	6
36	и он	8	5
37	с его	4	5
38	в ее	2	5
39	в своем	2	5
40	что это	1	5
41	в себе	3	5
42	но он	7	5
43	во всем	1	5
44	тем что	2	5
45	легенды о	1	5
46	так и	2	5
47	и что	1	5
48	из них	1	5
49	в одном	1	5
50	самом деле	1	4
51	в ней	1	4
52	он был	8	4
53	как в	1	4
54	и как	1	4
55	та же	1	4
56	в другом	2	4
57	не в	11	4
58	того чтобы	4	4
59	все же	2	4
60	у нас	1	4
61	с ним	3	4
62	другом месте	1	4
63	все время	1	4
64	уже в	2	4
65	в котором	1	4
66	и даже	1	4
67	и от	3	4
68	а в	5	4
69	не может	4	4
70	все что	3	4
71	вместо того	2	3
72	он сам	4	3
73	людей в	1	3
74	как у	1	3
75	в одной	1	3
76	и сам	1	3
77	людей и	1	3
78	было бы	3	3
79	потому что	9	3
80	этом отношении	1	3
81	они и	1	3
82	народа и	1	3
83	к нему	3	3
84	того что	3	3
85	что не	4	3
86	и самый	1	3
87	но оно	1	3
88	и не	13	3
89	но это	1	3
90	и для	2	3
91	жизни и	1	3
92	с образом	1	2
93	связана с	1	2
94	и то	2	2
95	дело доходит	1	2
96	от жажды	1	2
97	из самых	1	2
98	должна быть	1	2
99	было и	1	2
100	мы не	1	2
101	природы и	2	2
102	но не	1	2
103	то он	1	2
104	в новом	1	2
105	что они	2	2
106	в истории	2	2
107	в центре	1	2
108	хотя и	2	2
109	духа в	1	2
110	он в	2	2
111	он не	7	2
112	в корне	1	2
113	и вечно	1	2
114	что все	2	2
115	самим собой	1	2
116	лишь в	7	2
117	это было	3	2
118	заключается в	1	2
119	стороны с	1	2
120	был бы	1	2
121	в своей	2	2
122	ведь этот	1	2
123	и очень	2	2
124	что их	1	2
125	у кого	2	2
126	так что	2	2
127	не могут	3	2
128	в эти	1	2
129	характер и	1	2
130	и этим	2	2
131	и когда	1	2
132	которая была	1	2
133	уже отмечали	1	2
134	люди с	1	2
135	доходит до	1	2
136	там и	1	2
137	кажется что	1	2
138	говорит он	1	2
139	а именно	1	2
140	со всеми	1	2
141	человека с	1	2
142	никто не	3	2
143	ведь это	2	2
144	и прежде	1	2
145	в конце	1	2
146	может быть	11	2
147	в форме	1	2
148	человека и	10	2
149	что человек	3	2
150	до конца	7	2
151	был в	1	2
152	а не	11	2
153	мира в	1	2
154	в частности	1	2
155	начиная с	1	2
156	все основные	1	2
157	и потому	2	2
158	как это	1	2
159	в пределе	1	2
160	от него	7	2
161	бы в	1	2
162	в этих	3	2
163	еще более	1	2
164	для его	1	2
165	в том	5	2
166	это все	1	2
167	состоит из	1	2
168	от всех	1	2
169	сила и	1	2
170	отметить что	1	2
171	всех тех	1	2
172	ту же	1	1
173	и через	1	1
174	сам по	1	1
175	на самом	1	1
176	он хотел	1	1
177	то в	1	1
178	тем же	1	1
179	между двумя	1	1
180	уже указывали	1	1
181	и больше	1	1
182	его не	2	1
183	уверен что	1	1
184	чтобы не	1	1
185	не вполне	1	1
186	сложнее и	2	1
187	жизни как	1	1
188	ты можешь	1	1
189	еще не	3	1
190	и много	2	1
191	мысли и	3	1
192	и хлеб	1	1
193	во внешнем	1	1
194	одним словом	1	1
195	друг к	1	1
196	него также	1	1
197	все внимание	1	1
198	был совершенно	1	1
199	и всякий	1	1
200	отношение к	5	1
201	себе и	1	1
202	им для	1	1
203	есть просто	1	1
204	выводит за	1	1
205	этих словах	1	1
206	заключено в	1	1
207	и я	1	1
208	связывали с	1	1
209	и нет	2	1
210	что нет	1	1
211	от народной	1	1
212	и к	2	1
213	в этот	2	1
214	в которой	2	1
215	открывает и	1	1
216	не страшна	1	1
217	думать что	1	1
218	чувств и	1	1
219	ее как	1	1
220	между этими	1	1
221	они в	1	1
222	он должен	1	1
223	и вот	3	1
224	на земле	4	1
225	из него	1	1
226	это конечно	1	1
227	я бы	1	1
228	в каждом	1	1
229	презрение к	1	1
230	различие между	3	1
231	его в	2	1
232	и других	1	1
233	пути от	1	1
234	в глазах	1	1
235	не совпадает	1	1
236	должен был	2	1
237	глубин и	1	1
238	в жизни	1	1
239	смерть и	1	1
240	что природа	1	1
241	с тем	2	1
242	он и	1	1
243	строгом смысле	1	1
244	чем в	2	1
245	и тогда	1	1
246	видел в	1	1
247	одном из	1	1
248	дается в	1	1
249	мир и	1	1
250	страха и	1	1
251	не могли	2	1
252	как от	1	1
253	вещей и	1	1
254	по себе	2	1
255	что связано	1	1
256	всего его	1	1
257	в отношении	1	1
258	и против	2	1
259	дело в	1	1
260	того как	1	1
261	не имеет	2	1
262	всякий страх	1	1
263	ничего не	2	1
264	одна из	1	1
265	и весь	1	1
266	всего и	2	1
267	ничто не	2	1
268	нужно отметить	1	1
269	как будто	1	1
270	ведь все	1	1
271	в космосе	1	1
272	легенда о	2	1
273	стал вполне	1	1
274	могут быть	3	1
275	еще страшнее	1	1
276	к другу	1	1
277	люди все	1	1
278	его с	1	1
279	существа эти	1	1
280	и это	1	1
281	и о	2	1
282	и предметов	1	1
283	же не	1	1
284	нет никакой	1	1
285	у которых	1	1
286	можно было	1	1
287	связан с	1	1
288	особенно в	1	1
289	и каждый	1	1
290	космическая жизнь	1	1
291	бы еще	1	1
292	связанная с	1	1
293	о нем	1	1
294	и здесь	1	1
295	где оно	1	1
296	в поэму	1	1
297	в глаза	1	1
298	человеческого лица	2	1
299	после того	1	1
300	и мыслей	1	1
301	это была	1	1
302	нет у	1	1
303	каждом из	1	1
304	строя жизни	1	1
305	что и	2	1
306	это не	3	1
307	чем и	1	1
308	в которую	1	1
309	говорит в	1	1
310	в сферу	1	1
311	остается до	1	1
312	из всех	1	1
313	том как	1	1
314	человека в	11	1
315	с ними	1	1
316	начало в	1	1
317	их не	2	1
318	всякого человека	1	1
319	в уста	2	1
320	уже не	1	1
321	мир в	1	1
322	одно из	2	1
323	для него	5	1
324	начале романа	1	1
325	у нее	1	1
326	характер его	1	1
327	в других	2	1
328	его целиком	1	1
329	для того	3	1
330	момент в	2	1
331	а потому	1	1
332	границы и	1	1
333	иначе чем	1	1
334	говорится что	1	1
335	и из	2	1
336	лица в	1	1
337	у многих	1	1
338	действующих лиц	1	1
339	а с	1	1
340	на людей	1	1
341	что для	2	1
342	говорит о	1	1
343	к гибели	3	1
344	притом не	1	1
345	нужно искать	5	1
346	не было	9	1
347	на этот	1	1
348	его как	1	1
349	было для	2	1
350	о чем	1	1
351	под влиянием	1	1
352	связь с	1	1
353	него в	5	1
354	к его	1	1
355	в строгом	1	1
356	остается и	1	1
357	он говорит	1	1
358	смысле этого	1	1
359	плоти и	1	1
360	это есть	1	1
361	что же	2	1
362	и там	2	1
363	образ и	1	1
364	да и	1	1
365	которым он	1	1
366	этого слова	1	1
367	свободы в	1	1
368	человеческая природа	2	1
369	на своем	1	1
370	бессмертия и	1	1
371	ты хочешь	1	1
372	не существует	1	1
373	нисколько не	1	1
374	природе и	1	1
375	для нашего	1	1
376	жизни а	1	1
377	него и	4	1
378	это так	1	1
379	к этой	2	1
