N	3gram	Vinokur_Vv_1	Problema
1	по отношению к	4	19
2	и т п	5	13
3	не может быть	8	11
4	с точки зрения	2	6
5	в отличие от	3	5
6	и прежде всего	1	5
7	имеет дело с	2	4
8	в данном случае	4	4
9	с другой стороны	5	4
10	во всех его	1	4
11	на самом деле	1	3
12	в самом деле	5	3
13	в этом смысле	10	3
14	бы то ни	1	3
15	можно было бы	3	3
16	в применении к	6	3
17	все то что	1	3
18	с одной стороны	4	3
19	то же время	5	3
20	в том что	12	3
21	в то же	5	3
22	тем не менее	8	3
23	в области изучения	1	2
24	можно сказать что	3	2
25	то же самое	2	2
26	в том же	1	2
27	в строгом смысле	3	2
28	но и в	1	2
29	и др в	1	2
30	в лучшем случае	1	2
31	то или иное	1	2
32	то ни было	1	2
33	не только в	4	2
34	не могут быть	2	2
35	мы имеем дело	1	2
36	того или иного	1	2
37	той или иной	1	2
38	не входят в	1	2
39	для того чтобы	21	2
40	в этом отношении	3	2
41	а между тем	1	1
42	что иное как	4	1
43	в подобных случаях	1	1
44	и даже к	1	1
45	его можно было	1	1
46	в свою очередь	1	1
47	вообще не может	2	1
48	не говоря уже	2	1
49	подобно тому как	1	1
50	в настоящее время	1	1
51	также и в	2	1
52	имеют дело с	1	1
53	идет речь в	1	1
54	одной стороны и	3	1
55	имеется в виду	1	1
56	по своему значению	2	1
57	до сих пор	5	1
58	говоря уже о	1	1
59	хотя бы и	2	1
60	в одном и	1	1
61	и именно в	3	1
62	следует что в	1	1
63	с тем что	3	1
64	в известной мере	2	1
65	может быть и	2	1
66	широком смысле слова	4	1
67	и не в	1	1
68	и тем не	3	1
69	в значительной степени	1	1
70	не что иное	4	1
71	но в то	3	1
72	смысле этого слова	2	1
73	отношению к нему	1	1
74	а также и	2	1
75	но не чувствует	1	1
76	и в этом	3	1
77	по сравнению с	3	1
78	т д мы	1	1
79	который мог бы	1	1
80	имеем дело с	1	1
81	во всех отношениях	1	1
82	не в том	2	1
83	в связи с	2	1
84	в нем не	1	1
85	тем или иным	1	1
86	в том как	1	1
87	как момент в	1	1
88	но в принципе	1	1
89	лицом к лицу	1	1
90	и в том	3	1
91	строгом смысле этого	1	1
92	уже не к	1	1
93	в свое время	2	1
94	по себе не	1	1
95	из всего сказанного	1	1
96	а в том	1	1
97	есть не что	2	1
98	смысле слова но	1	1
99	здесь не может	1	1
100	своему значению для	1	1
101	его отношение к	1	1
102	и т д	37	1
103	всего то что	2	1
104	к выводу что	5	1
105	и в самом	3	1
106	вопрос о том	5	1
107	языка как такового	1	1
108	в самом широком	1	1
109	как мы уже	1	1
110	к тому что	1	1
111	в первом случае	2	1
112	с самими этими	1	1
113	культурной жизни как	1	1
114	на этот вопрос	3	1
115	дело в том	2	1
116	о чем говорится	3	1
117	все это можно	1	1
