N	2gram	Medvedev_S_1	FransuaR
1	и в	3	49
2	прежде всего	1	19
3	в его	3	18
4	не только	3	17
5	и его	1	17
6	в этом	5	15
7	и не	1	15
8	в них	1	13
9	только в	2	13
10	но и	2	13
11	как и	1	11
12	как бы	2	11
13	в этой	1	10
14	вовсе не	1	10
15	все это	7	9
16	в сущности	1	8
17	то же	2	7
18	все же	1	7
19	все эти	1	7
20	таким образом	2	7
21	один из	1	7
22	не может	1	7
23	именно в	1	6
24	так и	1	6
25	в то	1	6
26	же время	1	6
27	то что	2	6
28	но не	1	5
29	в своей	1	5
30	никогда не	1	5
31	может быть	2	5
32	и потому	1	5
33	в этих	1	4
34	и более	1	4
35	с ним	1	4
36	в области	1	4
37	с другой	1	4
38	а в	1	4
39	тем что	1	4
40	не было	1	4
41	благодаря этому	1	4
42	и о	1	4
43	том что	2	4
44	место в	1	3
45	но именно	1	3
46	на все	1	3
47	было бы	2	3
48	далеко не	2	3
49	даже в	1	3
50	о том	1	3
51	наконец в	1	3
52	что он	1	3
53	с одной	1	3
54	не дает	1	3
55	одной стороны	1	3
56	в том	5	3
57	литературы и	2	2
58	еще не	2	2
59	это и	2	2
60	за пределы	2	2
61	дает нам	1	2
62	метод в	4	2
63	только то	1	2
64	в мире	1	2
65	мы должны	1	2
66	что в	2	2
67	ничего не	1	2
68	связи с	1	2
69	вот в	1	2
70	всяком случае	1	2
71	именно на	1	2
72	в конце	2	2
73	у него	1	2
74	мы еще	1	2
75	в связи	1	2
76	в него	1	2
77	по существу	2	2
78	эти два	1	2
79	на определенных	1	2
80	в смысле	2	2
81	вряд ли	1	2
82	во всяком	1	2
83	художественных произведений	1	1
84	тем же	1	1
85	в котором	1	1
86	что эти	1	1
87	должна быть	2	1
88	но она	1	1
89	время в	1	1
90	в чем	1	1
91	только тогда	1	1
92	по отношению	2	1
93	перед нами	1	1
94	и наконец	1	1
95	конечно не	1	1
96	жанра и	1	1
97	в целом	1	1
98	развиваться в	1	1
99	главным образом	2	1
100	на точке	1	1
101	в силу	1	1
102	новое и	1	1
103	и по	1	1
104	что все	1	1
105	его в	1	1
106	это не	1	1
107	этих вопросов	1	1
108	их на	1	1
109	еще недостаточно	1	1
110	именно и	1	1
111	далеки от	1	1
112	литературы как	1	1
113	не в	3	1
114	и есть	1	1
115	должны служить	1	1
116	точке зрения	1	1
117	и стиля	1	1
118	это по	1	1
119	в строгом	1	1
120	не место	1	1
121	для этого	1	1
122	образом в	1	1
123	настоящее время	1	1
124	на что	1	1
125	и связь	1	1
126	должно было	1	1
127	конце концов	2	1
128	ровно ничего	1	1
129	хотя бы	1	1
130	еще и	1	1
131	наше время	1	1
132	литературе и	1	1
133	в серьезных	1	1
134	в виде	1	1
135	несколько упрощенно	1	1
136	его утверждение	1	1
137	выходит за	1	1
138	к которому	2	1
139	как же	3	1
140	на этот	1	1
141	только как	2	1
142	в те	1	1
143	с помощью	1	1
144	вступает в	1	1
145	в частности	2	1
146	ни на	1	1
147	слишком много	1	1
148	это значит	1	1
149	в наше	1	1
150	это как	1	1
151	в настоящее	1	1
152	для нас	3	1
153	бы в	1	1
154	и как	1	1
155	в лучшем	1	1
156	развития и	1	1
157	отношению к	2	1
