N	3gram	Ircho_Kome_2	EvropaiE
1	с точки зрения	1	16
2	в то же	3	15
3	то же время	3	14
4	и в то	1	8
5	с одной стороны	2	8
6	в том что	5	6
7	для того чтобы	4	5
8	бы то ни	2	4
9	не только в	1	4
10	то ни было	2	4
11	того или иного	1	4
12	само по себе	1	4
13	той или иной	1	4
14	в этом смысле	2	3
15	можно было бы	2	3
16	друг с другом	2	3
17	во всяком случае	2	3
18	во всех случаях	1	3
19	иначе обстоит дело	1	2
20	не говоря уже	2	2
21	только в том	1	2
22	то что в	1	2
23	не более чем	2	2
24	по сравнению с	1	2
25	так и в	1	2
26	то окажется что	1	2
27	с другой стороны	1	2
28	не может быть	1	2
29	в частности в	2	2
30	в свою очередь	1	2
31	мы можем сказать	1	2
32	хотя бы в	1	2
33	друг от друга	1	2
34	во второй половине	1	2
35	в большинстве случаев	1	2
36	и не имеет	1	2
37	как мы видели	1	2
38	к участию в	1	1
39	чуть ли не	2	1
40	более или менее	1	1
41	в тех случаях	1	1
42	как это имело	1	1
43	в соответствии с	1	1
44	в том же	1	1
45	что само по	1	1
46	в одной из	2	1
47	говоря уже о	2	1
48	том случае если	1	1
49	представление о том	1	1
50	в отличие от	2	1
51	но и в	1	1
52	и та же	1	1
53	тех случаях когда	1	1
54	том числе и	1	1
55	в силу этого	2	1
56	многие из них	1	1
57	как бы то	1	1
58	на этот раз	4	1
59	в качестве примера	1	1
60	бы столь же	1	1
61	в том случае	1	1
62	то время как	2	1
63	в связи с	3	1
64	так и для	1	1
65	одна и та	1	1
66	в полной мере	1	1
67	вместо того чтобы	1	1
68	не имеет значения	1	1
69	в начале xx	1	1
70	не означает что	1	1
71	в то время	3	1
72	связи с этим	1	1
73	которое занимают в	1	1
74	можем сказать что	1	1
75	речь идет о	2	1
76	в том числе	3	1
77	к тому что	2	1
78	более чем на	1	1
79	это имело место	1	1
80	к тому же	10	1
81	независимо от того	2	1
82	тому же все	1	1
83	в пределах одного	1	1
