N	3gram	Voloshinov_1	OGranits
1	с точки зрения	10	5
2	не может быть	3	4
3	по отношению к	9	3
4	есть прежде всего	1	3
5	одно и то	1	3
6	в г в	1	2
7	и наконец в	1	2
8	в самом деле	5	2
9	в зависимости от	2	2
10	не чем иным	1	2
11	в данном случае	3	2
12	с одной стороны	1	2
13	и то же	1	2
14	ничего общего с	1	2
15	чем иным как	1	2
16	с самого начала	5	2
17	и при анализе	1	2
18	в том что	4	2
19	том что в	1	1
20	один и тот	2	1
21	и связанных с	2	1
22	и некоторых других	1	1
23	только потому что	1	1
24	в чем же	1	1
25	чем же объясняется	2	1
26	в хх веке	1	1
27	иметь в виду	1	1
28	равно как и	1	1
29	на самом деле	2	1
30	мы должны перейти	1	1
31	на себя и	1	1
32	только одно из	1	1
33	нам кажется что	1	1
34	в своих основных	1	1
35	из него все	1	1
36	и не может	1	1
37	на две группы	2	1
38	тесно связана с	1	1
39	в отличие от	1	1
40	нет и не	1	1
41	останавливаться подробно на	1	1
42	не было бы	1	1
43	только то что	2	1
44	в этом отношении	2	1
45	нужно сказать что	1	1
46	в собственном смысле	1	1
47	может быть и	1	1
48	то или иное	2	1
49	нужно отметить что	1	1
50	и уже отсюда	1	1
51	в узком смысле	1	1
52	мы полагаем что	1	1
53	для того чтобы	1	1
54	в особенности в	1	1
55	далеко не всегда	3	1
56	данной социальной группы	1	1
57	его роль в	1	1
58	и тот же	2	1
59	ничего общего не	1	1
60	а также и	1	1
61	тем не менее	2	1
62	но и его	1	1
63	собою разумеется что	1	1
64	он и не	1	1
65	все то что	2	1
66	что же такое	2	1
67	этом мы закончим	1	1
68	то же время	5	1
69	узком смысле слова	2	1
70	мы не можем	1	1
71	может быть это	1	1
72	все же остается	1	1
73	на этом мы	2	1
74	организма и его	1	1
75	но в то	3	1
76	в конечном счете	1	1
77	выходит за пределы	1	1
78	возможно только в	1	1
79	и его школа	1	1
80	в то же	5	1
81	превращения его в	1	1
82	в последнем счете	1	1
83	не может в	1	1
84	само собою разумеется	1	1
85	роковую роль в	1	1
