N	3gram	Savitsky_P_1	Stilisti
1	в то же	7	9
2	то же время	7	7
3	для того чтобы	1	7
4	с точки зрения	3	5
5	но и в	2	3
6	заключает в себе	2	3
7	не только в	4	3
8	и тем самым	1	3
9	или хотя бы	1	2
10	ни к чему	1	2
11	а с тем	1	2
12	и не только	2	2
13	и в то	2	2
14	вместе с тем	1	2
15	не было бы	1	2
16	тот или иной	1	2
17	но в то	1	2
18	чуть ли не	1	2
19	не может быть	1	2
20	нужно помнить что	2	1
21	более или менее	1	1
22	большинстве случаев только	1	1
23	гораздо большей степени	4	1
24	в собственном смысле	1	1
25	обстановки и без	1	1
26	она должна была	1	1
27	хотя бы и	1	1
28	в большинстве случаев	1	1
29	и в этом	1	1
30	по сравнению с	1	1
31	формы в которых	1	1
32	но возможно также	1	1
33	общения человека с	1	1
34	что это значит?	1	1
35	в определенный момент	1	1
36	прежде всего мы	1	1
37	были бы непонятны	1	1
38	экономических и политических	1	1
39	само по себе	1	1
40	между тем в	1	1
41	и не может	1	1
42	и тем более	1	1
43	с другой стороны	1	1
44	в гораздо большей	4	1
45	мы все же	1	1
46	та или иная	1	1
47	в том что	4	1
48	именно потому что	1	1
49	на наш взгляд	1	1
50	быть может и	1	1
