N	2gram	Tiupa_Disk_2	UchenyiS
1	и в	16	14
2	а не	14	10
3	не только	10	10
4	прежде всего	7	8
5	и не	15	8
6	не может	9	7
7	в этом	16	7
8	то что	5	7
9	эстетического объекта	1	6
10	может быть	16	6
11	в искусстве	1	6
12	то же	6	5
13	и только	1	5
14	все это	2	5
15	с другой	5	4
16	но и	11	4
17	в конечном	1	4
18	конечном счете	1	4
19	в этой	4	4
20	то ни	1	3
21	и то	4	3
22	это не	3	3
23	как и	16	3
24	для этого	1	3
25	в частности	12	3
26	в своей	6	3
27	и т.д	1	3
28	бы то	1	3
29	в то	5	3
30	все же	6	3
31	но в	11	3
32	не следует	3	3
33	же время	5	3
34	в области	2	3
35	другой стороны	2	3
36	для него	5	3
37	не как	1	3
38	ни было	1	3
39	не о	2	3
40	как такового	1	3
41	а между	1	2
42	крайней мере	1	2
43	одним из	1	2
44	и с	2	2
45	художественного произведения	1	2
46	каждом шагу	1	2
47	ее нельзя	1	2
48	самом деле	1	2
49	форму и	1	2
50	должна быть	2	2
51	в некоторых	1	2
52	превращается в	1	2
53	мы не	1	2
54	о чем	2	2
55	ничего не	1	2
56	не столько	3	2
57	должна была	1	2
58	том что	10	2
59	на первый	2	2
60	сводится к	2	2
61	но даже	1	2
62	этого термина	1	2
63	на каждом	1	2
64	установку на	2	2
65	нас в	1	2
66	с его	6	2
67	но не	7	2
68	в сторону	1	2
69	в противовес	5	2
70	в его	3	2
71	по крайней	1	2
72	что и	2	2
73	более чем	2	2
74	но это	3	2
75	в том	8	2
76	и для	2	2
77	что он	2	2
78	в себе	19	2
79	формы и	1	2
80	в самом	1	2
81	между тем	2	2
82	только в	3	2
83	не в	3	2
84	для всех	1	2
85	не есть	1	2
86	этом отношении	4	2
87	не могут	1	2
88	могут быть	3	2
89	а о	1	2
90	не случайно	1	2
91	тем что	1	2
92	таким образом	1	2
93	т.е в	1	2
94	правило не	1	1
95	для себя	2	1
96	и это	2	1
97	об этом	1	1
98	поэзии и	1	1
99	же как	2	1
100	в исторической	3	1
101	в этот	1	1
102	то есть	12	1
103	большую значимость	2	1
104	и служит	1	1
105	не поднимается	1	1
106	входит в	2	1
107	первую очередь	2	1
108	данном случае	6	1
109	в период	4	1
110	для читателя	1	1
111	и прежде	2	1
112	и быть	1	1
113	установка на	1	1
114	в пределах	4	1
115	или по	2	1
116	и др	1	1
117	литературного жанра	4	1
118	еще одно	1	1
119	из первых	1	1
120	к которой	2	1
121	слова а	1	1
122	никогда не	2	1
123	к созданию	1	1
124	форму художественного	1	1
125	но прежде	1	1
126	так и	9	1
127	сводить к	1	1
128	одной стороны	4	1
129	той же	2	1
130	целого но	1	1
131	лучшая часть	1	1
132	этого не	1	1
133	отсюда и	2	1
134	до конца	1	1
135	исторической поэтики	2	1
136	мы имеем	2	1
137	обращение к	2	1
138	и вне	1	1
139	почему и	1	1
140	как целого	1	1
141	жанра в	1	1
142	об ее	1	1
143	и даже	1	1
144	должно быть	2	1
145	иначе говоря	3	1
146	и слово	1	1
147	можно сказать	3	1
148	восприятия и	1	1
149	не вполне	1	1
150	состоять в	1	1
151	такое художественное	1	1
152	поэта а	1	1
153	стороны в	1	1
154	о нем	1	1
155	к лицу	1	1
156	произведения как	2	1
157	как искусство	1	1
158	как на	3	1
159	приводит к	3	1
160	о том	4	1
161	в ней	2	1
162	во мне	1	1
163	в котором	3	1
164	свой опыт	1	1
165	и что	1	1
166	он был	1	1
167	из которых	1	1
168	в значительной	1	1
169	для первого	1	1
170	строго говоря	1	1
171	в той	2	1
172	а.н веселовского	1	1
173	отказ от	1	1
174	в данном	7	1
175	что же	2	1
176	не то	1	1
177	того что	1	1
178	в которых	1	1
179	речи в	2	1
180	их в	2	1
181	жанра но	2	1
182	произведения в	1	1
183	литературной эпохи	1	1
184	что этот	1	1
185	ночью в	1	1
186	за пределы	1	1
187	его как	1	1
188	отнюдь не	6	1
189	она не	1	1
190	этом случае	2	1
191	первый взгляд	2	1
192	нас самих	1	1
193	но тут	1	1
194	в своем	5	1
195	от утверждения	1	1
196	но для	1	1
197	и все	3	1
198	того как	1	1
199	было у	1	1
200	объекта и	2	1
201	сторону от	1	1
202	в которой	1	1
203	на большую	2	1
204	не было	3	1
205	с одной	4	1
206	с которыми	1	1
207	в качестве	16	1
208	но именно	1	1
209	же остается	1	1
210	уже не	3	1
211	далеко не	2	1
212	но также	1	1
213	претендует на	1	1
214	же в	1	1
215	в процессе	1	1
216	не столь	2	1
217	такая система	1	1
218	не обладает	1	1
219	в нем	7	1
220	на роль	2	1
221	но если	1	1
222	он не	3	1
223	о которой	1	1
224	а для	1	1
225	сказать что	1	1
226	именно такой	1	1
227	одно из	4	1
228	конечно как	1	1
229	качестве героя	1	1
230	в первую	2	1
231	равно как	1	1
232	конструктивное значение	1	1
233	и так	1	1
234	содержания и	1	1
235	в современном	1	1
236	не для	1	1
237	содержание и	1	1
238	в свое	2	1
239	с каждым	1	1
240	может служить	1	1
241	у пушкина	2	1
242	ориентация на	1	1
243	в противоположную	1	1
244	ее в	1	1
245	это в	2	1
246	маяковского и	1	1
247	к этому	4	1
248	что в	5	1
249	от слова	1	1
250	когда бы	1	1
