N	3gram	Tiupa_Anal_3	Freidism
1	с точки зрения	2	11
2	по отношению к	7	8
3	во всяком случае	2	7
4	не может быть	1	7
5	в самом деле	1	6
6	в большинстве случаев	1	5
7	и прежде всего	2	5
8	в зависимости от	1	4
9	то же время	3	4
10	в то же	3	4
11	в данном случае	3	4
12	на самом деле	1	4
13	можно сказать что	2	4
14	если бы он	1	3
15	для того чтобы	1	3
16	в таком случае	1	3
17	на этот вопрос	1	3
18	и тот же	1	3
19	и той же	2	3
20	один и тот	1	3
21	в свою очередь	4	3
22	прежде всего к	1	3
23	в конечном счете	2	3
24	одной и той	2	3
25	а потому и	1	2
26	до сих пор	1	2
27	в отличие от	2	2
28	так и в	1	2
29	не могут быть	1	2
30	а с другой	1	2
31	внутренней и внешней	1	2
32	в этом отношении	3	2
33	с одной стороны	2	2
34	тем не менее	2	2
35	того чтобы их	1	1
36	и может быть	1	1
37	к себе самому	1	1
38	уже не может	1	1
39	это уже не	1	1
40	как бы ни	1	1
41	в этом случае	1	1
42	и в данном	1	1
43	иметь дело с	2	1
44	хотя бы и	1	1
45	до известной степени	3	1
46	его можно сказать	1	1
47	что мы знаем	1	1
48	в основе своей	1	1
49	со всех сторон	1	1
50	по крайней мере	4	1
51	отнюдь не является	1	1
52	и его роли	1	1
53	далеко не всегда	1	1
54	однако и здесь	1	1
55	в себя и	1	1
56	его роли в	1	1
57	всяком случае не	1	1
58	сказанное на примере	1	1
59	мы знаем о	1	1
60	не способен в	1	1
61	в глубине души	1	1
62	и все же	1	1
63	таким образом в	1	1
64	о том что	5	1
65	не только не	3	1
66	в пределах одной	1	1
67	в связь с	1	1
68	той или иной	3	1
69	мы обратимся к	1	1
70	в этом смысле	1	1
71	обратим внимание на	1	1
72	нам известно из	1	1
73	в том что	7	1
74	при этом как	2	1
75	что и в	1	1
76	не нуждается в	1	1
