N	3gram	Berdyaev_N_1	Literetu
1	не может быть	4	7
2	с одной стороны	2	6
3	в том что	1	5
4	с другой стороны	2	4
5	в том чтобы	1	3
6	о том что	1	2
7	подобно тому как	3	2
8	в том числе	1	2
9	такой же мере	1	1
10	а не с	1	1
11	в зависимость от	1	1
12	он не может	2	1
13	и не может	1	1
14	вместе с тем	2	1
15	в отличие от	1	1
16	не менее чем	1	1
17	не могут быть	1	1
18	том числе и	1	1
19	можно было бы	1	1
20	в такой же	1	1
21	не в том	1	1
22	я не могу	1	1
23	в мире а	1	1
24	имея в виду	1	1
25	в этой системе	1	1
26	быть не может	1	1
27	и не менее	1	1
