N	2gram	Tiupa_Disk_2	Vladivir
1	и в	16	31
2	в году	1	30
3	не только	10	24
4	а к	2	22
5	но и	11	19
6	то что	5	18
7	и не	15	17
8	и даже	1	15
9	в этом	16	14
10	том что	10	14
11	и с	2	14
12	он был	1	14
13	что в	5	14
14	там же	2	13
15	но в	11	12
16	в его	3	12
17	что он	2	12
18	с его	6	11
19	о том	4	11
20	в том	8	11
21	потому что	4	11
22	и то	4	10
23	также и	3	10
24	он не	3	10
25	так что	1	10
26	никогда не	2	9
27	только в	3	9
28	а в	2	9
29	в то	5	8
30	тут же	2	7
31	как это	1	7
32	и его	3	7
33	для него	5	7
34	об этом	1	7
35	о нем	1	7
36	еще и	1	7
37	сказать что	1	7
38	того же	2	6
39	то же	6	6
40	свое время	2	6
41	в котором	3	6
42	и сам	1	6
43	так и	9	6
44	и что	1	6
45	можно сказать	3	6
46	в качестве	16	6
47	может быть	16	6
48	на этот	1	6
49	не может	9	6
50	к этому	4	6
51	не был	1	5
52	когда он	1	5
53	не в	3	5
54	со своим	2	5
55	что и	2	5
56	вовсе не	1	5
57	не было	3	5
58	а с	5	5
59	что же	2	5
60	все это	2	5
61	видно что	1	5
62	и от	1	5
63	а также	8	5
64	с ним	1	5
65	в период	4	5
66	в свое	2	5
67	жизни и	3	5
68	в своих	6	5
69	я не	1	4
70	в этой	4	4
71	в истории	1	4
72	в своем	5	4
73	хотя и	1	4
74	и как	3	4
75	в этот	1	4
76	в которой	1	4
77	в нашем	1	4
78	в себе	19	4
79	в нем	7	4
80	же касается	2	4
81	как и	16	4
82	несмотря на	1	4
83	еще в	3	4
84	в своей	6	4
85	дело в	2	4
86	же время	5	4
87	к ней	1	4
88	во всем	1	4
89	да и	1	4
90	никак не	1	4
91	по своей	6	4
92	один из	1	4
93	себя в	6	4
94	для меня	1	4
95	в особенности	1	4
96	и все	3	4
97	такого рода	9	4
98	он как	1	3
99	но она	3	3
100	это время	1	3
101	и на	5	3
102	но не	7	3
103	в в	1	3
104	отношение к	2	3
105	за пределы	1	3
106	отнюдь не	6	3
107	как в	8	3
108	все же	6	3
109	со своей	1	3
110	в целом	2	3
111	все эти	3	3
112	но на	1	3
113	о которой	1	3
114	то есть	12	3
115	что касается	1	3
116	но это	3	3
117	что этот	1	3
118	на него	1	3
119	и всегда	1	3
120	ничего не	1	3
121	свидетельствуют о	1	3
122	таким образом	1	3
123	к тому	1	3
124	в жизни	1	3
125	здесь не	2	3
126	к его	4	3
127	и здесь	1	3
128	и так	1	3
129	уже не	3	3
130	только на	1	3
131	с другой	5	3
132	вместе с	2	3
133	к своему	2	3
134	по своему	1	3
135	ранних лет	1	3
136	другой стороны	2	3
137	одним из	1	2
138	и весьма	1	2
139	тех же	1	2
140	это и	1	2
141	и до	1	2
142	в меру	1	2
143	той же	2	2
144	для своего	1	2
145	этом не	1	2
146	в полной	1	2
147	но даже	1	2
148	ему в	1	2
149	еще не	6	2
150	он сам	1	2
151	в чем	1	2
152	к жизни	3	2
153	ответ на	1	2
154	некоторое время	1	2
155	из этих	3	2
156	гимназии и	1	2
157	при этом	17	2
158	время и	1	2
159	и еще	1	2
160	на этом	1	2
161	для характеристики	1	2
162	лишь в	1	2
163	ни в	7	2
164	в них	3	2
165	на первый	2	2
166	точки зрения	4	2
167	место в	2	2
168	тем не	1	2
169	для нее	1	2
170	даже в	1	2
171	не менее	7	2
172	тем самым	6	2
173	дело не	1	2
174	которого он	1	2
175	того и	2	2
176	не имели	1	2
177	в москву	1	2
178	всего на	1	2
179	что на	2	2
180	со стороны	10	2
181	указывает на	1	2
182	для себя	2	2
183	году в	1	2
184	во мне	1	2
185	не столько	3	2
186	однако эта	1	2
187	она была	1	2
188	часто и	1	2
189	как было	1	2
190	времени в	4	2
191	того что	1	2
192	всяком случае	1	2
193	одной из	1	2
194	из них	3	2
195	тем что	1	2
196	был даже	1	2
197	не были	1	2
198	или о	1	2
199	было сказано	1	2
200	было ему	1	2
201	и глубоко	1	2
202	чем не	2	2
203	начиная с	1	2
204	к себе	1	2
205	еще на	1	2
206	в это	1	2
207	своей жизни	1	2
208	оба они	1	2
209	этом и	1	2
210	пока еще	2	2
211	смерти а	1	2
212	под названием	1	2
213	и для	2	2
214	указать на	2	2
215	в результате	2	2
216	особого рода	1	2
217	которую он	1	2
218	и ни	1	2
219	из этого	1	2
220	в самом	1	2
221	и это	2	2
222	в частности	12	2
223	как на	3	2
224	во всяком	1	2
225	своим историческим	1	1
226	которых не	2	1
227	и есть	1	1
228	то в	1	1
229	чего не	3	1
230	можно говорить	1	1
231	не имеют	1	1
232	как сам	1	1
233	он ничего	1	1
234	есть не	1	1
235	и сказочность	1	1
236	с самых	1	1
237	не вполне	1	1
238	поэта а	1	1
239	в некотором	1	1
240	в ней	2	1
241	не нужно	2	1
242	столь же	3	1
243	бы то	1	1
244	во всех	1	1
245	одни факты	1	1
246	к богу	1	1
247	по отношению	4	1
248	тогда как	11	1
249	а через	1	1
250	ему не	1	1
251	что как	2	1
252	ней в	1	1
253	в одних	1	1
254	как уже	2	1
255	может получить	1	1
