N	2gram	Vygotskiy__4	VLabPisa
1	таким образом	25	27
2	в этом	24	26
3	и в	20	25
4	не только	15	22
5	может быть	12	21
6	и не	8	19
7	не может	6	17
8	в его	11	15
9	в процессе	27	14
10	этом отношении	7	13
11	в том	42	13
12	прежде всего	2	13
13	в частности	5	12
14	как это	9	12
15	все это	1	12
16	в силу	6	11
17	с другой	12	11
18	из них	4	11
19	в качестве	21	10
20	не могут	3	10
21	о том	5	10
22	то же	16	9
23	что в	19	9
24	по этому	1	9
25	для него	2	9
26	но и	9	9
27	к этому	4	9
28	в своем	4	8
29	все эти	5	8
30	другой стороны	9	8
31	могут быть	7	8
32	во всех	1	7
33	по отношению	1	7
34	из этих	2	7
35	было бы	8	7
36	как и	9	7
37	том что	35	7
38	а не	7	7
39	вместе с	8	7
40	из современных	1	7
41	же в	1	7
42	отношению к	1	7
43	в зависимости	1	6
44	в себе	10	6
45	в нем	2	6
46	главным образом	1	6
47	это не	5	6
48	их в	2	6
49	том же	2	6
50	и его	5	6
51	в то	1	6
52	так и	5	6
53	между тем	9	6
54	у него	2	6
55	в основном	1	6
56	то что	15	6
57	одним из	2	5
58	и есть	1	5
59	действительности и	1	5
60	в их	12	5
61	зависимости от	2	5
62	как говорит	2	5
63	все же	5	5
64	в плане	1	5
65	и при	4	5
66	не в	4	5
67	тому что	4	5
68	связи с	3	5
69	на основе	10	5
70	приводит к	3	5
71	один из	3	5
72	он говорит	2	5
73	как бы	7	5
74	не является	5	5
75	думается что	1	5
76	в результате	8	5
77	сказать что	6	5
78	только в	10	5
79	в этой	3	4
80	перед нами	5	4
81	когда он	3	4
82	в самом	6	4
83	в целом	11	4
84	в статье	1	4
85	что все	3	4
86	даже в	2	4
87	никогда не	5	4
88	к тому	6	4
89	утверждать что	1	4
90	должен быть	1	4
91	можно сказать	1	4
92	образов и	2	4
93	с ними	1	4
94	что он	6	4
95	в нашей	2	4
96	в одном	1	4
97	как раз	1	4
98	в связи	3	4
99	художественное произведение	1	4
100	приведенных выше	1	4
101	равно как	1	4
102	в своей	7	4
103	например в	1	3
104	человека и	1	3
105	его не	1	3
106	имеет свою	1	3
107	в основных	1	3
108	и он	2	3
109	в которых	1	3
110	видели что	2	3
111	но как	2	3
112	что они	14	3
113	с этим	5	3
114	и как	9	3
115	и к	5	3
116	следующим образом	3	3
117	и по	1	3
118	его в	6	3
119	далеко не	2	3
120	что не	1	3
121	с тем	6	3
122	в слове	2	3
123	мы видели	6	3
124	точки зрения	24	3
125	и ее	1	3
126	это делает	1	3
127	этой области	2	3
128	как о	1	3
129	это мы	2	3
130	в другую	3	3
131	у нас	1	3
132	и отдельных	2	3
133	том как	1	3
134	образом в	1	3
135	в виду	3	3
136	никак не	2	3
137	что и	9	3
138	вслед за	2	3
139	того что	10	3
140	является не	4	3
141	и их	1	3
142	моментов в	1	3
143	даже и	1	3
144	в конце	1	3
145	этой проблемы	1	3
146	именно в	3	3
147	мы знаем	1	3
148	так же	11	3
149	по поводу	1	3
150	всех других	1	3
151	по существу	3	3
152	при всем	1	3
153	и от	3	3
154	или в	1	3
155	бы в	3	3
156	действительной жизни	1	3
157	только что	4	3
158	процесса как	1	3
159	ее в	1	3
160	интеллектуальной деятельности	2	3
161	смысле слова	1	2
162	как известно	3	2
163	этого положения	6	2
164	ту же	2	2
165	также и	2	2
166	связана с	2	2
167	получает в	1	2
168	он может	1	2
169	отдельных элементов	3	2
170	видеть в	2	2
171	уже по	1	2
172	а как	1	2
173	мы имеем	2	2
174	же как	6	2
175	с более	2	2
176	часто не	1	2
177	в которой	3	2
178	говорить о	1	2
179	но даже	1	2
180	в ней	2	2
181	еще не	2	2
182	в различных	1	2
183	в чем	3	2
184	чуть ли	1	2
185	бы не	1	2
186	но не	3	2
187	одном и	1	2
188	если в	1	2
189	том числе	2	2
190	относится к	1	2
191	отнюдь не	3	2
192	стороны и	2	2
193	этом же	1	2
194	и слова	1	2
195	хотя и	1	2
196	как процесс	1	2
197	но в	3	2
198	эти положения	1	2
199	как он	4	2
200	этот процесс	6	2
201	что она	1	2
202	он не	1	2
203	том чтобы	2	2
204	подобно тому	2	2
205	так например	1	2
206	в каждом	2	2
207	а затем	2	2
208	они должны	1	2
209	им как	2	2
210	нам остается	1	2
211	заключается в	18	2
212	с другими	1	2
213	который по	2	2
214	эта теория	1	2
215	одному тому	1	2
216	не всегда	1	2
217	и для	4	2
218	что такое	5	2
219	никаких оснований	2	2
220	всяком случае	3	2
221	не столько	1	2
222	знаем что	1	2
223	от его	1	2
224	схемы в	1	2
225	которые в	4	2
226	если бы	5	2
227	впечатления и	1	2
228	по себе	1	2
229	это особенно	1	2
230	не менее	3	2
231	дня и	1	2
232	мышления в	16	2
233	тогда когда	8	2
234	к этим	2	2
235	не по	2	2
236	того чтобы	7	2
237	только не	5	2
238	на язык	1	2
239	и весь	1	2
240	связанное с	1	2
241	свидетельствуют о	1	2
242	в сознании	4	2
243	отношении что	1	2
244	в области	4	2
245	том отношении	1	2
246	от того	3	2
247	ли не	2	2
248	отличается от	2	2
249	же самое	7	2
250	числе и	2	2
251	что оно	4	2
252	для того	5	2
253	что при	2	2
254	формы и	3	2
255	только то	1	2
256	и может	1	2
257	роль в	4	2
258	мы наблюдаем	2	2
259	и даже	1	2
260	из основных	4	2
261	во всяком	4	2
262	на вопрос	1	2
263	сказанного выше	1	2
264	говорит об	1	2
265	обобщения в	1	2
266	может не	2	2
267	из себя	1	2
268	во всей	4	2
269	вообще и	1	2
270	конце концов	1	2
271	значит что	2	2
272	всех его	1	2
273	с одной	9	2
274	одной из	3	2
275	целого ряда	2	2
276	у них	1	2
277	слова не	3	2
278	эти вопросы	1	2
279	оно является	1	2
280	одной стороны	9	2
281	даже не	1	2
282	до сих	1	2
283	как у	1	2
284	еще и	1	2
285	показывает что	2	2
286	естественно что	1	2
287	легко и	1	2
288	о чем	1	2
289	и том	1	2
290	что мы	7	2
291	тому как	2	2
292	было в	1	2
293	нет никаких	1	2
294	и потому	1	2
295	из которых	1	2
296	в течение	1	2
297	самого себя	2	2
298	и формы	1	2
299	сих пор	1	2
300	но для	2	2
301	можно было	6	2
302	личному опыту	1	2
303	не подлежит	3	2
304	по одному	3	2
305	в большей	1	2
306	а в	2	2
307	в целях	1	2
308	процессе своего	1	2
309	между ними	4	2
310	не быть	1	2
311	в представлении	1	2
312	в своих	1	2
313	этой точки	4	2
314	они не	2	2
315	которая не	1	2
316	речь идет	5	1
317	говоря о	2	1
318	прав когда	1	1
319	лежат в	1	1
320	в сфере	1	1
321	своей предпосылкой	1	1
322	его основной	1	1
323	стоящих перед	1	1
324	отсутствие единства	1	1
325	проблемы в	1	1
326	выражения в	1	1
327	самом деле	7	1
328	все его	1	1
329	же по	2	1
330	почти не	1	1
331	и так	1	1
332	проявляются в	2	1
333	оно может	3	1
334	что эти	2	1
335	должна быть	2	1
336	схема которая	1	1
337	в традиционной	1	1
338	предмета в	1	1
339	неизбежно приводит	2	1
340	как мы	13	1
341	что если	2	1
342	вопрос о	1	1
343	они могут	2	1
344	нам в	2	1
345	меньшей мере	1	1
346	из сказанного	1	1
347	вот по	1	1
348	в деле	3	1
349	своих опытах	1	1
350	приходит к	3	1
351	мы и	2	1
352	основе этого	2	1
353	к общему	2	1
354	свою очередь	2	1
355	и то	10	1
356	черт является	1	1
357	собой в	1	1
358	между собой	5	1
359	ответа на	1	1
360	быть в	1	1
361	здесь не	2	1
362	с общими	1	1
363	не отличается	1	1
364	есть функция	1	1
365	по своему	4	1
366	как если	1	1
367	из процесса	1	1
368	а только	3	1
369	значение и	1	1
370	только тогда	1	1
371	не все	1	1
372	себе и	3	1
373	его развития	1	1
374	которые не	2	1
375	в известном	2	1
376	в истории	10	1
377	опирается на	2	1
378	общего с	1	1
379	более примитивной	1	1
380	является тем	1	1
381	а чисто	1	1
382	этот состоит	1	1
383	целый ряд	5	1
384	говорит что	3	1
385	того обстоятельства	2	1
386	ином отношении	1	1
387	не являются	3	1
388	образов которые	1	1
389	то в	1	1
390	вообще но	1	1
391	привести к	2	1
392	а во-вторых	1	1
393	уже в	6	1
394	процессом не	1	1
395	его содержания	1	1
396	нужно как	1	1
397	не нашли	1	1
398	только два	1	1
399	сам толстой	1	1
400	не заключается	1	1
401	в конкретной	1	1
402	тому же	6	1
403	на то	5	1
404	невозможно даже	1	1
405	но на	1	1
406	дальше и	2	1
407	так сказать	1	1
408	на его	3	1
409	как оно	2	1
410	момента когда	1	1
411	приходят к	1	1
412	идет дальше	1	1
413	что должно	1	1
414	момента в	2	1
415	этого опыта	1	1
416	как увидим	1	1
417	не как	1	1
418	понятий и	9	1
419	мы полагаем	1	1
420	то как	2	1
421	но вместе	2	1
422	уже не	1	1
423	что может	1	1
424	на этом	3	1
425	его можно	1	1
426	заключает в	1	1
427	и речи	2	1
428	одно и	6	1
429	и сложного	1	1
430	и характер	1	1
431	являются для	1	1
432	мере и	1	1
433	входит в	2	1
434	эту же	2	1
435	то все	1	1
436	этом смысле	8	1
437	и определение	1	1
438	в сложном	1	1
439	и целиком	1	1
440	отражение в	2	1
441	в ином	2	1
442	говорим о	1	1
443	не чем	1	1
444	для них	1	1
445	самые различные	1	1
446	с этой	4	1
447	характерно то	1	1
448	которой он	1	1
449	смысле что	1	1
450	его теории	1	1
451	на этот	3	1
452	протекает в	1	1
453	обратимся к	4	1
454	понятия и	9	1
455	моментом в	1	1
456	в этих	3	1
457	в ходе	4	1
458	из сферы	1	1
459	образов изучение	1	1
460	обыденной жизни	1	1
461	взгляд на	1	1
462	оказываются таким	1	1
463	он должен	1	1
464	впечатлений и	1	1
465	всего процесса	1	1
466	существенно не	1	1
467	это подтверждается	1	1
468	собой не	2	1
469	признать что	1	1
470	значение для	1	1
471	в памяти	2	1
472	и той	4	1
473	которых каждая	1	1
474	образом и	1	1
475	но он	1	1
476	иным как	1	1
477	слова к	3	1
478	что этот	2	1
479	мы встречаемся	1	1
480	и синтеза	1	1
481	задачи и	1	1
482	что есть	1	1
483	поэтому у	1	1
484	с понятиями	2	1
485	того момента	1	1
486	вплоть до	1	1
487	в таких	1	1
488	о значении	1	1
489	что эта	3	1
490	с которой	1	1
491	что сущность	1	1
492	начинает с	1	1
493	эти формы	1	1
494	и отсюда	1	1
495	того как	2	1
496	что их	1	1
497	этими двумя	2	1
498	его собственного	1	1
499	время как	1	1
500	сводится в	1	1
501	наблюдений над	1	1
502	решающим и	1	1
503	мышления и	14	1
504	не имеет	2	1
505	казалось бы	1	1
506	это то	1	1
507	видим что	2	1
508	друг друга	4	1
509	его значения	1	1
510	подтверждает это	1	1
511	с достаточной	1	1
512	что самые	1	1
513	целом и	2	1
514	только с	1	1
515	в основе	17	1
516	они показывают	1	1
517	в каком	2	1
518	если только	1	1
519	больше того	1	1
520	уже о	1	1
521	лежит в	1	1
522	обстоятельства что	2	1
523	одну и	1	1
524	анализа и	2	1
525	раз навсегда	1	1
526	бы он	1	1
527	сложного процесса	1	1
528	функцию в	1	1
529	перейти к	1	1
530	ничего общего	3	1
531	общих и	1	1
532	и это	2	1
533	и поэтому	3	1
534	чем иным	1	1
535	и которая	2	1
536	своего развития	10	1
537	непонятными и	1	1
538	и толстой	1	1
539	но по	1	1
540	как один	1	1
541	говоря уже	1	1
542	же не	2	1
543	данном случае	2	1
544	в понятиях	15	1
545	то время	1	1
546	в дальнейшем	1	1
547	причем в	1	1
548	действительности эти	1	1
549	и сам	1	1
550	невозможно и	1	1
551	и ту	1	1
552	он однажды	1	1
553	форму мышления	1	1
554	подлежащие изучению	1	1
555	и практики	1	1
556	по тому	1	1
557	по сравнению	4	1
558	мы в	2	1
559	природа их	1	1
560	понятно что	2	1
561	является в	3	1
562	поэтому в	1	1
563	о котором	1	1
564	для этого	1	1
565	по мере	4	1
566	с ним	1	1
567	связанная с	1	1
568	этих особенностей	2	1
