N	2gram	Potebnia_M_2	ViktorSh
1	и в	24	2
2	том что	8	2
3	в том	18	2
4	и только	6	1
5	крайней мере	5	1
6	тем более	1	1
7	в устах	1	1
8	под влиянием	8	1
9	и том	1	1
10	в другом	2	1
11	хотя бы	2	1
12	и не	19	1
13	и его	2	1
14	потому что	49	1
15	и то	3	1
16	же с	1	1
17	самом деле	2	1
18	все это	2	1
19	по поводу	6	1
20	именно в	1	1
21	главным образом	4	1
22	этом и	1	1
23	по своим	1	1
24	чего не	2	1
25	в их	1	1
26	дело в	1	1
27	так в	4	1
28	речи и	1	1
29	или без	2	1
30	одно и	2	1
31	все то	1	1
32	столь же	5	1
33	говоря о	3	1
34	в которых	1	1
35	в самом	4	1
36	только в	11	1
37	то же	12	1
38	других и	1	1
39	о пределах	1	1
40	так как	10	1
41	далеко не	3	1
42	что слово	2	1
43	к чему	1	1
44	не будем	1	1
45	но это	3	1
46	что язык	2	1
47	в этом	8	1
48	одном и	1	1
49	по крайней	5	1
50	от общего	2	1
51	а только	8	1
52	на одном	1	1
53	к этому	2	1
54	значительной степени	1	1
55	том же	1	1
