N	3gram	Vinokur_St_2	Problemy
1	и т п	3	9
2	с точки зрения	2	8
3	до сих пор	5	7
4	по отношению к	1	5
5	сам по себе	1	5
6	то же время	1	5
7	в то же	1	5
8	в отличие от	2	4
9	в самом деле	2	4
10	и т д	6	4
11	более или менее	2	3
12	к тому же	2	3
13	с другой стороны	3	3
14	в настоящее время	1	2
15	в этом смысле	1	2
16	том что он	5	2
17	здесь не место	1	2
18	в письме к	5	2
19	на этот вопрос	1	2
20	не укладывается в	1	2
21	в конце концов	1	2
22	в отношении к	1	2
23	и то же	1	2
24	одно и то	1	2
25	друг к другу	1	2
26	я не могу	1	2
27	тем не менее	2	2
28	в то время	1	2
29	ни в одном	2	2
30	но все же	2	2
31	на то что	2	2
32	но кроме того	1	1
33	в этом его	1	1
34	а между тем	1	1
35	того что и	1	1
36	иметь в виду	3	1
37	в виду что	1	1
38	дело в том	4	1
39	в том числе	1	1
40	кажется что в	1	1
41	так что в	1	1
42	он не только	1	1
43	в том же	2	1
44	заставляя его служить	1	1
45	в еще более	1	1
46	сами по себе	2	1
47	что он не	4	1
48	бы то ни	2	1
49	в ответе другого	1	1
50	что как раз	1	1
51	вы говорите что	1	1
52	уже после того	2	1
53	в котором все	1	1
54	в значительной степени	2	1
55	а как бы	1	1
56	и на материале	1	1
57	на этой почве	1	1
58	т е в	1	1
59	то ни было	2	1
60	в связи с	1	1
61	в той же	1	1
62	каких бы то	1	1
63	и это слово	1	1
64	так или иначе	1	1
65	с нею и	1	1
66	то что он	2	1
67	во всяком случае	3	1
68	в конкретном и	1	1
69	на тему о	1	1
70	и в том	1	1
71	вместо того чтобы	1	1
72	о том что	11	1
73	это еще не	1	1
74	ни одного слова	1	1
75	и кто ж	1	1
76	так и в	2	1
77	на самом деле	1	1
78	в одном из	3	1
79	не только не	2	1
80	т п в	1	1
81	не могло в	1	1
82	он никогда не	1	1
83	его служить своим	1	1
84	после того как	4	1
85	с полным правом	1	1
86	и что он	1	1
87	в какой они	1	1
88	в том что	16	1
89	котором все эти	1	1
90	и в другом	1	1
