N	2gram	Berdyaev_M_1	DiskursI
1	не только	29	28
2	в том	6	23
3	а не	25	22
4	то есть	3	20
5	том что	3	19
6	может быть	30	17
7	как и	5	16
8	и в	28	16
9	в этом	20	15
10	еще не	1	14
11	но и	25	14
12	по своей	2	11
13	но не	8	11
14	прежде всего	10	11
15	и не	11	11
16	как в	2	10
17	по отношению	2	9
18	в нем	13	9
19	не может	28	9
20	в частности	1	9
21	отношению к	2	9
22	но в	7	8
23	о том	2	8
24	так и	1	8
25	не было	18	7
26	в себе	7	7
27	не в	16	7
28	в основе	2	7
29	роль в	1	7
30	в его	9	7
31	только в	6	7
32	в своем	10	6
33	и как	2	6
34	ни к	1	6
35	и на	6	5
36	во всех	1	5
37	отличие от	1	5
38	природе своей	1	5
39	в силу	1	5
40	в котором	8	5
41	в их	4	5
42	в отличие	1	5
43	по природе	1	5
44	в эпоху	1	5
45	как бы	2	5
46	к тому	3	5
47	а в	4	5
48	то что	5	5
49	в своей	15	5
50	и о	1	4
51	в которых	4	4
52	с его	3	4
53	в сторону	1	4
54	отношение к	4	4
55	в истории	2	4
56	и к	2	4
57	уже не	4	4
58	не как	4	4
59	лишь в	6	4
60	в них	4	4
61	потому что	16	4
62	могут быть	2	4
63	между тем	1	4
64	одной из	1	4
65	что он	10	4
66	для него	11	4
67	по своим	1	4
68	что не	1	4
69	что в	10	4
70	также и	2	3
71	и потому	10	3
72	имеет свою	1	3
73	в одной	1	3
74	с этим	3	3
75	в самом	11	3
76	человеческого сознания	2	3
77	заключается в	1	3
78	это не	5	3
79	ведет к	6	3
80	точки зрения	4	3
81	в своих	1	3
82	бы быть	1	3
83	в то	2	3
84	он мог	2	3
85	в ее	3	3
86	еще в	2	3
87	и даже	1	3
88	имея в	1	3
89	что и	4	3
90	в сферу	1	3
91	хотя бы	3	3
92	к ним	1	3
93	тем что	4	3
94	это прежде	1	3
95	мира в	1	3
96	по своему	2	3
97	того что	7	3
98	один из	4	3
99	все же	2	3
100	мог быть	1	3
101	в свою	2	3
102	сказать что	2	3
103	отношения к	4	2
104	одним из	2	2
105	и есть	14	2
106	к другому	1	2
107	мы имеем	1	2
108	ему в	1	2
109	в виду	2	2
110	влияния на	1	2
111	за пределы	4	2
112	себя в	3	2
113	писателя в	1	2
114	как к	1	2
115	когда он	3	2
116	сознания в	1	2
117	целый ряд	1	2
118	в противоположность	1	2
119	в этой	6	2
120	он ни	2	2
121	и по	4	2
122	на этом	3	2
123	человека в	13	2
124	в каждом	1	2
125	различие между	2	2
126	об этом	1	2
127	к области	1	2
128	с человеком	1	2
129	и без	1	2
130	не от	1	2
131	мысли и	2	2
132	происходит от	1	2
133	не менее	1	2
134	не могло	1	2
135	в наше	2	2
136	и его	9	2
137	в момент	3	2
138	к себе	1	2
139	отличается от	2	2
140	значительной степени	1	2
141	мысли о	2	2
142	не есть	9	2
143	оно не	1	2
144	и он	12	2
145	в пределах	1	2
146	приводит к	2	2
147	на том	3	2
148	было в	1	2
149	разного рода	2	2
150	о нем	2	2
151	во всяком	1	2
152	и что	2	2
153	одного из	1	2
154	самому себе	2	2
155	в значительной	1	2
156	это было	1	2
157	в греческой	1	2
158	на протяжении	2	2
159	и во	2	2
160	наше время	1	2
161	и ее	1	2
162	литературы в	1	2
163	уже в	4	2
164	в одном	1	2
165	как его	1	2
166	никогда не	14	2
167	бы это	1	2
168	к которому	1	2
169	чем он	1	2
170	и др	1	2
171	его как	2	2
172	о чем	2	2
173	более чем	1	2
174	к его	1	2
175	что же	1	2
176	в ряду	1	2
177	для понимания	1	2
178	жизни в	2	2
179	в начале	2	2
180	за его	1	2
181	не имея	1	2
182	особого рода	1	2
183	и все	10	2
184	будто бы	3	2
185	хотя в	1	2
186	они не	1	2
187	к этому	2	2
188	нем нет	1	1
189	чтобы не	2	1
190	не остается	2	1
191	и то	1	1
192	самом деле	1	1
193	на самом	1	1
194	и пришел	1	1
195	переход от	1	1
196	это и	4	1
197	не хочет	2	1
