N	2gram	Bakhtin_Pr_4	Morfolog
1	может быть	23	52
2	и пр	2	40
3	таким образом	4	20
4	не может	19	17
5	в этих	4	16
6	могут быть	2	15
7	этих случаях	2	14
8	с этим	2	14
9	эта форма	1	13
10	и в	46	13
11	в этом	16	13
12	так как	5	12
13	и др	1	12
14	перед нами	12	11
15	связи с	1	11
16	мы видим	1	11
17	то же	6	9
18	мы имеем	3	9
19	так и	4	9
20	этом случае	1	9
21	не всегда	1	9
22	прежде всего	9	9
23	а не	11	9
24	в связи	1	9
25	и не	27	9
26	а затем	1	8
27	что и	3	8
28	с другой	3	8
29	по существу	3	8
30	в результате	2	8
31	вопрос о	2	7
32	имеем в	3	7
33	и этим	3	7
34	в тех	1	7
35	все же	4	7
36	но если	3	7
37	но не	4	6
38	это не	5	6
39	во время	1	6
40	не могут	3	6
41	и здесь	4	6
42	в форме	1	6
43	в том	9	6
44	а в	2	6
45	мы не	4	5
46	во всех	5	5
47	то что	4	5
48	здесь можно	1	5
49	далеко не	3	5
50	не менее	2	5
51	потому что	4	5
52	или в	8	5
53	иногда в	1	5
54	один из	1	5
55	мы увидим	6	5
56	если мы	5	5
57	сюда же	1	5
58	как бы	19	5
59	то перед	4	5
60	можно наблюдать	1	5
61	и другие	3	5
62	также и	3	4
63	то это	3	4
64	то мы	1	4
65	если в	2	4
66	как в	4	4
67	два раза	1	4
68	хотя и	6	4
69	и как	2	4
70	не только	14	4
71	на его	1	4
72	на этом	3	4
73	об этом	2	4
74	его в	1	4
75	было бы	3	4
76	вовсе не	9	4
77	как и	12	4
78	несмотря на	1	4
79	точки зрения	11	4
80	с точки	9	4
81	ничего не	2	4
82	тем что	3	4
83	героя а	1	4
84	очень часто	4	4
85	в других	2	4
86	наблюдать что	1	4
87	как мы	12	4
88	по отношению	5	4
89	в некоторых	1	4
90	другой стороны	3	4
91	там где	2	4
92	так же	3	4
93	отношению к	5	4
94	героя в	3	4
95	что в	4	4
96	получает в	1	3
97	самом деле	4	3
98	на самом	1	3
99	в первом	1	3
100	и для	3	3
101	между собой	1	3
102	вступают в	1	3
103	целый ряд	2	3
104	но в	6	3
105	в целом	1	3
106	в нашем	1	3
107	в пределах	10	3
108	он должен	1	3
109	и по	2	3
110	но все	2	3
111	а по	1	3
112	входит в	1	3
113	ни в	6	3
114	в один	1	3
115	том что	4	3
116	в то	5	3
117	реагирует на	2	3
118	в сущности	7	3
119	на него	3	3
120	того чтобы	1	3
121	и другим	1	3
122	пр он	1	3
123	в живых	1	3
124	с собой	3	3
125	если бы	3	3
126	но и	12	3
127	он не	4	3
128	во втором	1	3
129	к нему	5	3
130	в какой	1	3
131	быть разрешен	1	3
132	их по	1	3
133	а то	3	3
134	друг друга	6	3
135	мы можем	4	3
136	в карты	1	3
137	форма в	1	3
138	но это	6	3
139	кроме того	4	3
140	героя и	4	3
141	в последнем	1	3
142	если же	5	3
143	можно назвать	1	3
144	смысле слова	2	2
145	как это	1	2
146	относятся к	1	2
147	тем же	3	2
148	собственном смысле	1	2
