N	2gram	Tiupa_Teor_1	slovoVRo
1	в романе	3	46
2	и в	18	39
3	может быть	17	37
4	и его	8	33
5	то есть	12	26
6	не только	16	24
7	и не	13	22
8	но и	9	21
9	не может	4	20
10	в нем	4	19
11	в этом	8	16
12	все это	2	16
13	так и	10	15
14	а не	9	14
15	отличие от	6	13
16	как в	5	13
17	в пределах	5	13
18	слова в	2	13
19	во всех	1	12
20	в отличие	6	12
21	слово в	1	11
22	вовсе не	3	10
23	к своему	1	9
24	не в	7	9
25	таким образом	3	8
26	языков в	1	8
27	оно не	1	8
28	себя в	6	8
29	прежде всего	2	8
30	слова и	1	8
31	точки зрения	9	8
32	еще не	4	7
33	с его	5	7
34	при этом	12	7
35	в этих	3	7
36	для него	2	7
37	никогда не	4	7
38	могут быть	4	7
39	как мы	1	7
40	в его	6	7
41	и даже	2	7
42	и потому	2	7
43	как бы	5	7
44	языкового сознания	1	7
45	в сущности	1	6
46	но не	9	6
47	в своем	4	6
48	и к	3	6
49	но в	9	6
50	все эти	2	6
51	значительной степени	1	6
52	в них	2	6
53	в слове	3	6
54	как и	4	6
55	она не	1	6
56	языка в	4	6
57	в значительной	1	6
58	в большинстве	2	6
59	например в	1	5
60	героя и	5	5
61	это не	2	5
62	том что	9	5
63	по себе	1	5
64	мышления и	2	5
65	не могут	2	5
66	той или	1	5
67	мира и	1	5
68	с другой	7	5
69	один из	2	5
70	в том	16	5
71	с ними	1	5
72	с одной	2	5
73	уже не	4	5
74	языка а	1	5
75	со словом	1	5
76	и их	1	5
77	одной стороны	2	5
78	или иной	4	5
79	большинстве случаев	1	5
80	остается в	1	5
81	и для	2	5
82	только в	6	5
83	отношения к	2	4
84	этим определяется	1	4
85	и на	1	4
86	по отношению	4	4
87	прозы в	1	4
88	отношение к	5	4
89	сливается с	1	4
90	в узком	3	4
91	то же	7	4
92	слова не	1	4
93	художественный образ	1	4
94	его в	2	4
95	входит в	1	4
96	с другими	5	4
97	и иных	1	4
98	на почве	4	4
99	ни в	2	4
100	в отношении	3	4
101	слова могут	1	4
102	не менее	4	4
103	в то	6	4
104	в основе	3	4
105	же время	5	4
106	здесь не	1	4
107	поэтического слова	1	4
108	для этого	1	4
109	наконец в	1	4
110	дело с	1	4
111	для всех	1	4
112	языка но	1	4
113	так как	1	4
114	и др	1	4
115	себя и	1	4
116	языка не	1	4
117	с помощью	1	4
118	на фоне	2	4
119	и мир	1	4
120	в той	2	4
121	а в	13	4
122	отношении к	2	4
123	слова с	1	4
124	отношению к	4	4
125	ту же	1	3
126	как это	8	3
127	той же	1	3
128	единство и	1	3
129	человека и	1	3
130	говорить о	3	3
131	в чем	1	3
132	сама по	1	3
133	в собственном	1	3
134	перед нами	2	3
135	и как	2	3
136	с их	2	3
137	на этом	1	3
138	не с	3	3
139	лишь в	6	3
140	с точки	3	3
141	не столько	1	3
142	не была	1	3
143	связи с	1	3
144	разрыв между	1	3
145	в состав	6	3
146	а также	6	3
147	к нему	1	3
148	между тем	5	3
149	что и	2	3
150	развернута в	1	3
151	новый модус	1	3
152	быть и	2	3
153	или даже	4	3
154	у него	1	3
155	рядом с	1	3
156	в особенности	1	3
157	точек зрения	1	3
158	в свою	3	3
159	смысла и	1	3
160	если она	1	3
161	как к	2	3
162	в контексте	3	3
163	и от	1	3
164	композиционно и	1	3
165	что в	9	3
166	истории литературы	1	3
167	сказать что	3	3
168	речи и	2	3
169	одновременно и	1	3
170	можно говорить	1	2
171	одним из	2	2
172	также и	1	2
173	две реплики	1	2
174	именно к	1	2
175	своими корнями	1	2
176	но она	2	2
177	с ее	3	2
178	имеет дело	1	2
179	подчеркнуть что	1	2
180	всех сторон	1	2
181	языка этот	1	2
182	на них	1	2
183	это возможно	1	2
184	роман и	2	2
185	одним словом	1	2
186	но как	1	2
187	не все	3	2
188	за пределы	2	2
189	не входят	1	2
190	хотя и	3	2
191	как уже	1	2
192	более или	2	2
193	в нашем	4	2
194	в себе	9	2
195	роль в	2	2
196	корнями в	2	2
197	с языком	2	2
198	материал из	1	2
199	но прежде	1	2
200	на его	1	2
201	он не	3	2
202	и более	1	2
203	основе его	1	2
204	значение в	1	2
205	зрения и	2	2
206	далеко не	2	2
207	независимо от	1	2
208	автора и	1	2
209	или менее	2	2
210	и другие	2	2
211	в их	2	2
212	на каждом	1	2
213	но эта	1	2
214	которые в	1	2
215	но он	3	2
216	однако в	7	2
217	даже в	3	2
218	на котором	1	2
219	дело в	2	2
220	материала в	2	2
221	и внутренней	1	2
222	того чтобы	1	2
